nbhd_code,Albedo_all
casablanca_025,0.16459713
casablanca_011,0.164750226
casablanca_012,0.16852404
casablanca_031,0.166295963
casablanca_019,0.168095419
casablanca_016,0.158990961
casablanca_002,0.161724438
casablanca_014,0.146831696
casablanca_022,0.137173647
casablanca_005,0.1385689
casablanca_015,0.160284852
casablanca_021,0.160079301
casablanca_026,0.166583668
casablanca_027,0.166563655
casablanca_009,0.153772237
casablanca_010,0.142598417
casablanca_006,0.143939886
casablanca_033,0.154844583
casablanca_008,0.129423711
casablanca_023,0.160211061
casablanca_018,0.16677255
casablanca_032,0.165723188
casablanca_030,0.167674611
casablanca_034,0.168978065
casablanca_001,0.163274946
casablanca_013,0.165213745
casablanca_003,0.15949779
casablanca_029,0.15990279
casablanca_004,0.141829493
casablanca_017,0.145723327
casablanca_028,0.124385325
casablanca_020,0.136129487
casablanca_024,0.110019507
casablanca_007,0.132450971
barcelona_22,0.094410383
barcelona_39,0.104689912
barcelona_40,0.101736581
barcelona_43,0.112735727
barcelona_28,0.120320823
barcelona_41,0.131342975
barcelona_38,0.131606427
barcelona_29,0.132131214
barcelona_25,0.124086717
barcelona_27,0.134701905
barcelona_26,0.128688182
barcelona_24,0.130341344
barcelona_23,0.124946589
barcelona_21,0.129808972
barcelona_20,0.141031316
barcelona_19,0.132054077
barcelona_18,0.136957508
barcelona_8,0.131129421
barcelona_9,0.132701605
barcelona_15,0.137055336
barcelona_14,0.135410693
barcelona_16,0.137703854
barcelona_17,0.140682847
barcelona_13,0.140754858
barcelona_11,0.125133492
barcelona_12,0.127819862
barcelona_1,0.117974365
barcelona_2,0.114471996
barcelona_3,0.088358183
barcelona_10,0.122543389
barcelona_7,0.130021956
barcelona_31,0.135674873
barcelona_30,0.135306639
barcelona_37,0.135171233
barcelona_32,0.137435305
barcelona_34,0.130245924
barcelona_36,0.138928434
barcelona_33,0.134241936
barcelona_6,0.132253372
barcelona_35,0.13646576
barcelona_64,0.135267663
barcelona_63,0.137670656
barcelona_62,0.136313347
barcelona_65,0.133697093
barcelona_5,0.12844946
barcelona_66,0.128793664
barcelona_4,0.125213969
barcelona_67,0.107672318
barcelona_68,0.094824979
barcelona_71,0.1307375
barcelona_61,0.13894318
barcelona_72,0.139778696
barcelona_73,0.145297421
barcelona_69,0.089409655
barcelona_70,0.099545163
barcelona_56,0.125358232
barcelona_57,0.137509606
barcelona_59,0.144985715
barcelona_60,0.142625784
barcelona_44,0.138052325
barcelona_45,0.142946281
barcelona_52,0.139012835
barcelona_53,0.12565121
barcelona_58,0.146323027
barcelona_54,0.112729896
barcelona_50,0.122056656
barcelona_55,0.118304348
barcelona_49,0.12193335
barcelona_48,0.138715774
barcelona_51,0.136804348
barcelona_46,0.143187747
barcelona_47,0.143229097
barcelona_42,0.138826087
istanbul_032,0.137270392
istanbul_015,0.135897959
istanbul_014,0.124264347
istanbul_002,0.127381393
istanbul_018,0.144953585
istanbul_008,0.140489729
istanbul_012,0.141720438
istanbul_001,0.054176244
istanbul_004,0.106512933
istanbul_026,0.120805762
istanbul_007,0.130426126
istanbul_006,0.135111736
istanbul_005,0.130387295
istanbul_022,0.134178724
istanbul_017,0.127042082
istanbul_019,0.120421474
istanbul_035,0.109203607
istanbul_009,0.128079666
istanbul_021,0.127300325
istanbul_024,0.119481247
istanbul_020,0.113045023
istanbul_013,0.106241863
istanbul_033,0.109834031
istanbul_030,0.11271662
istanbul_010,0.105306692
istanbul_038,0.11207596
istanbul_023,0.120106896
istanbul_039,0.126646822
istanbul_025,0.128642608
istanbul_028,0.118332506
istanbul_027,0.124410469
istanbul_034,0.136917432
istanbul_029,0.128034659
istanbul_003,0.133850442
istanbul_037,0.122499565
istanbul_016,0.122881534
istanbul_011,0.121739202
istanbul_036,0.142419886
istanbul_031,0.123864792
telaviv_045,0.115377068
telaviv_047,0.140117007
telaviv_046,0.136598413
telaviv_049,0.144755556
telaviv_048,0.146146199
telaviv_050,0.1465894
telaviv_051,0.152130286
telaviv_014,0.152797101
telaviv_015,0.149413043
telaviv_007,0.150444953
telaviv_008,0.142952314
telaviv_002,0.1284287
telaviv_001,0.124286613
telaviv_004,0.141210842
telaviv_009,0.141450957
telaviv_003,0.102832673
telaviv_005,0.156487057
telaviv_010,0.149049969
telaviv_011,0.147239432
