nbhd_code,Cities_urbanLST_count
casablanca_025,59
casablanca_011,136
casablanca_012,176
casablanca_031,30
casablanca_019,12
casablanca_016,19
casablanca_002,14
casablanca_014,15
casablanca_022,3
casablanca_005,3
casablanca_015,115
casablanca_021,4
casablanca_026,6
casablanca_027,2
casablanca_009,4
casablanca_010,3
casablanca_006,1
casablanca_033,9
casablanca_008,9
casablanca_023,8
casablanca_018,27
casablanca_032,11
casablanca_030,116
casablanca_034,4
casablanca_001,14
casablanca_013,83
casablanca_003,33
casablanca_029,18
casablanca_004,25
casablanca_017,5
casablanca_028,10
casablanca_020,0
casablanca_024,3
casablanca_007,20
barcelona_22,14
barcelona_39,2
barcelona_40,4
barcelona_43,3
barcelona_28,1
barcelona_41,1
barcelona_38,1
barcelona_29,1
barcelona_25,3
barcelona_27,1
barcelona_26,2
barcelona_24,1
barcelona_23,4
barcelona_21,4
barcelona_20,3
barcelona_19,2
barcelona_18,2
barcelona_8,2
barcelona_9,2
barcelona_15,1
barcelona_14,0
barcelona_16,0
barcelona_17,0
barcelona_13,2
barcelona_11,7
barcelona_12,16
barcelona_1,1
barcelona_2,1
barcelona_3,1
barcelona_10,1
barcelona_7,2
barcelona_31,3
barcelona_30,0
barcelona_37,0
barcelona_32,0
barcelona_34,1
barcelona_36,2
barcelona_33,1
barcelona_6,1
barcelona_35,2
barcelona_64,0
barcelona_63,1
barcelona_62,1
barcelona_65,1
barcelona_5,1
barcelona_66,1
barcelona_4,2
barcelona_67,1
barcelona_68,2
barcelona_71,2
barcelona_61,1
barcelona_72,1
barcelona_73,2
barcelona_69,2
barcelona_70,1
barcelona_56,1
barcelona_57,1
barcelona_59,3
barcelona_60,2
barcelona_44,0
barcelona_45,1
barcelona_52,0
barcelona_53,1
barcelona_58,1
barcelona_54,2
barcelona_50,0
barcelona_55,1
barcelona_49,2
barcelona_48,0
barcelona_51,1
barcelona_46,0
barcelona_47,1
barcelona_42,0
istanbul_032,817
istanbul_015,1227
istanbul_014,165
istanbul_002,653
istanbul_018,54
istanbul_008,116
istanbul_012,53
istanbul_001,10
istanbul_004,44
istanbul_026,44
istanbul_007,49
istanbul_006,18
istanbul_005,24
istanbul_022,8
istanbul_017,21
istanbul_019,275
istanbul_035,42
istanbul_009,11
istanbul_021,8
istanbul_024,19
istanbul_020,30
istanbul_013,12
istanbul_033,38
istanbul_030,176
istanbul_010,32
istanbul_038,25
istanbul_023,33
istanbul_039,16
istanbul_025,54
istanbul_028,241
istanbul_027,65
istanbul_034,36
istanbul_029,72
istanbul_003,31
istanbul_037,54
istanbul_016,175
