system:index,OBJECTID,Shape_Area,Shape_Leng,count,nbhd_code
0000dea8d632765fa5d0,787,0.004656702,0.288914314,13,casablanca_025
0000656306c41af2cbb7,764,0.011127086,0.75861162,0,casablanca_011
0000b44c04cca973dc75,765,0.014600992,0.708041075,2,casablanca_012
0000ab28dd748a8486ba,792,0.002355201,0.222256652,4,casablanca_031
0000d8c22c0c2e358c77,781,0.001040404,0.164619608,5,casablanca_019
0000d507c21e90f2b99a,779,0.001490423,0.158938452,17,casablanca_016
0000765d17eedc8c7ab7,769,0.001157058,0.153842337,7,casablanca_002
00005158632a942b913b,778,0.001238673,0.164428621,15,casablanca_014
0000d10cdbf0564f946b,784,1.97E-04,0.081302597,3,casablanca_022
0000628ae967b218e4a3,772,1.75E-04,0.074555265,3,casablanca_005
00008f2091e28ef25d81,766,0.009104611,0.538426747,4,casablanca_015
0000986f256e236d208c,783,3.33E-04,0.078291843,1,casablanca_021
0000837b4acdce7313fe,788,4.64E-04,0.098636572,0,casablanca_026
00000dee02b5a7e306dd,789,2.13E-04,0.061606373,2,casablanca_027
0000d9e636d6caea7be5,776,3.32E-04,0.075308467,4,casablanca_009
00006ce4f3efcd6aef0b,777,2.23E-04,0.058924154,3,casablanca_010
000098cb4a058724ffd6,773,1.74E-04,0.057799459,1,casablanca_006
0000754f084e5b60291c,794,6.94E-04,0.10878549,8,casablanca_033
0000c658bb18e3f01e99,775,8.41E-04,0.194518453,8,casablanca_008
0000b90276954c8f4224,785,5.85E-04,0.109986308,7,casablanca_023
0000aeeb4c9317c69fb2,767,0.001952927,0.201885257,3,casablanca_018
0000d2b161f75c744b3d,793,0.001019972,0.165507978,7,casablanca_032
00005b4b813378e9c958,797,0.009475458,0.505149164,0,casablanca_030
00005a7a24be2dbc30f6,795,5.55E-04,0.117734606,0,casablanca_034
00000e50d50ddbf308df,768,0.001067606,0.134313087,1,casablanca_001
000005e3f18c53edea19,796,0.006648635,0.493158581,1,casablanca_013
00008d0235b3b8084b30,770,0.002607538,0.248260063,7,casablanca_003
00000903fdc103394afc,791,0.001390243,0.166422133,14,casablanca_029
0000c51b05fba2621d1e,771,0.002186685,0.247788896,25,casablanca_004
000027bda3dc6f851de6,780,4.40E-04,0.119591591,5,casablanca_017
0000bfdd6841816694c1,790,8.12E-04,0.166448151,10,casablanca_028
0000458c512fc8897705,782,5.03E-05,0.029640088,0,casablanca_020
0000c3c5981271a81e98,786,3.50E-04,0.158495888,3,casablanca_024
0000d8886bd71874bf70,774,0.001761286,0.232817021,15,casablanca_007
000011f4398987ffa889,504,0.00124183,0.361106048,0,barcelona_22
0000c98c97e542bb52ee,521,1.85E-04,0.084314367,0,barcelona_39
000023d4a2b5aa57d1b0,522,2.21E-04,0.078925218,1,barcelona_40
0000d88166da35d7a1ff,525,3.32E-04,0.115790815,1,barcelona_43
00004b85bce87666d449,510,1.30E-04,0.089917661,1,barcelona_28
0000cef990d0fc0eac9c,523,7.94E-05,0.042080258,1,barcelona_41
0000a06efa46ccb848b4,520,3.63E-05,0.032225749,1,barcelona_38
000012cab69fbe193d09,511,3.86E-05,0.037364352,1,barcelona_29
00009bd34a8c1ba3edd7,507,2.41E-04,0.089165348,2,barcelona_25
000094f9e429c75055e0,509,9.12E-05,0.045788808,1,barcelona_27
0000e554bb180adb37af,508,1.79E-04,0.056038972,2,barcelona_26
000078998aeab330d88c,506,8.49E-05,0.045927385,1,barcelona_24
0000642f90c9f274247c,505,3.28E-04,0.109164214,2,barcelona_23
00000c0346a7ce5145c0,503,2.91E-04,0.094163785,2,barcelona_21
000092c42f7dc7f968d3,502,2.05E-04,0.069632379,3,barcelona_20
0000e893251b5406b3ad,501,1.52E-04,0.051891497,2,barcelona_19
0000f53cdbec8009bf19,500,1.18E-04,0.050152447,2,barcelona_18
0000d37055e3e2f47b06,490,1.33E-04,0.052536261,2,barcelona_8
000057084a5503bc643d,491,1.44E-04,0.047811189,2,barcelona_9
000065c034d81df066a9,497,4.42E-05,0.031950459,1,barcelona_15
0000a8c57f181a60761b,496,3.25E-05,0.030289262,0,barcelona_14
0000146bb8da9add70bd,498,6.21E-05,0.037904157,0,barcelona_16
0000e21c3c758f7a1c34,499,4.42E-05,0.029318023,0,barcelona_17
0000096953d12c808adb,495,1.35E-04,0.060964946,2,barcelona_13
00004f7c84173d3a7aeb,493,4.96E-04,0.107756283,7,barcelona_11
0000adfa00c01206ccf3,494,0.001537628,0.443902122,16,barcelona_12
00001bd87289c4253b4a,483,1.18E-04,0.058766701,1,barcelona_1
0000769309c0441368f1,484,9.07E-05,0.057551883,1,barcelona_2
0000f77aed6705f97eba,485,1.42E-04,0.133427142,1,barcelona_3
0000dc782ffec59d1cf6,492,8.63E-05,0.050725285,1,barcelona_10
0000ef9b9094224c4cd8,489,2.29E-04,0.069589088,2,barcelona_7
00000c25397ae1adf0d0,513,1.43E-04,0.050276493,3,barcelona_31
0000e724e747dca23658,512,6.93E-05,0.042799125,0,barcelona_30
000032f9eb22827b23b8,519,1.01E-04,0.065155101,0,barcelona_37
000053cc9fb656c0f429,514,7.00E-05,0.040484198,0,barcelona_32
000016103e4dd403c626,516,4.14E-05,0.046810362,1,barcelona_34
000064e7076e4f81a225,518,7.08E-05,0.045776496,2,barcelona_36
0000bad8cb74fb641706,515,6.03E-05,0.032292333,1,barcelona_33
0000641171921a1f0f45,488,1.13E-04,0.046965975,1,barcelona_6
00002b11ed117d68e68d,517,1.41E-04,0.064945033,2,barcelona_35
00008839fa79674220e4,546,7.99E-05,0.035301811,0,barcelona_64
0000ea88e7bdc5dca0fc,545,4.56E-05,0.032945232,1,barcelona_63
00003d697823ac4ecd2c,544,4.39E-05,0.028651847,1,barcelona_62
0000b23ec3e7a8378f6b,547,7.50E-05,0.040507327,1,barcelona_65
000046fda78836fb7cd9,487,1.00E-04,0.044019762,1,barcelona_5
00001b44d666b68a1023,548,1.20E-04,0.054966754,1,barcelona_66
0000fcb60f4b6510346f,486,1.20E-04,0.050255192,2,barcelona_4
00005f764d1f516ae240,549,1.02E-04,0.070947296,1,barcelona_67
0000de9e0c8fb58b9c67,550,1.66E-04,0.067611515,2,barcelona_68
00005e83e2f1efc52d29,553,1.19E-04,0.055461599,2,barcelona_71
000072bc7bf9cf82c3e9,543,1.05E-04,0.044815805,1,barcelona_61
0000419749370aca4119,554,8.03E-05,0.035579998,1,barcelona_72
00005e09cc70aa7217d8,555,1.21E-04,0.046888998,2,barcelona_73
00005bb2f18ba3fa6134,551,1.33E-04,0.080670278,2,barcelona_69
0000d9a7a90ebf47ce42,552,1.37E-04,0.068756958,1,barcelona_70
0000ffc8ec6d1ccfac9a,538,6.45E-05,0.043776363,1,barcelona_56
000082fe268b40ec6f71,539,8.73E-05,0.050944008,1,barcelona_57
0000f8fbf4e07b24f167,541,2.03E-04,0.067287164,3,barcelona_59
00007498009298e34dbb,542,1.98E-04,0.063736686,2,barcelona_60
0000e72efe2530c00e78,526,6.11E-05,0.05227437,0,barcelona_44
00003a4ccb2eda3194da,527,9.07E-05,0.039133957,1,barcelona_45
0000443cdbd718ac0a26,534,6.41E-05,0.035743665,0,barcelona_52
000038ad86a7cbd4b194,535,6.04E-05,0.039636701,1,barcelona_53
000075e297d17b56800b,540,2.48E-05,0.02341996,1,barcelona_58
0000b093d18a959e5c8b,536,1.91E-04,0.081337684,2,barcelona_54
0000fe813526ce838e56,532,6.92E-05,0.047861322,0,barcelona_50
0000f6bcf8c46feb5d2d,537,3.83E-05,0.033446475,1,barcelona_55
0000ef5ac993b592af26,531,8.55E-05,0.050218403,1,barcelona_49
0000238925d1433f964e,530,6.59E-05,0.036951317,0,barcelona_48
0000a52bf68d64794ca5,533,2.56E-05,0.022512639,1,barcelona_51
0000d38f5b053d72cafd,528,3.82E-05,0.033288007,0,barcelona_46
0000b69ebf78c07a7823,529,1.29E-05,0.021579757,1,barcelona_47
00002fc88f048d434cb8,524,1.92E-05,0.020616456,0,barcelona_42
