nbhd_code,ndbi_all
casablanca_025,0.074050151
casablanca_011,0.07324773
casablanca_012,0.065335005
casablanca_031,0.050684881
casablanca_019,0.039391064
casablanca_016,-0.004392104
casablanca_002,0.008138926
casablanca_014,-0.028540433
casablanca_022,0.027040682
casablanca_005,0.03262882
casablanca_015,0.041477829
casablanca_021,0.06545326
casablanca_026,0.064399243
casablanca_027,0.068487973
casablanca_009,0.033085882
casablanca_010,0.020168595
casablanca_006,0.033574429
casablanca_033,0.044448995
casablanca_008,0.021821607
casablanca_023,0.058652352
casablanca_018,0.083307995
casablanca_032,0.057757215
casablanca_030,0.074572078
casablanca_034,0.058405807
casablanca_001,0.067377178
casablanca_013,0.018198183
casablanca_003,0.000452
casablanca_029,0.028295427
casablanca_004,0.029142589
casablanca_017,0.02366458
casablanca_028,0.003933116
casablanca_020,0.054917985
casablanca_024,0.018073619
casablanca_007,-0.037334031
barcelona_22,-0.234068226
barcelona_39,-0.184104806
barcelona_40,-0.183864068
barcelona_43,-0.0946548
barcelona_28,-0.03791626
barcelona_41,-0.013838225
barcelona_38,0.041011354
barcelona_29,-0.043969863
barcelona_25,-0.04561173
barcelona_27,0.041034535
barcelona_26,0.037505394
barcelona_24,0.001091254
barcelona_23,-0.083394207
barcelona_21,-0.090053423
barcelona_20,-0.023791673
barcelona_19,0.005247863
barcelona_18,0.071824185
barcelona_8,0.059265933
barcelona_9,0.049230369
barcelona_15,0.063458876
barcelona_14,0.005210058
barcelona_16,0.057685398
barcelona_17,0.0841032
barcelona_13,0.001036385
barcelona_11,-0.065107641
barcelona_12,0.018214212
barcelona_1,0.063665404
barcelona_2,0.069861228
barcelona_3,0.006581703
barcelona_10,0.0551752
barcelona_7,0.046947011
barcelona_31,0.093017976
barcelona_30,-0.022697659
barcelona_37,0.010513988
barcelona_32,0.061526247
barcelona_34,-0.022081821
barcelona_36,-0.018875653
barcelona_33,0.047655924
barcelona_6,0.043659689
barcelona_35,0.013002866
barcelona_64,0.064405267
barcelona_63,0.048769288
barcelona_62,0.051657061
