nbhd_code,ndvi_all
casablanca_025,0.234571541
casablanca_011,0.259541615
casablanca_012,0.234517875
casablanca_031,0.244216813
casablanca_019,0.186790969
casablanca_016,0.20346792
casablanca_002,0.231816383
casablanca_014,0.213403506
casablanca_022,0.142432864
casablanca_005,0.126563506
casablanca_015,0.284348603
casablanca_021,0.26974117
casablanca_026,0.252563123
casablanca_027,0.170468943
casablanca_009,0.127703413
casablanca_010,0.143980076
casablanca_006,0.144932869
casablanca_033,0.172397162
casablanca_008,0.138290462
casablanca_023,0.132640537
casablanca_018,0.22971667
casablanca_032,0.166682156
casablanca_030,0.279978974
casablanca_034,0.235920828
casablanca_001,0.234193403
casablanca_013,0.328841436
casablanca_003,0.303347602
casablanca_029,0.157953599
casablanca_004,0.14332122
casablanca_017,0.152534978
casablanca_028,0.136805826
casablanca_020,0.098354042
casablanca_024,0.106810594
casablanca_007,0.229864965
barcelona_22,0.596328983
barcelona_39,0.533192529
barcelona_40,0.50699234
barcelona_43,0.406087299
barcelona_28,0.297296028
barcelona_41,0.214897725
barcelona_38,0.179015237
barcelona_29,0.316609424
barcelona_25,0.308923687
barcelona_27,0.195408879
barcelona_26,0.183215933
barcelona_24,0.226005758
barcelona_23,0.359495614
barcelona_21,0.358015422
barcelona_20,0.21114056
barcelona_19,0.19500659
barcelona_18,0.132233084
barcelona_8,0.153246434
barcelona_9,0.161995913
barcelona_15,0.13337729
barcelona_14,0.215951138
barcelona_16,0.136348095
barcelona_17,0.11779657
barcelona_13,0.202610723
barcelona_11,0.310126493
barcelona_12,0.082761511
barcelona_1,0.130862382
barcelona_2,0.119010992
barcelona_3,0.092346937
barcelona_10,0.160001524
barcelona_7,0.155790739
barcelona_31,0.135426061
barcelona_30,0.257458509
barcelona_37,0.223882603
barcelona_32,0.148244644
barcelona_34,0.270186231
barcelona_36,0.24854488
barcelona_33,0.160176246
barcelona_6,0.151480775
barcelona_35,0.210991823
barcelona_64,0.139357272
barcelona_63,0.158389301
barcelona_62,0.161981727
barcelona_65,0.154102691
barcelona_5,0.176090312
barcelona_66,0.135174605
barcelona_4,0.217964811
barcelona_67,0.198619078
barcelona_68,0.15692287
barcelona_71,0.169162821
barcelona_61,0.144949744
barcelona_72,0.228095519
barcelona_73,0.19089973
barcelona_69,0.155205427
barcelona_70,0.147594622
barcelona_56,0.32901016
barcelona_57,0.203081445
barcelona_59,0.117675483
barcelona_60,0.160931921
barcelona_44,0.156319151
barcelona_45,0.17916722
barcelona_52,0.169575746
barcelona_53,0.24451484
barcelona_58,0.175429227
barcelona_54,0.492463254
barcelona_50,0.295403588
barcelona_55,0.281595894
barcelona_49,0.425955617
barcelona_48,0.263245425
barcelona_51,0.175302882
barcelona_46,0.224848086
barcelona_47,0.183388148
barcelona_42,0.286636994
istanbul_032,0.431508096
istanbul_015,0.580195155
istanbul_014,0.22099475
istanbul_002,0.410016985
istanbul_018,0.202159156
istanbul_008,0.269186457
istanbul_012,0.253077349
istanbul_001,0.350797477
istanbul_004,0.18506382
istanbul_026,0.154752794
istanbul_007,0.196304808
istanbul_006,0.110769841
istanbul_005,0.118060116
istanbul_022,0.112583278
istanbul_017,0.163118826
istanbul_019,0.484308675
istanbul_035,0.262870915
istanbul_009,0.100980336
istanbul_021,0.136205888
istanbul_024,0.19326444
istanbul_020,0.147752654
istanbul_013,0.141760711
istanbul_033,0.303313986
istanbul_030,0.508051274
istanbul_010,0.254213502
istanbul_038,0.323345392
istanbul_023,0.212676135
istanbul_039,0.146635877
istanbul_025,0.274556079
istanbul_028,0.419471866
istanbul_027,0.197134715
istanbul_034,0.28965828
istanbul_029,0.378797403
istanbul_003,0.164547691
istanbul_037,0.239261997
istanbul_016,0.572331733
istanbul_011,0.553431493
istanbul_036,0.370072311
istanbul_031,0.631684726
telaviv_045,0.159730763
telaviv_047,0.209504641
telaviv_046,0.183861413
telaviv_049,0.196873957
telaviv_048,0.200120149
telaviv_050,0.199323567
telaviv_051,0.209714464
telaviv_014,0.234096791
telaviv_015,0.267397916
telaviv_007,0.285271739
telaviv_008,0.277208635
telaviv_002,0.236706479
telaviv_001,0.237009689
telaviv_004,0.218405107
telaviv_009,0.28051993
telaviv_003,0.12379459
telaviv_005,0.21487582
telaviv_010,0.282258248
telaviv_011,0.218747633
telaviv_012,0.196198222
telaviv_013,0.328738535
telaviv_016,0.304747744
telaviv_018,0.217979285
telaviv_019,0.265464111
telaviv_026,0.232310756
telaviv_027,0.283545431
telaviv_028,0.133433602
telaviv_025,0.235974863
telaviv_017,0.238865287
telaviv_022,0.237766494
telaviv_020,0.177281712
telaviv_021,0.249192312
telaviv_023,0.301188988
telaviv_024,0.26738444
telaviv_070,0.240904009
telaviv_060,0.299705875
telaviv_069,0.207558063
telaviv_059,0.185304412
telaviv_061,0.228171723
telaviv_062,0.196508481
telaviv_058,0.142936592
telaviv_068,0.210303109
telaviv_067,0.195948512
telaviv_063,0.172663374
telaviv_065,0.225077202
telaviv_064,0.198326359
telaviv_066,0.248824313
telaviv_071,0.228530164
telaviv_054,0.146158113
telaviv_056,0.198339383
telaviv_043,0.08422823
telaviv_053,0.10708796
telaviv_037,0.132011349
telaviv_041,0.089073854
telaviv_040,0.140641007
telaviv_031,0.154970372
telaviv_035,0.201153604
telaviv_030,0.16594162
telaviv_034,0.20242972
telaviv_036,0.194733236
telaviv_057,0.144783543
telaviv_032,0.245941895
telaviv_006,0.222193882
telaviv_033,0.227118101
telaviv_029,0.106253879
telaviv_038,0.091798885
telaviv_039,0.152184019
telaviv_042,0.115640561
telaviv_052,0.073151051
telaviv_055,0.244073455
telaviv_044,0.124121727
Johannesburg_1,NA
Johannesburg_2,NA
Johannesburg_3,NA
Johannesburg_6,0.490684649
Johannesburg_23,NA
Johannesburg_125,NA
Johannesburg_122,NA
Johannesburg_119,NA
Johannesburg_24,NA
Johannesburg_18,NA
Johannesburg_54,NA
Johannesburg_55,NA
Johannesburg_124,NA
Johannesburg_68,NA
Johannesburg_58,NA
Johannesburg_29,NA
Johannesburg_27,NA
Johannesburg_26,NA
Johannesburg_28,NA
Johannesburg_25,NA
Johannesburg_30,NA
Johannesburg_31,NA
Johannesburg_70,0.468122665
Johannesburg_39,NA
Johannesburg_40,NA
Johannesburg_82,NA
Johannesburg_86,NA
Johannesburg_88,NA
Johannesburg_89,NA
Johannesburg_85,0.357877055
Johannesburg_126,NA
Johannesburg_98,NA
Johannesburg_99,NA
Johannesburg_117,NA
Johannesburg_102,NA
Johannesburg_90,NA
Johannesburg_87,NA
Johannesburg_69,NA
Johannesburg_60,NA
Johannesburg_67,NA
Johannesburg_59,NA
Johannesburg_123,NA
Johannesburg_63,NA
Johannesburg_62,NA
Johannesburg_64,NA
Johannesburg_66,NA
Johannesburg_73,NA
Johannesburg_74,NA
Johannesburg_91,NA
Johannesburg_103,NA
Johannesburg_108,NA
Johannesburg_107,NA
Johannesburg_81,NA
Johannesburg_75,NA
Johannesburg_76,NA
Johannesburg_116,NA
Johannesburg_105,NA
Johannesburg_72,NA
Johannesburg_118,NA
Johannesburg_65,NA
Johannesburg_57,NA
Johannesburg_61,NA
Johannesburg_56,NA
Johannesburg_32,NA
Johannesburg_77,NA
Johannesburg_78,NA
Johannesburg_111,NA
Johannesburg_79,NA
Johannesburg_110,NA
Johannesburg_80,NA
Johannesburg_93,NA
Johannesburg_112,NA
Johannesburg_92,NA
Johannesburg_94,NA
Johannesburg_113,NA
Johannesburg_96,0.395609414
Johannesburg_106,NA
Johannesburg_109,NA
Johannesburg_115,NA
Johannesburg_104,NA
Johannesburg_101,NA
Johannesburg_97,0.37963551
Johannesburg_114,0.356517277
Johannesburg_100,0.19378975
Johannesburg_95,NA
Johannesburg_71,0.42335901
Johannesburg_83,0.328039374
Johannesburg_127,0.43625363
Johannesburg_84,0.378120937
Johannesburg_41,NA
Johannesburg_43,0.325618112
Johannesburg_42,0.388060517
Johannesburg_38,NA
Johannesburg_45,0.239321897
Johannesburg_36,0.427405135
Johannesburg_47,0.271738277
Johannesburg_44,0.282441586
Johannesburg_49,0.303370434
Johannesburg_129,0.311768733
Johannesburg_48,0.274455076
Johannesburg_46,0.326070356
Johannesburg_34,0.357249589
Johannesburg_51,0.222099566
Johannesburg_52,0.225753048
Johannesburg_128,0.342537157
Johannesburg_53,0.321326246
Johannesburg_50,0.2978965
Johannesburg_130,0.236307419
Johannesburg_20,0.249160921
Johannesburg_14,0.304836025
Johannesburg_13,0.299541417
Johannesburg_10,0.378597837
Johannesburg_9,0.333272797
Johannesburg_8,0.411050807
Johannesburg_11,0.354946551
Johannesburg_12,0.252522501
Johannesburg_19,0.158837309
Johannesburg_16,0.317103143
Johannesburg_15,0.249768961
Johannesburg_21,0.27337256
Johannesburg_33,0.339435099
Johannesburg_35,0.321072177
Johannesburg_37,0.195772616
Johannesburg_22,NA
Johannesburg_17,NA
Johannesburg_120,0.447804153
Johannesburg_121,0.444085998
Johannesburg_7,0.427993627
Johannesburg_4,NA
Johannesburg_5,0.469070454
jakarta_005,0.20380397
jakarta_001,0.166160011
jakarta_021,0.160086983
jakarta_018,0.139117372
jakarta_008,0.161766931
jakarta_023,0.295680695
jakarta_006,0.3551856
jakarta_011,0.311255995
jakarta_031,0.296090282
jakarta_007,0.295036883
jakarta_022,0.215281343
jakarta_030,0.279995058
jakarta_004,0.234379501
jakarta_016,0.178499987
jakarta_033,0.184721413
jakarta_020,0.155412259
jakarta_017,0.124762894
jakarta_015,0.176359583
jakarta_040,0.18651117
jakarta_037,0.119175825
jakarta_024,0.183645728
jakarta_029,0.203547059
jakarta_012,0.118621366
jakarta_042,0.122343015
jakarta_026,0.124030569
jakarta_009,0.145783037
jakarta_036,0.109636243
jakarta_013,0.109676937
jakarta_002,0.122675329
jakarta_025,0.08737148
jakarta_034,0.129432751
jakarta_019,0.125968662
jakarta_041,0.141553867
jakarta_027,0.152641218
jakarta_035,0.123214177
jakarta_038,0.118930979
jakarta_039,0.097855566
jakarta_010,0.140436733
jakarta_032,0.101945924
jakarta_003,0.155529038
jakarta_028,0.13300933
jakarta_014,0.168364501
bangkok_017,0.226533365
bangkok_039,0.28495091
bangkok_004,0.240092717
bangkok_024,0.212556304
bangkok_044,0.371533073
bangkok_045,0.344757792
bangkok_029,0.335959273
bangkok_003,0.317646081
bangkok_031,0.325783285
bangkok_015,0.312748723
bangkok_001,0.312504716
bangkok_012,0.260565745
bangkok_046,0.197240928
bangkok_037,0.253960649
bangkok_005,0.165190399
bangkok_022,0.139065448
bangkok_050,0.159445421
bangkok_042,0.191914666
bangkok_009,0.129812313
bangkok_030,0.164306796
bangkok_040,0.083241575
bangkok_034,0.167809311
bangkok_011,0.274159968
bangkok_035,0.155318266
bangkok_038,0.164697698
bangkok_018,0.205138719
bangkok_032,0.17263776
bangkok_008,0.197015343
bangkok_010,0.170292071
bangkok_014,0.172817449
bangkok_016,0.143500744
bangkok_019,0.225170458
bangkok_026,0.180960532
bangkok_002,0.241452437
bangkok_049,0.233679971
bangkok_043,0.239412341
bangkok_048,0.215965506
bangkok_023,0.165833203
bangkok_033,0.221647325
bangkok_007,0.222961799
bangkok_047,0.292320249
bangkok_006,0.20199359
hochiminh_001,0.294450519
hochiminh_007,0.244004936
hochiminh_004,0.322464609
bangkok_036,0.286121176
bangkok_025,0.296050178
bangkok_041,0.291703991
bangkok_013,0.21623443
bangkok_020,0.245250455
bangkok_021,0.266815837
bangkok_027,0.264224447
bangkok_028,0.280314189
hochiminh_012,0.263045468
hochiminh_024,0.233639031
hochiminh_021,0.357615919
hochiminh_005,0.508824699
hochiminh_014,0.255386229
hochiminh_019,0.188752025
hochiminh_008,0.251017166
hochiminh_002,0.186342812
hochiminh_006,0.180427873
hochiminh_013,0.171323225
hochiminh_009,0.148513908
hochiminh_015,0.135469317
hochiminh_022,0.174901059
hochiminh_023,0.160046531
hochiminh_003,0.246419243
hochiminh_018,0.130420795
hochiminh_020,0.201864286
hochiminh_017,0.1311407
hochiminh_011,0.13156761
hochiminh_010,0.146370561
hochiminh_016,0.093817881
singapore_034,0.128675415
singapore_032,0.090514868
singapore_009,0.149201353
singapore_010,0.150852586
singapore_008,0.180751649
singapore_014,0.169366145
singapore_012,0.254150594
singapore_033,0.194843578
singapore_015,0.54120959
singapore_019,0.170876958
singapore_038,0.345340512
singapore_031,0.151984114
singapore_027,0.38019784
singapore_055,0.212847215
singapore_043,0.381353055
singapore_048,0.164121056
singapore_013,0.233307647
singapore_023,0.332777576
singapore_037,0.213212922
singapore_017,0.204270601
singapore_002,0.365258696
singapore_021,0.261145571
singapore_007,0.186385058
singapore_036,0.171413485
singapore_018,0.243450103
singapore_030,0.093222528
singapore_022,0.24136019
singapore_001,0.061885354
singapore_020,0.025734212
singapore_050,0.094968622
singapore_051,0.094937059
singapore_049,0.093460307
singapore_047,0.075918769
singapore_029,0.098184058
singapore_052,0.047892349
singapore_045,0.110668954
singapore_054,0.129685074
singapore_004,0.063924216
singapore_046,-0.03250147
singapore_024,0.048487579
singapore_003,0.18126564
singapore_011,0.113339542
singapore_005,-0.018008301
singapore_042,0.357179789
singapore_028,-0.01705246
singapore_040,-0.109273044
singapore_016,-0.107211498
singapore_044,-0.083766837
singapore_039,0.071277866
singapore_053,0.006017806
singapore_025,0.100679864
singapore_035,0.028771147
singapore_006,0.157634902
singapore_041,0.320679976
singapore_026,0.142038272
manila_014,0.255350045
manila_001,0.295558503
manila_017,0.267053941
manila_009,0.061327573
manila_004,0.147240457
manila_006,0.11580816
manila_015,0.17419783
manila_007,0.169173934
manila_012,0.177600818
manila_005,0.198236773
manila_016,0.321935477
manila_003,0.233895308
manila_013,0.244372663
manila_011,0.201685412
manila_010,0.258271031
manila_002,0.295720753
manila_008,0.359350502
seoul_005,0.325191786
seoul_008,0.23999709
seoul_009,0.211341207
seoul_010,0.211653848
seoul_014,0.349370122
seoul_025,0.34350832
seoul_013,0.296157035
seoul_012,0.138588583
seoul_023,0.136634651
seoul_011,0.249398685
seoul_007,0.142681376
seoul_006,0.224667154
seoul_004,0.300413423
seoul_003,0.227036679
seoul_024,0.223211074
seoul_018,0.255436047
seoul_022,0.124741407
seoul_020,0.155384869
seoul_002,0.197014134
seoul_021,0.136218516
seoul_001,0.211258323
seoul_015,0.272691887
seoul_016,0.290804615
seoul_019,0.232213422
seoul_017,0.320093824
beijing_005,0.342472252
beijing_009,0.409068259
beijing_003,0.228228764
beijing_006,0.178813171
beijing_012,0.231591901
beijing_007,0.23198592
beijing_004,0.187815584
beijing_015,0.174767978
beijing_002,0.188970724
beijing_001,0.283438026
beijing_016,0.395997906
beijing_008,0.420344574
beijing_013,0.271013423
beijing_014,0.24451552
beijing_010,0.366318775
beijing_011,0.343229625
delhi_001,0.218504235
delhi_009,0.246350931
delhi_005,0.301642433
delhi_008,0.226694405
delhi_006,0.202566184
delhi_004,0.168401187
delhi_003,0.139595093
delhi_002,0.206730297
delhi_007,0.179970072
bangalore_184,0.441143773
bangalore_059,0.418950517
bangalore_096,0.401319247
bangalore_077,0.37557705
bangalore_016,0.33706349
bangalore_093,0.350355977
bangalore_153,0.383063811
bangalore_072,0.343309923
bangalore_012,0.269517165
bangalore_040,0.341865604
bangalore_053,0.328918871
bangalore_190,0.329188293
bangalore_001,0.231809841
bangalore_191,0.278856236
bangalore_020,0.347817703
bangalore_028,0.318419657
bangalore_138,0.297487273
bangalore_060,0.314428789
bangalore_044,0.331255131
bangalore_126,0.330737867
bangalore_019,0.359708023
bangalore_171,0.366842272
bangalore_123,0.272281284
bangalore_076,0.307424244
bangalore_003,0.444096666
bangalore_109,0.311603013
bangalore_089,0.282201418
bangalore_045,0.272071735
bangalore_165,0.275427588
bangalore_166,0.297847383
bangalore_183,0.219274294
bangalore_139,0.200366253
bangalore_002,0.354762266
bangalore_047,0.190357462
bangalore_110,0.317304569
bangalore_116,0.229120319
bangalore_176,0.237438026
bangalore_119,0.1929556
bangalore_058,0.133002042
bangalore_081,0.284153482
bangalore_071,0.186887151
bangalore_024,0.237620261
bangalore_018,0.350382741
bangalore_022,0.304360243
bangalore_006,0.330346331
bangalore_025,0.231502498
bangalore_088,0.209836947
bangalore_078,0.223058106
bangalore_143,0.270572449
bangalore_162,0.242010616
bangalore_160,0.231886154
bangalore_147,0.286863871
bangalore_084,0.273628957
bangalore_108,0.252813924
bangalore_056,0.303869495
bangalore_005,0.317800259
bangalore_186,0.259908511
bangalore_197,0.197090273
bangalore_112,0.22770534
bangalore_013,0.123662332
bangalore_100,0.220287645
bangalore_050,0.182294509
bangalore_142,0.19694948
bangalore_195,0.212936994
bangalore_015,0.211381282
bangalore_187,0.204503011
bangalore_178,0.221773119
bangalore_063,0.255625827
bangalore_087,0.296129902
bangalore_192,0.2694516
bangalore_027,0.219872748
bangalore_070,0.201004242
bangalore_170,0.212359327
bangalore_177,0.157644617
bangalore_158,0.309326461
bangalore_041,0.144792926
bangalore_092,0.171096918
bangalore_030,0.207521617
bangalore_029,0.215548064
bangalore_023,0.15264591
bangalore_035,0.166271293
bangalore_174,0.233102291
bangalore_140,0.230338319
bangalore_031,0.096000813
bangalore_049,0.225672594
bangalore_185,0.31004995
bangalore_037,0.140982877
bangalore_054,0.151784716
bangalore_036,0.175156256
bangalore_095,0.241746012
bangalore_122,0.322028694
bangalore_007,0.391828085
bangalore_151,0.24779357
bangalore_086,0.311051357
bangalore_052,0.34267383
bangalore_085,0.211502196
bangalore_039,0.316874526
bangalore_154,0.261514863
bangalore_156,0.338390325
bangalore_146,0.265719961
bangalore_168,0.128439441
bangalore_021,0.185684508
bangalore_061,0.26457447
bangalore_075,0.269833112
bangalore_161,0.331607463
bangalore_091,0.188110831
bangalore_129,0.30484211
bangalore_099,0.18819163
bangalore_094,0.226204136
bangalore_118,0.209471549
bangalore_064,0.27678964
bangalore_097,0.158256264
bangalore_157,0.229927613
bangalore_113,0.14347091
bangalore_132,0.158966909
bangalore_102,0.228437622
bangalore_135,0.215577354
bangalore_193,0.205305622
bangalore_180,0.313100966
bangalore_026,0.339479379
bangalore_107,0.324405831
bangalore_051,0.31206987
bangalore_065,0.249348379
bangalore_124,0.169020585
bangalore_159,0.278439293
bangalore_148,0.28715019
bangalore_130,0.218809928
bangalore_043,0.365322461
bangalore_188,0.330475172
bangalore_196,0.319091151
bangalore_082,0.350059232
bangalore_105,0.402129309
bangalore_034,0.380555319
bangalore_009,0.297128726
bangalore_114,0.308785169
bangalore_083,0.311912913
bangalore_167,0.295505351
bangalore_121,0.213117116
bangalore_011,0.257267363
bangalore_067,0.387398775
bangalore_106,0.34052047
bangalore_042,0.313390459
bangalore_181,0.29631507
bangalore_068,0.224923914
bangalore_090,0.294035171
bangalore_111,0.238213857
bangalore_066,0.181722864
bangalore_149,0.195442389
bangalore_144,0.190567385
bangalore_033,0.246102839
bangalore_179,0.159412108
bangalore_115,0.17144415
bangalore_117,0.202574114
bangalore_136,0.237052673
bangalore_120,0.18239607
bangalore_125,0.219127531
bangalore_069,0.198817425
bangalore_079,0.266796766
bangalore_198,0.186826693
bangalore_133,0.246135827
bangalore_175,0.176192027
bangalore_145,0.201871294
bangalore_173,0.193109412
bangalore_150,0.201071094
bangalore_169,0.150026906
bangalore_017,0.175447191
bangalore_004,0.177503692
bangalore_163,0.182991793
bangalore_164,0.169183891
bangalore_194,0.154272233
bangalore_103,0.203308577
bangalore_098,0.218340839
bangalore_057,0.222290611
bangalore_127,0.197853791
bangalore_131,0.190092266
bangalore_128,0.195694982
bangalore_134,0.271364504
bangalore_008,0.202496496
bangalore_189,0.143998356
bangalore_073,0.182010003
bangalore_062,0.203014624
bangalore_141,0.105308535
bangalore_155,0.205234669
bangalore_046,0.165899127
bangalore_104,0.119786836
bangalore_080,0.208347806
bangalore_010,0.190502737
bangalore_014,0.144138742
bangalore_048,0.211523715
bangalore_172,0.158856146
bangalore_038,0.223322576
bangalore_055,0.218954031
bangalore_101,0.175961043
bangalore_032,0.177452712
bangalore_074,0.208879186
bangalore_152,0.31179758
bangalore_182,0.311901737
bangalore_137,0.293211938
copenhagen_007,0.443886783
copenhagen_006,0.369971947
copenhagen_005,0.362066257
copenhagen_008,0.373479929
copenhagen_003,0.253542564
copenhagen_002,0.226660286
copenhagen_001,0.213062282
copenhagen_009,0.263908418
copenhagen_004,0.234542379
copenhagen_010,0.368991903
berlin_012,0.383746243
berlin_004,0.394177421
berlin_011,0.306071288
berlin_006,0.361840217
berlin_010,0.319446867
berlin_003,0.38202871
berlin_007,0.429768649
berlin_002,0.26482773
berlin_005,0.239395299
berlin_001,0.37109471
berlin_008,0.391809271
berlin_009,0.265138435
amsterdam_041,0.299113024
amsterdam_039,0.299443958
amsterdam_045,0.37778648
amsterdam_046,0.34350145
amsterdam_044,0.364621789
amsterdam_061,0.432740556
amsterdam_047,0.284342962
amsterdam_055,0.299287386
amsterdam_051,0.283072609
amsterdam_052,0.247747423
amsterdam_053,0.32004337
amsterdam_021,0.230737185
amsterdam_054,0.270707931
amsterdam_022,0.266758595
amsterdam_019,0.191684917
amsterdam_020,0.212463082
amsterdam_018,0.208715173
amsterdam_031,0.241198849
amsterdam_030,0.284888672
amsterdam_029,0.234475492
amsterdam_043,0.345609389
amsterdam_042,0.435810779
amsterdam_038,0.342892132
amsterdam_034,0.377674684
amsterdam_026,0.229255217
amsterdam_033,0.358255769
amsterdam_032,0.366111512
amsterdam_024,0.194832729
amsterdam_023,0.317820196
amsterdam_025,0.28498041
amsterdam_028,0.280117407
amsterdam_027,0.208632406
amsterdam_015,0.185453434
amsterdam_017,0.214189016
amsterdam_016,0.252028092
amsterdam_014,0.223666241
amsterdam_013,0.314814297
amsterdam_012,0.270091059
amsterdam_011,0.24458357
amsterdam_089,0.208656025
amsterdam_083,0.370815743
amsterdam_084,0.451317637
amsterdam_036,0.453163016
amsterdam_037,0.410272748
amsterdam_035,0.339534882
amsterdam_040,0.316602827
amsterdam_085,0.400463783
amsterdam_006,0.174866996
amsterdam_088,0.368185781
amsterdam_078,0.345916028
amsterdam_079,0.346079633
amsterdam_090,0.229149083
amsterdam_082,0.395174162
amsterdam_081,0.294729425
amsterdam_092,0.334611954
amsterdam_087,0.385044233
amsterdam_091,0.53739409
amsterdam_086,0.398780532
amsterdam_080,0.336890351
amsterdam_069,0.150791682
amsterdam_010,0.161155785
amsterdam_009,0.18929905
amsterdam_065,0.232309218
amsterdam_067,0.258676516
amsterdam_068,0.319056809
amsterdam_070,0.277340875
amsterdam_075,0.285246193
amsterdam_076,0.411611906
amsterdam_074,0.369144398
amsterdam_066,0.279839937
amsterdam_064,0.254731456
amsterdam_077,0.376751811
amsterdam_059,0.351470461
amsterdam_058,0.257731357
amsterdam_063,0.232421596
amsterdam_050,0.233253809
amsterdam_049,0.206332044
amsterdam_057,0.266231843
amsterdam_048,0.212874477
amsterdam_008,0.184962551
amsterdam_004,0.192064892
amsterdam_005,0.170538147
amsterdam_002,0.109323859
amsterdam_001,0.144869823
amsterdam_003,0.183608009
amsterdam_007,0.170461495
amsterdam_056,0.269543236
amsterdam_060,0.34046777
amsterdam_062,0.408443267
amsterdam_093,0.379484045
amsterdam_097,0.405744668
amsterdam_094,0.326312693
amsterdam_095,0.389432253
amsterdam_099,0.509420849
amsterdam_096,0.506690396
amsterdam_098,0.487316497
amsterdam_073,0.18143507
amsterdam_072,0.143147021
amsterdam_071,0.147426091
london_031,0.398152855
london_026,0.446225719
london_016,0.505844204
london_001,0.359900096
london_025,0.278439323
london_030,0.234571428
london_011,0.426157559
london_023,0.408078289
london_003,0.437397586
london_005,0.532304026
london_008,0.474824382
paris_012,0.399577787
paris_016,0.388352378
paris_019,0.231799975
paris_018,0.169178768
paris_020,0.245776969
paris_011,0.150647719
paris_010,0.113233548
paris_003,0.094552505
paris_004,0.08939795
paris_002,0.043696118
paris_009,0.06730084
paris_001,0.115962187
paris_006,0.153576391
paris_007,0.199849981
paris_008,0.140433108
paris_017,0.163213083
paris_015,0.202252196
paris_014,0.256458714
paris_013,0.214706186
paris_005,0.163413684
london_021,0.446860753
london_029,0.426337519
london_028,0.352498248
london_022,0.346864459
london_007,0.089496374
london_032,0.366823363
london_033,0.256629036
london_006,0.345779942
london_020,0.258388072
london_013,0.280793089
london_024,0.421353176
london_027,0.461813857
london_018,0.40388101
london_009,0.389405749
london_004,0.342607806
