"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"detroit_001","00004c022b4064e614d9",5.44652367,-1.326555803,5.523813212,7.982416741,0.257146464,-0.087565538,0.154383356046514,61.05639222,193.25895378352,1
"detroit_002","00006511507608f6a757",6.120810738,-1.115229737,6.19810028,8.169243311,0.206301553,-0.060849964,0.158089997596009,73.55355795,194.37555857891,3
"detroit_003","00001fa046a2513b685e",2.655639838,-1.618799713,2.73292938,4.426018453,0.261898231,-0.12483323,0.158963972251922,51.23780619,177.98211516164,5
"detroit_004","000002799fed1a2e314b",4.846331791,-0.64514604,4.923621333,6.527769487,0.349361481,-0.175901677,0.145301489514725,36.485669,192.186831494495,1
"detroit_005","00007bb1504796dfa92f",5.305725144,-0.951971748,5.383014686,7.065712858,0.313965208,-0.1285874,0.155248923546997,48.19676233,191.111928120208,3
"detroit_006","00004e42bb2b91714048",5.922513276,-0.823573662,5.999802818,7.519344236,0.274287847,-0.098297951,0.165092360429774,55.01111665,194.202978348324,8
"detroit_007","0000ae4d17d828a82116",6.064237912,-0.530093005,6.141527454,7.505086659,0.358292968,-0.141810529,0.161092996137334,36.41706799,193.884675465881,2
"detroit_008","0000f548d1d9b99e963b",5.617384515,-1.155496998,5.694674057,7.333505647,0.352873166,-0.149024697,0.152971240044924,38.50565538,191.810661368105,2
"detroit_009","0000293714d2877fda32",5.215959495,-0.223510604,5.293249037,6.917070756,0.237219557,-0.168914273,0.146462375536679,35.04689107,196.086280040208,2
"detroit_010","00000400638e1485a260",5.405445147,-1.24175388,5.482734689,6.985695149,0.360665031,-0.181069922,0.16255519226638,37.17986607,190.366240509585,2
"detroit_011","0000a9b71227ce614d45",5.14625754,-1.442939309,5.223547082,6.896294451,0.40406727,-0.190614509,0.15943351859009,31.07961,189.72001489041,1
"detroit_012","0000ec3156810de0af9a",5.412832047,-1.560670441,5.490121589,7.359087127,0.174984831,-0.072538739,0.150962776186325,74.77391844,189.757391348021,1
"detroit_013","00004730152983bce576",3.85808311,-1.095307776,3.935372652,4.933848081,0.178899737,-0.101405774,0.123419967446371,66.73892312,180.224036142822,5
"detroit_014","00000725ffa21a127a1b",6.350487149,-0.26865973,6.427776691,7.972223021,0.343866057,-0.139583908,0.153029604995395,34.87928559,197.669815276507,2
"detroit_015","0000bcf409810fc7c7be",5.137171253,-0.988470973,5.214460795,6.753710769,0.395930561,-0.189980202,0.165604939102283,19.82630986,186.781590763936,2
"detroit_016","0000d9d5060300411762",5.632379115,-0.387529834,5.709668657,7.286341755,0.296571159,-0.150312964,0.158619526758072,44.21742509,196.427464165757,2
"detroit_017","0000031564af5fed1533",5.043128765,-1.479805815,5.120418307,7.34153467,0.121803928,-0.059731432,0.167385965773138,82.85112296,184.346031114377,3
"detroit_018","0000f15937a2fc0123f4",5.379462135,-1.148684947,5.456751677,7.110386165,0.339256569,-0.15193843,0.161549970995505,41.49964733,187.915660003825,2
"detroit_019","0000f2d822fea63e3a81",5.142598036,-1.381996473,5.219887578,6.882652437,0.38640551,-0.177512558,0.158483887017781,31.81266325,188.709208430566,1
"detroit_020","000064b21758f8079f74",4.543978064,-1.697122553,4.621267606,6.394900252,0.421708494,-0.181331323,0.143513475850432,30.80286828,189.746585774199,2
"detroit_021","0000bdda2da91cfcf56f",3.952720449,-1.804039453,4.030009991,5.616343566,0.446181588,-0.2282994,0.149173386672314,21.96859753,189.242759748799,1
"detroit_022","0000c35efc9822661f49",4.1413262,-1.745201411,4.218615742,5.788845676,0.375359424,-0.180751013,0.160965180510497,28.89652949,186.401513096422,1
"detroit_023","00003dc76eee769c5d91",2.170497292,-1.530743337,2.247786834,3.777595171,0.174282142,-0.18253727,0.138463386483885,41.22163498,179.00530693579,3
"detroit_024","0000fc95c7c8e4dca91c",5.856896207,-1.103435906,5.934185749,7.652947939,0.296418563,-0.118028758,0.149349841449841,52.93703574,194.711101290641,1
"detroit_025","00004e436b1a5c8fda25",2.510062388,-1.120754676,2.58735193,4.014779027,0.1027591,-0.114079916,0.11488943105771,68.1622963,179.580169262291,2
"detroit_026","00009345c9caf737436b",6.772239244,-0.85973982,6.849528786,8.86569804,0.143338082,-0.025449058,0.156720248246234,91.9608645,196.95249741244,1
"detroit_027","0000e69e0eb8efbf9889",6.46622705,-0.625217566,6.543516592,8.228940804,0.158485124,-0.01855062,0.15566645432618,85.83677699,187.604823031832,2
"detroit_028","0000daef976be5f3745b",6.269434672,-0.605039828,6.346724214,8.051728633,0.199988686,-0.074546167,0.149669352195319,75.78970672,199.203262165801,1
"detroit_029","00001ac96c7532d9f7cf",-0.077289542,-0.599491723,0,0.717354706,0.237077705,-0.225043282,0.116053145246074,29.88792922,177.021678055485,8
"detroit_030","000013de49f7388707c4",6.325124629,-0.389687964,6.402414171,8.127154155,0.344003694,-0.137289878,0.157781144502445,41.12070507,195.889617559206,4
"detroit_031","0000bb668f4520413733",6.179697192,-0.743712062,6.256986734,7.98839056,0.298030005,-0.094594519,0.156317081312081,62.00124159,196.845546348338,1
"detroit_032","000019e9ed836f30429a",5.965344354,-0.417645727,6.042633896,7.693629592,0.437064882,-0.194218104,0.147951798123827,39.53929983,197.019724000699,1
"detroit_033","00005041707d7d3b3425",5.686228082,-0.507506455,5.763517624,7.496390604,0.451179885,-0.225073928,0.141788300508674,25.18576676,196.722829612128,2
"detroit_034","0000cf996b195aae1d1f",NA,NA,NA,NA,0.384613704,-0.164526993,0.152108235353311,45.45751307,194.608463471888,0
"detroit_035","000039d914b177b6628e",NA,NA,NA,NA,0.227198145,-0.096878601,0.147574928658587,65.83464806,192.80983852148,0
"detroit_036","0000d4f5bb2ddc5cf2e9",5.346612781,-0.577742554,5.423902323,6.991734172,0.369644126,-0.217487034,0.139717484987637,26.18230922,196.886561783022,1
"detroit_037","000046220a2e9894755d",5.353208476,-0.581440499,5.430498018,7.041033893,0.394297845,-0.233917619,0.142036944066258,27.53160433,196.203136022895,1
"detroit_038","00001ad77b660238e49a",5.606964662,-0.556218246,5.684254204,7.491415687,0.389671876,-0.208945291,0.141706266515552,31.83168914,199.118605565384,1
"detroit_039","0000378cec909c3c4c59",5.795715167,-0.607723064,5.873004709,7.65616006,0.421833294,-0.206001452,0.143974358974359,28.11101257,198.662461242969,2
"detroit_040","000023509d51bd903743",5.322460173,-0.625398729,5.399749715,7.102133286,0.309666204,-0.202809143,0.144977936173044,35.34794957,196.038310645356,2
"detroit_041","00001428ea1becd5c8ac",5.148826654,-0.609669893,5.226116196,7.011422219,0.464262033,-0.207963794,0.145896179624665,29.47375374,196.168395989052,3
"detroit_042","0000cf154761bfc64011",5.042531865,-0.603676509,5.119821407,6.728585712,0.510275893,-0.234006074,0.146379371165644,18.91785527,196.963786242341,1
"detroit_043","0000e95a9a30d1ba68d8",4.905249342,-0.667638595,4.982538884,6.419803169,0.452987081,-0.22646728,0.14772291144528,24.39148143,193.824004032306,2
"detroit_044","00003cea000fde3a0bc9",4.730333688,-0.725708771,4.80762323,6.215431181,0.499859128,-0.235573516,0.146643874029336,19.78894918,194.386460126819,2
"detroit_045","0000bd9da2e420223404",NA,NA,NA,NA,0.240674211,-0.230021643,0.14659380594343,32.11750932,192.21446200682,0
"detroit_046","0000ba1c6baeac532f7c",NA,NA,NA,NA,0.341018542,-0.172643408,0.151876743959936,30.27366289,191.715196886919,0
"detroit_047","0000b1181fc40a57216b",4.616445255,-0.699227861,4.693734797,6.188633437,0.482187442,-0.205893761,0.153809206446348,18.48761381,193.125769547929,2
"detroit_048","00008f6bf9751cfde192",4.811601025,-0.573226268,4.888890567,6.167536148,0.446548604,-0.237648732,0.151060533853778,18.390579,196.563718864253,2
"detroit_049","0000145d3a6223dc2b6d",4.479847257,-0.548298166,4.557136799,6.03627316,0.427862603,-0.240393723,0.154509405869464,18.63323312,194.953427487117,3
"detroit_050","000047d102881f5ab633",5.991453825,-0.416175768,6.068743367,7.855006541,0.430575514,-0.183780457,0.161663668248401,31.89327486,192.106783882585,2
