"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"losangeles_001","0000b09639577a79e004",4.619354165,-0.001478024,5.604831549,5.015091081,0.294129224,-0.063240403,0.135000567,65.48270191,324.0742843,131
"losangeles_002","0000af80bed21b0d287d",3.520045964,0.40232714,4.505523348,3.761068091,0.285587088,-0.034424465,0.132886173,63.98158059,414.3527118,92
"losangeles_003","00005a9a2ad7ea9f53a9",2.773648161,-0.302878939,3.759125545,2.996993239,0.311153345,-0.028460018,0.11845222,70.27276759,451.0724714,120
"losangeles_004","00000ccbd1139fd095d9",5.433438911,-0.234346512,6.418916295,6.32959132,0.231473341,-0.071549166,0.12519835,77.70707075,209.5394081,34
"losangeles_005","000012d1674da9cab07e",5.258534915,-0.228221184,6.244012299,6.065827912,0.251023926,-0.088283065,0.124759801,76.25808262,222.7334462,43
"losangeles_006","00003a1a6315696e3dfa",5.841201609,0.194074767,6.826678993,6.540651463,0.235616474,-0.059686302,0.128013066,74.98333445,265.7878693,32
"losangeles_007","000042db3c2749d624d3",3.351483123,-0.223343051,4.336960507,3.702533035,0.344503745,-0.107035378,0.121231565,61.67320257,265.9934223,91
"losangeles_008","000027afe5aeb13d8261",4.499383149,-0.455076583,5.484860533,4.887087806,0.314133532,-0.100653229,0.12394028,65.81482085,281.5078382,81
"losangeles_009","0000cef7ccdc44810e6e",-0.985477384,0.410594321,0,-1.004632687,0.44702802,-0.157307169,0.105213659,50.35700498,268.7100449,150
"losangeles_010","00000d3e67efc47f48d8",1.210041719,0.240293027,2.195519103,1.66357589,0.286289845,-0.109952768,0.126680118,72.10273978,77.35319597,51
"losangeles_011","00008aa041c4c4f8c46c",3.345382846,0.274833281,4.33086023,3.556706133,0.244035732,-0.092434255,0.127080351,77.68619201,61.85624909,34
"losangeles_012","00004e6a1efea6507f30",3.356380041,0.651031256,4.341857425,3.710551732,0.237875186,-0.089640324,0.119875688,77.29155721,145.550139,36
"losangeles_013","000098f620cc9803e4b0",4.951034731,0.385320562,5.936512115,5.461610243,0.128593847,-0.048144369,0.119608701,93.58935464,79.01077037,9
"losangeles_014","00004060761e1611e6c2",4.042152802,0.599431243,5.027630186,4.234720333,0.233222108,-0.077337199,0.119217413,75.79247052,134.122131,35
"losangeles_015","000007b11d27ad64af78",3.979026298,0.25210199,4.964503682,4.250923505,0.290380502,-0.07802524,0.120795285,63.77185086,185.3637615,58
"losangeles_016","0000014c03f8c3ce73b7",5.820395934,0.722539466,6.805873318,6.357251172,0.116669758,-0.021580127,0.128464656,92.6191238,93.76759306,48
"losangeles_017","000013c9dfe022aeba0c",6.485470463,0.01231284,7.470947847,7.075396863,0.144093297,-0.028376163,0.121961485,93.35289684,62.88143326,17
"losangeles_018","00003362663d627a8048",5.409827284,0.020450068,6.395304668,5.896001814,0.190734745,-0.053745382,0.120457484,86.99630806,62.28185148,18
"losangeles_019","0000f94f16d1dd1394fb",3.860438281,-0.070468924,4.845915665,4.146614527,0.226624176,-0.056386268,0.127024561,77.97881703,51.40111479,42
"losangeles_020","0000989bfd81b87b262b",5.13410582,-0.351498411,6.119583204,5.486080342,0.187736473,-0.034061039,0.127509849,84.31066762,49.68881367,34
"losangeles_021","0000eee229ca6d9d4a89",5.53360413,-0.199724993,6.519081514,5.887133647,0.184915106,-0.026688349,0.123686951,87.55856799,41.97428277,31
"losangeles_022","000043e1ded7dd7f98e5",1.857969504,0.235675307,2.843446888,2.199736386,0.127242406,-0.042352586,0.115054305,85.35143311,25.5422488,87
