NDVI,UHI
NaN,NaN
NaN,NaN
0.55458,0.22655
0.59102,0.559
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.43236,-0.81641
0.32158,-0.38139
0.27502,0.22655
0.5313,0.559
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.24998,NaN
0.17601,0.14312
0.2002,1.0206
0.36897,1.4126
0.59543,0.70171
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.18577,0.60027
0.19859,0.65098
0.22457,1.4373
0.2218,1.6996
0.56792,1.2749
0.37692,1.0422
0.33678,1.4324
0.37274,1.1639
0.41641,1.0604
0.36134,1.2683
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.063188,0.65098
0.25485,1.4373
0.20854,1.6996
0.44144,1.2749
0.41332,1.7731
0.40529,1.163
0.42503,0.81925
0.33492,1.7035
0.31384,1.9064
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27916,0.74669
0.19505,NaN
0.10675,1.1014
0.41448,1.8541
0.53678,1.7731
0.54401,1.163
0.54297,0.81925
0.43044,1.7035
0.28766,1.9064
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.32327,0.90831
0.19094,0.95937
0.10318,1.5741
0.33333,2.8114
0.52072,2.7005
0.37898,1.6287
0.33782,1.2489
0.29637,2.1023
0.32748,2.3494
0.37979,2.15
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.36291,0.90831
0.3166,0.95937
0.17268,1.5741
0.27319,2.8114
0.52337,2.7664
0.38887,1.9474
0.37422,1.6019
0.32436,2.131
0.2797,2.1814
0.34411,2.0443
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.16424,NaN
0.40201,1.443
0.32101,2.8751
0.24211,3.6014
0.43186,2.7664
0.31499,1.9474
0.29445,1.6019
0.32538,2.131
0.24029,2.1814
0.31772,1.1111
0.4381,0.0071688
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.14868,NaN
0.12749,1.9128
0.17267,3.5322
0.26354,3.6458
0.36035,2.8993
0.28819,2.326
0.34947,1.6442
0.30276,1.846
0.32031,2.1453
0.34423,1.1111
0.34843,0.0071688
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17825,NaN
0.16631,1.9128
0.12938,3.5322
0.20199,3.6458
0.41165,2.8993
0.28989,2.7841
0.30578,2.0444
0.4604,2.0288
0.28046,2.3916
0.37793,0.68745
0.25015,-0.53352
0.52057,-1.025
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31575,1.3685
0.19017,1.4591
0.12865,2.8001
0.17361,3.8451
0.43553,3.4277
0.32067,2.7841
0.4303,2.0444
0.36225,2.0288
0.31146,2.3916
0.28227,1.1294
0.33599,-0.85681
0.46301,-1.3095
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.11863,0.84369
0.28055,2.3089
0.28801,3.6676
0.34112,3.6455
0.22184,3.1276
0.3164,2.876
0.34263,2.3908
0.31064,2.4112
0.47382,1.1294
0.3298,-0.85681
0.58302,-1.3095
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.141,0.84369
0.29185,2.3089
0.26392,3.6676
0.31997,3.6455
0.31088,3.2319
0.40275,3.3013
0.35382,2.4689
0.27801,2.4595
0.37251,1.7096
0.41886,0.39013
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.18578,0.39347
0.18201,1.5381
0.2311,2.8217
0.32718,3.2376
0.23075,3.2319
0.25131,3.3013
0.34091,2.4689
0.24177,2.4595
0.30494,1.7096
0.36842,1.8126
0.52105,1.4999
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.44781,1.0323
0.40778,NaN
0.11708,1.1981
0.18692,0.52858
0.26406,1.293
0.30426,2.4709
0.19611,3.1512
0.24072,3.3619
0.35079,2.5067
0.28644,2.4256
0.32915,2.2779
0.45556,1.8126
0.43547,1.4999
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.41973,0.54831
0.48045,0.42732
0.18962,1.1981
0.16256,0.52858
0.31223,1.293
0.31263,2.4709
0.21343,2.4734
0.18913,2.8015
0.29089,2.6382
0.24989,2.4113
0.31723,2.3966
0.41328,2.1476
0.49197,1.7802
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.49054,0.89099
0.31067,0.82776
0.10464,1.429
0.15825,1.0988
0.2386,1.4723
0.12821,2.4734
0.17942,2.8015
0.25324,2.6382
0.24511,2.4113
0.35582,2.3966
0.3661,1.7441
0.49085,1.0811
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.4165,0.89099
0.44238,1.1044
0.22782,1.1573
0.018758,0.86626
0.11907,1.4675
0.11218,1.6554
0.19488,2.0066
0.21201,2.9077
0.19762,2.9695
0.22697,2.6366
0.44889,1.7441
0.52201,1.0811
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.40264,1.1274
0.38246,1.1044
0.30323,1.1573
0.23043,0.86626
0.14931,1.4675
0.074113,1.6554
0.17629,1.067
0.22753,3.1108
0.27454,3.1689
0.32038,2.5715
0.40582,1.5455
0.54329,0.787
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.33695,1.0591
0.44319,1.0662
0.37765,1.5783
0.24236,2.0936
0.29886,1.8832
0.084418,0.98912
0.18782,1.067
0.14176,3.1108
0.14171,3.1689
0.28992,2.5715
0.43987,2.3494
0.50637,1.6386
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.55866,1.0591
0.33542,0.40087
0.31746,1.2694
0.40003,1.678
0.1884,1.4343
0.1422,0.69597
0.20028,0.61081
0.24613,3.0583
0.31065,2.8262
0.31348,2.6266
0.33096,2.3494
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.45746,0.40087
0.29969,1.2694
0.34532,1.678
0.23038,1.4343
0.13118,0.69597
0.19395,0.016208
0.17482,2.3758
0.44491,2.3873
0.31282,2.5407
0.28056,2.7517
NaN,NaN
0.45855,1.983
0.50005,1.7247
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.5282,-0.21373
0.29094,0.626
0.35928,1.2002
0.25964,0.88249
0.13877,NaN
0.19228,0.016208
0.31707,2.3758
0.28511,2.3873
0.41508,2.5407
0.34644,2.7517
0.33726,2.2936
0.2745,2.6027
0.32894,2.97
0.48179,2.2015
NaN,NaN
NaN,NaN
NaN,NaN
0.55564,-0.4002
0.5134,-0.21373
0.43699,-0.035904
0.36082,0.54935
0.32507,0.56065
0.14921,NaN
0.146,-0.71378
0.3369,0.94192
0.32004,1.9884
0.27591,2.0819
0.39864,2.4044
0.33891,2.2936
0.23191,2.6027
0.26555,2.97
0.29105,2.2015
0.57892,1.2585
NaN,NaN
NaN,NaN
0.542,-0.42589
0.54502,-0.41903
0.46791,-0.035904
0.3621,0.54935
0.36441,0.56065
0.27093,NaN
0.17171,-1.2921
0.28504,-0.40428
0.29391,1.2422
0.15558,1.9823
NaN,NaN
0.31863,2.2288
0.46109,2.4074
0.39768,2.5352
0.34866,2.4015
0.58155,1.2585
0.58617,0.081074
NaN,NaN
0.59525,-0.60361
0.54814,-0.54814
0.50438,-0.43684
0.38625,-0.26468
0.39265,-0.292
0.2522,-1.3806
0.041654,-1.2921
0.20508,-0.40428
0.30285,1.2422
NaN,NaN
NaN,NaN
0.29575,1.8531
0.36644,1.8069
