NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.56841,-0.45391
0.50752,-1.087
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.54106,-0.95876
0.46529,-0.39582
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.58211,-0.83044
0.51293,-0.89551
0.46297,0.11111
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.57301,0.39738
0.39462,0.27025
0.41259,0.17497
0.43682,-0.21478
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.40547,-0.10105
0.26313,0.39738
0.22582,2.5232
0.50584,1.8811
0.50277,-0.39539
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27268,1.7022
0.20654,2.4963
0.30693,2.5232
0.58167,1.196
0.48127,-0.20068
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28836,2.0237
0.4095,2.4411
0.3138,2.6565
0.38652,3.6152
0.51871,3.3248
0.51543,1.196
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.2845,2.8746
0.27137,3.7972
0.41878,3.3109
0.46298,2.809
0.4859,1.8616
0.54206,0.026995
NaN,NaN
0.62155,-0.66921
0.53346,-0.74677
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.32509,2.7342
0.25389,3.75
0.30143,4.7365
0.49083,3.4732
0.50094,1.4631
0.48959,0.82874
0.53201,-0.18408
0.51059,-0.15502
0.55586,-0.66921
0.60666,-1.2566
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.43126,2.5665
0.25298,2.7342
0.31115,3.7939
0.46978,3.2836
0.54811,1.8819
0.52887,0.4176
0.5365,0.30745
0.50081,0.12043
0.55465,-0.38921
0.56106,-1.1089
0.59779,-1.2566
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28805,3.0639
0.34877,3.2958
0.31712,3.4341
0.35604,3.7939
0.56901,1.0184
0.60428,0.15583
0.53812,-0.20799
0.57206,-0.018191
0.51695,0.089954
0.57293,-0.48802
0.63706,-1.1617
0.57092,-1.5143
0.49117,-1.1076
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.41622,1.8397
0.3783,3.0583
0.33823,3.8344
0.52315,3.2348
0.63092,2.2192
0.58256,1.0184
0.58947,-0.31434
0.60683,-0.33316
0.59632,-0.49842
0.58151,-0.24314
0.58458,-0.71
0.62723,-1.1749
0.54156,-1.5871
0.52452,-1.3352
0.55246,-0.6046
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.47212,0.46907
0.48191,1.6791
0.31163,3.2145
0.41159,3.5017
0.61961,1.7655
0.61193,0.14276
0.59727,-0.34629
0.58447,-0.31434
0.57521,-0.43259
0.58166,-0.88212
0.60862,-1.0016
0.63466,-0.80084
0.57779,-1.3666
0.48636,-1.5208
0.51563,-1.1141
0.45012,-0.6046
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.57619,0.28932
0.48564,1.3645
0.39902,2.7738
0.39023,2.5993
0.56686,1.0394
0.56451,-0.12184
0.59764,-0.46003
0.51872,-0.32864
0.6212,-0.43259
0.64048,-0.92176
0.57642,-1.3054
0.53178,-0.065503
0.56551,-0.84121
0.51305,-0.78969
0.41045,-0.16375
0.42906,0.36419
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.35704,1.2538
0.56379,0.28932
0.51096,0.92817
0.57423,1.5239
0.51002,1.7123
0.5779,1.2526
0.56694,0.576
0.51093,0.072725
0.49322,-0.3011
0.57859,-0.32658
0.58834,-0.92176
0.56394,-0.869
0.51288,0.9791
0.54184,0.31876
0.52765,0.15901
0.46962,0.85711
0.34411,1.3687
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.3912,1.9501
0.36574,1.9378
0.45921,0.82325
0.59499,0.92817
0.53458,0.84806
0.56654,0.95947
0.56055,1.2448
0.51831,0.93189
0.53916,0.5823
0.52456,0.33556
0.58183,0.42897
0.60125,-0.47385
0.51078,-0.40299
0.42453,1.8453
0.43772,1.3051
0.5264,0.69544
0.50681,1.0794
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.37206,2.1214
0.34623,2.2029
