NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.2344,0.41843
0.29377,1.2957
0.34343,2.1727
0.36498,1.5578
0.30832,0.8526
0.24136,1.1909
0.2299,1.3169
0.2116,1.5859
NaN,NaN
NaN,NaN
NaN,NaN
0.30058,3.713
0.27174,3.2869
0.33835,1.8798
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29986,-0.43453
0.3196,0.15869
0.33385,1.606
0.35456,1.6922
0.29114,1.021
0.26001,-0.078779
0.27823,0.48454
0.29873,1.4364
0.30824,1.1495
0.311,2.6286
0.26783,3.243
0.30147,4.003
0.28994,3.2962
0.31676,2.6115
0.36728,2.4043
0.36384,1.572
0.46714,-0.29209
0.34349,-0.2514
0.34916,0.047107
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.39237,-0.88787
0.39419,-0.20381
0.30193,1.1649
0.35691,1.5718
0.26379,0.89264
0.29614,-0.054312
0.32078,0.27629
0.29408,0.75819
0.2755,0.2522
0.33658,1.7004
0.31516,2.756
0.32843,3.4293
0.28345,2.6486
0.36315,2.6355
0.39706,1.7902
0.42381,1.0406
0.43751,0.22556
0.379,-0.018749
0.30042,-0.36602
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.19665,-0.98874
0.30446,0.11602
0.24901,1.3572
0.26197,1.5218
0.33266,0.78986
0.28091,0.13096
0.27098,0.54411
0.22774,1.0767
0.28786,0.73704
0.38547,1.3815
0.21599,3.1511
0.20497,3.1733
0.35682,2.1158
0.28743,2.0528
0.31639,1.3961
0.40574,0.26709
0.38614,-0.030862
0.36752,0.38682
0.33431,-0.44378
0.30936,0.1886
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.2828,-1.0452
0.29076,0.55491
0.31419,1.6881
0.26818,1.6045
0.20213,0.8193
0.32092,-0.00043073
0.368,0.48131
0.22033,1.5204
0.29174,1.6862
0.32841,1.9544
0.10649,3.5342
0.15855,3.3107
0.23086,2.3703
0.3453,1.996
0.34574,1.3166
0.47195,0.00012571
0.38988,0.11068
0.38552,0.68758
0.31424,0.31361
0.33178,0.70904
0.29722,0.79088
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.40888,-0.7877
0.31929,0.81954
0.34821,2.0284
0.37367,1.5295
0.37409,0.59977
0.34896,-0.36309
0.36128,0.23402
0.28277,1.3594
0.27759,2.0745
0.30676,2.9856
0.19778,3.9442
0.21168,3.5931
0.20625,3.0342
0.29956,2.4858
0.40648,1.4073
0.26254,0.53924
0.37266,0.88682
0.37112,0.86843
0.25917,1.4956
0.29731,1.0094
0.27907,0.84098
0.34206,1.2546
0.244,0.67776
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.39748,0.29655
0.34248,0.83276
0.3904,1.6975
0.35602,1.7097
0.39176,0.85061
0.36415,-0.2849
0.31682,0.25349
0.33705,1.0316
0.30436,1.4337
0.31517,2.6065
0.17334,4.0426
0.18488,3.9428
0.27063,3.0326
0.35077,2.2462
0.33242,1.2514
0.28996,1.3286
0.26826,1.0736
0.24758,1.256
0.32077,1.682
0.16688,1.222
0.18774,1.3976
0.25961,1.7733
0.21694,0.50782
0.24048,-1.0523
0.27445,-2.0991
0.22753,-3.2956
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29917,1.1479
0.36227,1.602
0.25416,1.7523
0.35617,2.619
0.27734,1.8408
0.3181,0.32672
0.34692,0.75804
0.30273,2.0023
0.28892,1.6358
0.15427,2.7294
0.19942,4.2086
0.21241,4.5908
0.33491,3.0383
0.42191,1.6713
0.3623,1.2189
0.38289,1.3785
0.36548,1.4784
0.26786,1.5287
0.21461,1.7781
0.339,1.8749
0.31531,2.8779
0.28646,1.6817
0.26684,0.22818
0.33302,-1.3665
0.25551,-2.725
0.25607,-4.1856
0.22439,-4.2086
0.14059,-4.3819
0.081116,-3.7497
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29049,2.024
0.34312,2.3386
0.37958,2.8387
0.34892,3.0279
0.32341,2.6591
0.3806,0.8683
0.2896,1.5408
0.24395,2.703
0.2652,2.4447
0.22804,2.7214
0.2344,4.191
0.23128,4.0399
0.28189,3.1949
0.39797,2.0418
0.27568,2.3698
0.3098,2.1513
0.39686,2.7621
0.34417,1.5067
0.37527,2.069
0.32964,2.7074
0.34437,1.8742
0.21572,1.2651
0.31049,-0.050453
0.41902,-1.9668
0.24402,-3.4762
0.1635,-4.3759
0.15092,-4.5693
0.16739,-4.6922
0.036392,-4.2988
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27008,2.2471
0.24041,2.4107
0.31687,2.3986
0.32029,2.2906
0.38865,2.5696
0.46527,0.93528
0.35235,1.6983
0.28245,2.5092
0.30845,2.5355
0.34323,2.3028
0.2686,3.7527
0.31718,4.0625
0.24673,3.5419
0.29152,3.196
