NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.59627,-0.95769
0.47251,-1.0702
0.50638,1.5593
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.61276,-0.41976
0.61207,-1.3068
0.56252,-1.6052
0.54577,0.71624
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.5797,-0.27982
0.65946,-1.1415
0.63742,-1.7207
0.58516,-0.12138
0.52487,2.0951
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.57479,-0.62976
0.63121,-0.87796
0.63656,-1.5571
0.59521,-0.17405
0.48875,1.9034
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.5761,-0.87796
0.68413,-1.5571
0.58382,-0.17405
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.58218,-1.2519
0.53289,-1.0909
0.52282,-1.3297
0.54773,0.22088
0.56086,1.6985
0.47522,3.309
0.26778,4.5704
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.66081,-1.5257
0.50308,-1.1822
0.49764,1.2503
0.44178,2.1198
0.31586,3.5396
0.28809,4.8583
0.15868,5.4076
NaN,NaN
NaN,NaN
NaN,NaN
0.092876,6.002
0.16006,5.9425
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.63851,-1.5097
0.59583,-0.78526
0.35239,2.7259
0.29333,3.3514
0.32248,4.1693
0.19245,5.1371
0.12008,5.4861
NaN,NaN
NaN,NaN
0.13291,6.4369
0.086756,6.6751
0.094064,6.6466
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.69816,-0.94697
0.63348,-0.25628
0.57367,0.74159
0.29939,3.6827
0.16093,4.1425
0.25828,4.4589
0.21315,5.077
0.11783,5.3402
NaN,NaN
NaN,NaN
0.11555,6.6051
0.072797,6.985
0.10094,6.9848
0.11394,5.6833
NaN,NaN
NaN,NaN
NaN,NaN
0.6553,-1.4184
0.6461,-0.94697
0.44239,-0.25628
0.35777,0.74159
0.26683,4.1176
0.23452,4.4297
0.23307,4.6562
0.13234,4.9744
0.11178,5.031
0.147,4.8852
0.07487,5.5667
0.10521,6.2668
0.060289,6.2081
0.061466,5.8034
0.11446,4.9056
NaN,NaN
NaN,NaN
NaN,NaN
0.58974,-0.6385
0.35728,0.5777
0.19162,1.8504
0.28068,2.8341
0.26419,4.1176
0.18277,4.4297
0.17115,4.6562
0.13981,4.9744
0.13907,5.031
0.31012,4.8852
0.12633,5.5667
0.14097,5.2135
0.062374,4.306
0.03505,3.5957
0.12576,4.6727
NaN,NaN
NaN,NaN
0.63295,-0.49678
0.42834,0.73131
0.22418,2.7561
0.19228,3.8447
0.35864,3.9131
0.17363,4.3848
0.13177,4.65
0.13489,4.7965
0.1524,4.7591
0.16292,4.5007
0.22164,4.0193
0.20732,4.5391
0.067321,5.2135
0.0046988,4.306
0.049423,3.5957
0.079365,4.6727
NaN,NaN
NaN,NaN
0.66018,0.69122
0.38321,2.1144
0.20284,4.1871
0.2196,4.5151
0.24396,4.0066
0.13264,4.6432
0.13018,4.8332
0.14791,4.67
0.13467,4.219
0.17729,3.4825
0.39086,2.7783
0.11422,3.3147
0.027655,4.0536
0.033603,2.6214
0.015407,NaN
NaN,NaN
NaN,NaN
0.38346,3.2984
0.54276,2.2212
0.27079,3.3861
0.19871,4.8284
0.22868,4.8139
0.218,4.4206
0.15097,4.7903
0.17498,4.6483
0.17076,4.0525
0.13806,3.2475
0.23455,2.2114
0.31477,1.7186
0.078056,3.4503
-0.08481,NaN
-0.025074,NaN
-0.01712,NaN
-0.0971,NaN
0.2131,3.6413
0.23585,3.2984
0.31104,2.2212
0.15649,3.3861
0.19027,4.8284
0.16739,5.162
0.16814,4.9433
0.11644,4.8617
0.16681,4.3412
0.18323,3.149
0.13897,2.3973
0.082553,NaN
0.0047304,NaN
-0.0047716,NaN
-0.022727,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30884,3.6114
0.3108,3.9003
0.22501,3.8136
0.17314,4.4884
0.13973,5.1702
0.15774,5.162
0.16433,4.9433
0.14041,4.8617
0.1435,4.3412
0.31874,3.149
0.13576,2.3973
0.04442,NaN
-0.029412,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28671,4.6244
0.13345,5.2868
0.12283,5.6623
0.17751,5.7066
0.19224,5.2123
0.19024,4.4863
0.12046,3.7395
0.21224,2.4185
0.0561,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.13962,5.377
0.14293,5.7441
0.18893,5.6321
0.16715,4.8891
0.16831,3.6752
0.17443,3.0231
0.072555,NaN
-0.076072,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.25794,4.6882
0.2008,3.7891
0.21147,3.0162
0.058283,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.12696,2.7075
0.11664,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
