NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.10767,-1.4351
0.24834,-1.436
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.20904,-1.4351
0.29369,-1.2847
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.16759,0.18028
0.30465,-0.18819
0.41523,-0.02055
NaN,NaN
0.1245,-1.8349
0.34997,-2.1233
0.25614,-1.2847
0.21182,-0.019487
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.41079,2.421
0.19412,2.5662
0.15784,1.9193
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.24908,0.44484
0.16236,0.95129
0.25503,0.35589
0.31352,-0.38404
0.29745,-1.1875
0.12459,-1.8349
0.21093,-1.9736
0.57969,-1.0971
0.56251,-0.1734
0.32219,1.0115
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.36909,0.78019
NaN,NaN
NaN,NaN
0.31385,3.039
0.19305,3.3371
0.24091,3.2726
0.14701,3.3418
0.045769,2.1883
NaN,NaN
NaN,NaN
NaN,NaN
0.14816,0.59237
0.13005,0.86999
0.13883,0.95129
0.31483,0.52494
0.32597,-0.73803
0.31898,-2.0178
0.23883,-2.3984
0.30315,-1.9736
0.56722,-1.0971
0.62241,-0.12403
0.25487,0.47243
0.13967,1.5102
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.46683,1.1645
0.47525,0.78019
NaN,NaN
NaN,NaN
0.29605,3.1303
0.21037,3.3371
0.14394,3.2726
0.19067,3.8572
0.12555,2.5136
NaN,NaN
NaN,NaN
0.25788,1.0769
0.22064,1.0024
0.17739,0.98332
0.17353,1.1991
0.21751,0.52494
0.18572,-0.73803
0.14852,NaN
0.33997,-2.1708
0.27294,-1.4755
0.51276,-0.62086
0.49922,-0.12403
0.42191,0.023575
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.39643,0.81722
0.34822,0.37863
NaN,NaN
0.3293,1.6571
0.32071,2.7132
0.21466,3.3795
0.15601,3.76
0.16267,3.8572
0.2251,2.5136
NaN,NaN
NaN,NaN
0.34029,1.1262
0.19882,1.0024
0.16226,0.98332
0.20282,0.1837
0.15749,-0.36583
0.17561,-1.3865
0.10814,-2.0833
0.28204,-2.1708
0.26845,-1.0711
0.30409,-0.19491
0.31139,-0.19543
0.51038,0.023575
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.22917,1.1014
0.38252,0.40379
0.35276,-0.17069
0.24929,0.10187
0.1811,1.2002
0.34281,2.7132
0.37482,3.4337
0.16659,4.1872
0.16359,4.3197
0.12586,3.0336
0.10599,1.6953
0.22336,1.0952
0.20195,0.81626
0.25576,0.66518
0.2379,0.7467
0.21368,0.1837
0.17647,-0.36583
0.082375,-2.4235
0.17255,-3.0426
0.27739,-2.1481
0.31595,-1.0711
0.26649,-0.19491
0.43843,-0.19042
0.49933,-0.2734
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.52851,0.61417
0.1785,0.40379
0.37381,-0.17069
0.21572,-0.0077734
0.31171,1.1682
0.38694,2.5994
0.43559,3.4337
0.12825,4.1872
0.21901,4.7273
0.29878,3.6829
0.18069,2.0912
0.19025,1.0952
0.25451,0.81626
0.18523,-0.016914
0.19041,-0.11662
0.22682,-0.92014
0.11825,-1.2897
0.12623,-2.4235
0.11388,NaN
0.30826,-1.261
0.32886,-1.052
0.28959,-0.30839
0.51357,-0.19042
0.44918,0.25371
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31616,-0.23175
0.42731,-0.61655
0.33303,-0.0077734
0.32583,1.1682
0.35354,2.5824
0.19219,3.4562
0.27816,4.3901
0.45304,4.7273
0.34693,3.6829
0.1521,2.3274
0.1739,0.74166
0.36051,0.065841
0.21426,-0.016914
0.18389,-0.11662
0.20795,-1.309
0.11234,-2.1714
0.11536,-2.975
0.14264,-1.9523
0.08903,-1.261
0.24524,-0.64739
0.43888,0.033679
0.47724,0.19858
0.46319,0.25371
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.57055,-0.49035
0.50746,-0.56862
0.21378,0.3915
0.32746,1.3118
0.32573,2.5824
0.29656,3.4562
0.25216,4.2896
0.18634,4.4771
0.21529,3.8223
0.19338,2.3274
0.35184,0.74166
0.2128,-0.36805
0.20473,-0.2211
0.20167,-1.1415
0.10117,-1.309
0.10914,-2.1714
0.11981,-2.3641
0.27006,-1.9072
0.18862,-0.31326
0.38022,-0.64739
0.28138,0.033679
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.58413,-0.49035
0.35253,-0.56862
0.31339,0.75467
0.20267,1.9971
0.30675,2.7997
0.18557,3.5538
0.23917,4.2896
0.16921,3.9122
0.19166,3.3697
0.19478,1.9493
0.15855,-0.0077779
0.36413,-0.36805
0.27856,-1.7667
0.39852,-1.631
0.22377,-2.2927
0.3381,-2.5483
0.20506,-2.3641
0.27394,-1.0553
0.35383,-0.077933
0.32987,0.38308
0.34649,0.59861
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
