NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.60392,-0.12216
0.48575,-0.90594
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.49445,2.2476
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.55719,0.12407
0.54762,0.1228
0.29245,-0.16795
0.49584,-0.0061662
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.33219,2.8498
0.39912,2.0697
0.50388,1.2508
0.45242,0.20594
NaN,NaN
NaN,NaN
0.55865,0.038409
0.50621,0.22967
0.50169,0.53184
0.42311,1.1392
0.41805,1.3477
0.53069,1.2739
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.42568,2.8843
0.40192,2.312
0.45829,1.6719
0.47889,-0.0087046
NaN,NaN
NaN,NaN
0.48916,-0.27599
0.4956,0.22967
0.45847,0.53184
0.41968,2.1851
0.33466,1.7608
0.48769,1.3234
0.5436,1.4505
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.37455,2.8843
0.39451,2.919
0.40703,2.3735
0.56127,0.098462
NaN,NaN
NaN,NaN
NaN,NaN
0.47407,0.68997
0.4091,1.6011
0.51278,2.1851
0.54971,1.7608
0.48678,0.87844
0.54296,1.3688
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30464,2.5451
0.35381,2.919
0.36489,2.3735
NaN,NaN
NaN,NaN
NaN,NaN
0.59174,-0.48975
0.58161,0.90618
0.48352,1.9606
0.48293,2.0641
0.60249,1.2103
0.61085,0.87844
0.52782,1.3688
0.50049,1.7427
0.28576,2.3064
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.48095,0.9241
0.33015,1.9617
0.25861,3.3549
0.51102,2.9554
NaN,NaN
NaN,NaN
0.63391,-0.50725
0.53068,0.2342
0.51328,0.89067
0.44672,1.8157
0.39596,2.018
0.59477,0.91877
0.60926,0.41587
0.55317,0.97565
0.31082,1.7427
0.35551,2.3064
0.67928,0.76557
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31569,1.287
0.24967,1.8586
0.37005,3.24
NaN,NaN
NaN,NaN
0.58815,-0.23372
0.59241,-0.50725
0.55881,0.2342
0.62716,1.1031
0.43942,1.7059
0.49758,2.2565
0.5429,1.4688
0.48249,1.0742
0.31945,1.3166
0.4392,1.759
0.60337,2.0041
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.35193,2.1891
0.26291,1.8627
0.2394,2.3421
0.45063,2.626
0.3814,2.1791
0.50273,1.0714
0.49221,0.80861
0.4284,1.0946
0.42115,1.1031
0.47433,1.7059
0.40959,1.8794
0.32982,2.0704
0.4836,2.0224
0.48826,1.4942
0.55746,1.346
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27979,1.4717
0.37898,1.588
0.29104,2.8549
0.32126,2.5064
0.50039,2.0226
0.43285,1.4042
0.57163,0.9435
0.48089,1.2497
0.54809,1.8794
0.47722,2.0704
0.3367,1.9319
0.68465,0.99772
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.25376,1.4717
0.37852,1.588
0.30174,3.2109
0.42799,2.8848
0.40133,2.4024
0.54401,1.0477
0.49011,0.63502
0.51521,1.1541
0.42461,1.7424
0.40303,2.019
0.42239,1.9319
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29414,0.39621
0.30239,0.65358
0.36941,3.2109
0.45082,2.8848
0.42463,2.2141
0.48816,1.4826
0.39099,1.2883
0.40251,1.8343
0.41227,2.1535
0.52827,1.9089
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.16961,1.9189
0.14397,3.0913
NaN,NaN
0.14954,1.3272
0.28179,0.98122
0.31631,0.3159
0.32339,3.3856
0.46828,2.759
0.41368,2.2141
0.33291,1.4826
0.41226,1.9551
0.45925,2.218
0.42915,2.3433
0.5794,1.5908
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.12964,1.0955
0.18049,1.9189
0.29899,3.0913
0.18249,1.4931
0.23952,0.30329
0.28108,-0.49103
0.25236,0.82465
0.12881,3.1903
0.28821,2.6159
0.41992,1.8604
0.38883,1.7469
0.42576,1.9551
0.3951,2.218
0.40383,1.92
0.41034,1.0799
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.063386,0.62911
0.23724,1.4347
0.13245,1.4931
0.1567,0.30329
0.13232,-0.044326
0.10149,1.4331
0.093521,2.0001
0.14113,1.5158
0.40477,0.99592
0.36129,0.74208
0.36823,1.3646
0.38185,2.0554
0.51483,1.92
0.49511,1.0799
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.25811,1.4202
0.20927,-0.44559
0.11279,-0.1738
0.18072,-0.62928
0.077088,-0.044326
0.10237,1.4331
0.25149,NaN
0.33834,-0.9142
0.30955,-0.66916
0.24677,NaN
0.32387,-0.45541
0.39175,1.0884
0.38573,1.2239
0.5348,0.013347
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.19052,0.34539
0.17343,-0.090915
0.19242,-1.3505
0.021898,NaN
0.068147,-1.5665
0.041233,0.85882
0.2851,NaN
0.13684,-0.9142
0.34876,-2.4826
0.13422,NaN
0.28564,NaN
0.367,-0.88303
0.48814,0.12965
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.22749,0.67378
0.24924,-0.57821
0.23753,-0.3955
0.020764,NaN
0.079365,NaN
0.16563,-1.1097
0.24461,NaN
NaN,NaN
0.33944,-2.4826
-0.08575,NaN
NaN,NaN
0.32251,-2.5309
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.1573,0.67378
0.1234,-0.57821
0.13736,0.35522
0.081191,-0.11868
-0.043719,NaN
0.070638,-3.0361
0.21193,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17125,0.8719
0.2523,0.035441
0.28541,-0.4768
0.046645,0.35522
0.067622,-0.11868
0.18459,-3.2085
0.067881,NaN
-0.033801,NaN
NaN,NaN
0.34262,NaN
-0.055901,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30805,0.28703
0.18664,-0.40186
0.28177,-0.99646
0.23427,-0.11157
0.302,-1.2131
0.2849,-0.46115
0.37504,-3.2085
0.028846,NaN
-0.0069364,NaN
-0.032463,NaN
0.43584,NaN
0.14585,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29938,-1.7079
0.30881,-2.0066
0.21258,-2.6358
0.21161,NaN
0.2813,-1.7509
-0.10694,NaN
NaN,NaN
NaN,NaN
-0.050938,NaN
-0.07646,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.36267,-1.7079
0.12945,-3.5493
NaN,NaN
NaN,NaN
0.35386,NaN
-0.070047,NaN
NaN,NaN
NaN,NaN
0.5274,NaN
-0.2043,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
