NDVI,UHI
NaN,NaN
NaN,NaN
0.40958,1.7382
0.50151,1.1763
0.46636,1.2955
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.39886,1.1953
0.45012,1.1763
0.50578,1.2955
0.4478,1.0554
0.3591,0.99215
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.41189,0.65191
0.41916,0.75655
0.44268,0.9684
0.50765,1.0554
0.45388,0.99215
0.5003,0.69851
NaN,NaN
0.35163,1.4513
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.43689,0.97162
0.46467,0.65191
0.3723,0.75655
0.49047,0.48844
0.32805,0.84805
0.39523,0.78931
0.34246,0.69851
0.45342,1.1914
0.41517,1.8358
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.4946,0.49272
0.443,0.17356
0.37982,0.0048248
0.3558,0.48844
0.30449,0.84805
0.30866,0.99226
0.32569,0.82424
0.45693,1.0978
0.43252,1.8358
0.44949,1.4666
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.5452,0.17356
0.51049,-0.22117
0.30079,0.60366
0.41774,1.0201
0.37769,0.99226
NaN,NaN
0.42825,1.5034
0.32418,2.1194
0.41112,1.4398
0.428,0.36996
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.55103,-0.23253
0.45975,-0.22117
0.49634,0.60366
0.43129,1.2275
NaN,NaN
NaN,NaN
0.30189,1.5034
0.2042,2.1194
0.55915,1.5564
0.5606,0.72902
NaN,NaN
NaN,NaN
0.32727,NaN
NaN,NaN
0.43299,0.14857
0.48508,0.02232
0.32804,0.20756
0.28346,1.184
0.44744,1.2275
NaN,NaN
NaN,NaN
0.084728,1.3405
0.17678,1.7948
0.53763,1.5564
0.34839,0.72902
NaN,NaN
0.088175,NaN
0.42027,-1.2966
NaN,NaN
0.4093,0.36672
0.51335,0.02232
0.21081,0.20756
0.20934,1.5874
0.34004,1.4306
NaN,NaN
NaN,NaN
0.41563,1.3405
0.16452,1.373
0.30778,1.4912
0.35714,1.8531
0.02268,NaN
0.16312,NaN
NaN,NaN
NaN,NaN
0.47479,0.4536
0.44338,0.45883
0.29782,0.67479
0.12389,1.5874
0.31767,1.4306
NaN,NaN
0.25176,1.4848
0.38737,1.441
0.26194,1.373
0.17578,1.4912
0.38708,0.51036
0.34367,-0.67139
0.44555,-1.2736
NaN,NaN
NaN,NaN
0.42536,0.4536
0.44378,0.45883
0.41983,0.66657
0.17382,1.4424
0.35055,1.1702
0.35861,1.2422
0.12233,1.4848
0.24398,1.9598
0.14927,1.5216
0.089846,1.121
0.36723,0.51036
0.41801,-0.67139
0.46301,-0.45393
NaN,NaN
NaN,NaN
0.37094,-0.28823
0.39606,0.075689
0.25016,0.66657
0.25076,1.4424
0.48614,0.95973
0.29825,1.2977
0.032396,1.8517
0.14051,1.9598
0.15094,1.5216
0.26553,0.32083
0.30662,0.18184
0.47076,-0.29071
0.55004,-0.45393
NaN,NaN
0.32802,-0.69233
0.43633,-0.28823
0.42584,-1.2636
0.22241,-0.21155
0.49487,0.8628
0.26059,0.95973
0.16893,1.2977
0.11227,1.5768
0.081163,1.6822
0.14992,1.1746
0.4666,0.32083
0.44761,0.18184
0.46211,0.29861
0.45062,0.24714
NaN,NaN
NaN,NaN
0.39323,-1.6762
0.32256,-1.2636
0.26011,-0.21155
0.48698,0.30676
0.18776,0.23236
0.21959,0.95836
0.12369,1.5768
0.093532,1.6822
0.43283,0.72375
0.3496,0.14155
0.46936,0.32254
0.3047,0.29861
0.1557,0.24714
NaN,NaN
NaN,NaN
0.19347,NaN
0.27645,NaN
0.1483,-1.0511
0.22321,0.30676
0.45423,0.23236
0.1955,0.19333
0.095524,0.92752
0.29232,1.386
0.4906,0.72375
0.48613,0.14155
0.23028,1.3204
0.34163,1.4772
0.41497,1.3752
NaN,NaN
NaN,NaN
NaN,NaN
0.080778,NaN
0.17197,-1.4072
0.22385,-0.57112
0.38514,-0.85289
0.15032,0.19333
0.14177,0.92752
0.26247,1.4203
0.19316,1.4799
0.39126,1.0112
0.30191,1.3204
0.31898,1.4772
0.37515,1.9095
NaN,NaN
NaN,NaN
0.019108,NaN
0.11478,NaN
0.022287,-1.4072
0.0981,-0.57112
0.38996,-1.7638
0.11068,-0.97208
0.26714,0.34119
0.19663,1.4203
0.25522,1.4799
0.40652,1.7434
0.30129,1.7975
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.039705,NaN
0.20557,NaN
0.058749,NaN
0.079566,NaN
0.15653,-1.7638
0.17838,-0.97208
0.43763,-0.23101
0.20164,1.1131
0.23333,1.4025
0.38902,1.7434
0.26098,1.7975
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.061594,NaN
0.27691,NaN
0,NaN
0.18427,NaN
0.22663,-1.6564
0.31119,-1.2851
0.47176,-0.23101
0.21097,1.1131
0.27646,0.17844
0.327,0.76759
0.33442,1.3203
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.050269,NaN
0.1322,NaN
NaN,NaN
0.038549,NaN
0.30005,-1.6564
0.11982,NaN
0.36554,-0.75624
0.23194,-0.27471
0.30525,0.17844
0.3601,0.76759
0.33235,0.18347
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.038801,NaN
-0.14754,NaN
NaN,NaN
NaN,NaN
0.083573,NaN
0.042421,NaN
0.06135,-0.75624
0.16199,NaN
0.33904,-1.0505
0.37829,-0.79891
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.0045249,NaN
0.15146,NaN
0.044792,NaN
0.10657,-1.0505
0.4063,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.077797,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
