NDVI,UHI
NaN,NaN
0.1676,2.213
0.18846,1.7916
0.24266,0.37336
0.37004,-0.23717
0.21319,0.46466
0.15728,2.3179
0.18903,2.4135
0.15377,2.8754
0.13078,2.3698
0.10124,2.5691
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.13339,2.5636
0.16575,1.8895
0.15344,0.59931
0.18581,-0.037501
0.16177,1.2054
0.18505,3.0763
0.20422,3.6692
0.14913,3.4081
0.12573,2.5536
0.12302,1.8152
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.13683,1.8082
0.14619,1.2315
0.11212,1.1884
0.11229,1.1977
0.13152,2.1234
0.18084,3.0703
0.20344,3.214
0.18506,3.48
0.15079,2.9038
0.14832,2.1956
0.10554,1.7341
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.12202,-1.3949
0.10641,-1.429
0.089944,0.31442
0.10001,2.1161
0.12498,2.6592
0.18958,2.9432
0.16616,2.9292
0.13429,2.9849
0.15208,3.1051
0.13922,3.0551
0.14176,2.651
0.17409,1.9808
NaN,NaN
0.14013,2.457
0.11766,2.597
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.078396,-5.1067
0.090818,-4.9933
0.096332,-4.9225
0.082415,-2.6401
0.11028,1.7744
0.15194,2.637
0.17546,2.9227
0.1264,3.141
0.14149,3.6115
0.14447,3.0027
0.16602,2.8519
0.20753,2.8328
0.17836,2.7408
0.098352,1.7212
0.10724,2.0254
0.1385,2.5458
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.075183,NaN
0.091642,-5.7276
0.11327,-3.4251
0.13784,0.61077
0.14969,2.0363
0.13951,2.7721
0.11406,3.4993
0.12975,3.7437
0.22517,2.9288
0.20386,2.882
0.18487,3.2915
0.22272,3.5685
0.072904,3.083
0.1003,2.0822
0.11941,3.0233
0.10894,3.5892
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.096673,-5.6826
0.096133,-3.3045
0.12868,-1.1709
0.18024,1.2368
0.11007,2.8634
0.13292,3.8041
0.13408,3.346
0.099653,3.1202
0.077029,3.2732
0.097708,3.6773
0.095369,4.0312
0.043845,3.6254
0.12187,2.4824
0.11265,2.9897
0.072981,3.4971
0.08022,3.7341
0.11173,3.685
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
