NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.4555,0.49338
0.48685,0.18867
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.52381,-0.58273
0.55403,-0.89347
0.62644,-1.1687
0.63402,-1.3203
0.42846,-1.5821
0.43703,-1.2419
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.40463,-0.17208
0.53341,0.49338
0.51974,0.18867
0.50877,-0.58891
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.46912,-0.64361
0.66408,-1.0968
0.642,-1.0957
0.65728,-0.9605
0.57221,-1.1772
0.51494,-1.361
0.51504,-1.0135
NaN,NaN
NaN,NaN
0.49716,0.84837
0.35234,1.1668
0.40005,1.0083
0.54027,0.72181
0.55257,0.34588
NaN,NaN
0.51691,-0.10117
0.59461,0.25544
0.34643,0.84222
0.24521,0.35712
0.49358,-0.11489
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.63235,-1.01
0.57991,-0.86873
0.52943,-0.3532
0.6451,-0.67502
0.48276,-0.94455
0.45648,-1.0819
0.55025,-1.0297
0.56401,-0.44697
0.28653,1.4373
0.39419,1.8251
0.43136,1.5797
0.40065,1.3104
0.48602,1.2981
0.55117,1.1078
0.51718,0.65093
0.47394,0.60751
0.38286,1.4555
0.097771,1.3409
0.43848,1.0322
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.64953,-1.01
0.59636,-0.86873
0.62136,-0.3532
0.66727,-0.67502
0.62968,-0.94455
0.49885,-1.0819
0.60487,-1.0297
0.43613,-0.44697
0.36983,1.4373
0.4227,1.8251
0.36392,1.5797
0.52905,1.3104
0.36953,1.2981
0.4456,1.1078
0.4174,0.65093
0.55509,0.60751
0.33587,1.4555
0.1275,1.3409
0.16008,1.0322
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.58984,-0.99466
0.65164,-0.59397
0.68778,-0.8515
0.70711,-0.98626
0.54987,-0.66978
0.62537,-0.4616
0.50478,0.10804
0.47945,1.3631
0.49811,1.6939
0.46997,1.7053
0.33597,2.0007
0.49004,1.8898
0.30005,1.8558
0.46714,1.2367
0.37769,0.96705
0.30999,1.7082
0.13791,2.0956
0.12122,1.9676
0.44375,1.6602
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.69049,-0.6923
0.69602,-0.62592
0.69951,-1.0303
0.6592,-1.0658
0.61148,-0.16807
0.47835,0.25295
0.54539,0.6275
0.40821,1.2876
0.45561,1.3843
0.40262,1.7315
0.48229,2.0397
0.59786,1.6977
0.40099,1.6433
0.42777,1.3857
0.47618,1.2493
0.2639,1.9244
0.11681,2.3347
0.12157,2.2356
0.40706,1.9925
0.41376,0.83834
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.67494,-0.84856
0.54445,-0.6923
0.6145,-0.62592
0.7148,-1.0303
0.62658,-1.0658
0.64481,-0.16807
0.42715,0.25295
0.54427,0.6275
0.45693,1.2876
0.4507,1.3843
0.49209,1.7315
0.37668,2.0397
0.52568,1.6977
0.28182,1.6433
0.45897,1.3857
0.48157,1.2493
0.29162,1.9244
0.17223,2.3347
0.23719,2.2356
0.43893,1.9925
0.43249,0.83834
0.34906,0.39604
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.56825,-0.36822
0.44306,0.0054585
0.64359,-0.23684
0.6656,-1.0536
0.50757,-0.79497
0.55559,0.3356
0.3747,0.94267
0.49127,1.0589
0.53536,0.82259
0.57891,0.87285
0.60622,1.4654
0.38228,2.0097
0.45167,1.8208
0.19342,2.0152
0.41499,1.8961
0.46617,1.4648
0.29211,2.0112
0.14198,2.3698
0.44239,2.0642
0.39878,2.0687
0.331,1.5593
0.52117,1.083
0.41387,0.66738
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.37036,0.31515
0.59354,0.32414
0.65236,-0.30946
0.62691,-0.24261
0.44495,0.78538
0.44629,1.6475
0.58304,1.6108
0.48165,0.69935
0.53746,0.41206
0.52959,1.3621
0.44253,2.067
0.4578,2.1565
0.19816,2.543
0.32664,2.1831
0.41337,1.5982
0.2606,1.9472
0.13789,2.1801
0.49381,1.8113
0.43119,2.0147
0.48889,2.1247
0.49387,1.3671
0.33112,1.3822
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.49484,0.31515
0.51281,0.32414
0.57771,-0.30946
0.62344,-0.24261
0.41074,0.78538
0.42365,1.6475
0.35077,1.6108
0.36751,0.69935
0.51664,0.41206
0.40145,1.3621
0.3378,2.067
0.41336,2.1565
0.22796,2.543
0.3512,2.1831
0.57584,1.5982
0.3645,1.9472
0.26896,2.1801
0.50336,1.8113
0.49763,2.0147
0.31575,2.1247
0.45169,1.3671
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
