NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.10147,NaN
0.14499,NaN
-0.07989,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.0024834,NaN
-0.024077,NaN
0.0095981,NaN
-0.030671,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.16,NaN
0.35832,NaN
NaN,NaN
0.048366,NaN
0.083906,NaN
0.14286,NaN
0.075297,NaN
0.0076369,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.15281,NaN
0.24905,NaN
0.36057,NaN
0.30364,NaN
NaN,NaN
NaN,NaN
0.21795,NaN
0.12679,NaN
0.11256,NaN
0.083635,NaN
0.04202,NaN
0.019192,NaN
NaN,NaN
NaN,NaN
-0.034141,NaN
0.020114,NaN
-0.060622,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27058,NaN
0.33204,NaN
0.44221,3.4475
0.30795,NaN
0.32113,4.7515
0.29718,5.0699
0.16146,NaN
0.2245,4.0084
0.11505,NaN
0.10833,NaN
0.080472,NaN
0.073068,NaN
0.0609,NaN
0.034696,NaN
0.010309,NaN
0.025714,NaN
0.044829,6.8341
0.02755,NaN
-0.078547,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.3608,2.7351
0.3949,3.6518
0.30503,4.6263
0.20925,5.4802
0.26422,5.8919
0.30903,4.8509
0.20647,5.3504
0.15469,5.5132
0.096817,NaN
0.099179,7.0661
0.10446,NaN
0.12458,6.7531
0.078021,NaN
0.07596,NaN
0.059035,7.1988
0.050233,6.9955
0.018824,6.8017
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.092112,NaN
0.24282,NaN
0.33704,4.1047
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.36933,4.4302
0.32877,5.1564
0.23062,5.7305
0.25666,6.1089
0.23547,5.6203
0.10374,6.2376
0.12422,6.4573
0.11886,NaN
0.089046,7.5982
0.059445,NaN
0.079852,6.9519
0.062667,7.5239
0.079108,8.0094
0.092331,7.7191
0.10389,6.9497
0.20548,6.0872
0.032661,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31157,NaN
0.13933,NaN
0.057906,NaN
0.23712,NaN
0.23242,NaN
0.23328,4.1438
0.25828,5.9896
0.28646,7.4257
0.33681,6.5265
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31384,5.9491
0.31452,6.8629
0.32437,6.0616
0.23849,6.6813
0.13301,6.6017
0.14226,6.6618
0.05984,7.4024
0.024559,7.7918
0.052216,7.3802
0.092303,7.4846
0.072928,8.0023
0.093077,8.6339
0.081901,8.0381
0.15054,7.3348
0.25421,5.6763
0.14322,NaN
0.11702,NaN
0.13313,NaN
0.17335,NaN
0.12751,NaN
0.13862,NaN
0.16734,NaN
0.2986,5.5725
0.3331,6.1613
0.26657,NaN
0.28751,4.8664
0.32911,3.708
0.35284,5.2531
0.24901,6.8278
0.23533,8.3763
0.2792,8.5788
0.42161,6.9754
0.48612,6.9728
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28637,4.5547
0.28095,5.6489
0.15949,6.7505
0.25946,7.1061
0.27386,7.4537
0.31432,6.8422
0.16077,6.767
0.1841,6.6669
0.10578,6.8547
0.12824,7.9677
0.05976,8.0645
0.090515,8.04
0.080698,7.9896
0.096978,8.4939
0.098518,9.175
0.12034,8.5935
0.1419,7.4572
0.1026,6.0342
0.11733,6.8862
0.1594,7.01
0.16631,6.6865
0.22734,7.6779
0.27832,7.0094
0.23207,NaN
0.21295,6.4182
0.33077,6.5236
0.33432,7.4164
0.15418,NaN
0.22919,5.8605
0.30319,5.0522
0.28593,6.473
0.2522,7.4153
0.23553,8.7478
0.27094,8.9095
0.31502,8.2274
0.34753,8.4373
0.30496,7.504
0.31736,6.9559
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.42809,4.3045
0.23655,5.4814
0.10327,6.5
0.20784,7.4632
0.18284,7.3958
0.29802,6.4952
0.27457,6.1601
0.29795,6.8271
0.12598,7.7036
0.076447,8.6215
-0.012443,8.3739
-0.0062984,8.6259
0.136,8.2234
0.098582,8.8019
0.096549,9.1158
0.11292,8.7922
0.12765,7.5652
0.11883,6.6405
0.095394,7.5961
0.1215,8.3294
0.14263,8.0779
0.16705,8.9397
0.17742,8.4468
0.16239,8.6058
0.16793,7.6589
0.16953,7.8018
0.11921,8.2353
0.19586,7.3303
0.31884,6.6327
0.29673,5.9669
0.25852,7.446
0.21439,8.1667
0.28665,8.6326
0.26779,8.719
0.27179,8.9155
0.26527,9.0341
0.33066,7.8195
0.50826,5.9693
0.32164,6.2901
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.22327,4.662
0.29055,5.1109
0.29675,5.372
0.20441,6.2102
0.2265,7.0108
0.21266,6.9246
0.33534,6.1915
0.31764,6.1762
0.18252,7.5769
0.12887,8.4033
0.093305,9.034
0.09832,9.0773
0.079105,8.8214
0.18771,8.3138
