NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.23725,3.1415
0.23186,2.6065
0.2536,2.4293
0.25073,2.2094
0.25892,2.0778
0.28939,2.1244
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.2282,0.43129
0.24418,0.085843
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28282,2.9257
0.23387,2.4236
0.24735,2.4332
0.211,2.2865
0.25564,2.1799
0.25327,2.0995
0.1693,1.8795
0.23121,1.5661
0.18307,1.9769
0.2369,1.7635
0.1337,0.58873
0.1916,-0.077841
0.19911,-0.78455
0.20726,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.24844,2.4236
0.23153,2.3682
0.2041,2.3365
0.15415,2.1799
0.18679,2.1702
0.16015,1.9033
0.2053,1.5661
0.11841,2.2898
0.076414,2.1642
0.13273,0.58873
0.22092,0.11035
0.27421,-0.37593
0.049712,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.15178,2.404
0.15747,2.3999
0.15516,2.3749
0.14621,2.2207
0.14255,2.0664
0.12533,1.7759
0.11421,1.7965
0.078203,2.3661
0.050379,2.492
0.084827,0.60261
0.10682,0.33583
0.25127,0.32138
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.1706,2.5908
0.13028,2.4858
0.19421,2.3042
0.13669,2.3689
0.28166,2.2831
0.16502,2.1325
0.14482,1.6986
0.13549,1.6952
0.067516,2.3661
0.089566,2.2461
0.078304,0.5311
0.13002,0.33583
0.16797,0.66153
0.027591,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17125,2.5324
0.18363,2.4129
0.17882,2.3042
0.22008,2.3256
0.23119,2.2951
0.28935,2.1325
0.25773,1.5852
0.13366,1.6371
0.085337,2.1498
0.089566,1.8796
0.078365,0.56062
0.111,0.45748
0.14813,0.64813
0.12536,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.15849,2.3682
0.22642,2.5027
0.1366,2.2748
0.11725,2.3387
0.12044,2.4404
0.18409,1.9679
0.3245,1.5781
0.18619,1.4629
0.10592,1.7682
0.074297,1.2507
0.06991,0.46688
0.10385,0.60201
0.18667,0.85889
0.096401,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.13764,2.3682
0.17302,2.3878
0.15279,2.3622
0.11386,2.3387
0.079856,2.3496
0.16785,2.0672
0.25881,1.5781
0.23265,1.4888
0.13366,1.4274
0.094917,1.2507
0.08534,0.2514
0.090624,0.66203
0.19475,0.85889
0.19068,-0.27521
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.13377,2.2094
0.15813,2.1589
0.15139,1.9482
0.12291,2.1554
0.094855,2.0791
0.09458,2.0974
0.21937,1.8109
0.22135,1.7076
0.14368,1.425
0.090033,0.82723
0.11075,0.2487
0.13117,0.41517
0.21335,0.56301
0.28972,0.23848
0.13025,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17292,2.3232
0.094487,2.1589
0.17581,2.0247
0.18919,1.8512
0.18509,2.0791
0.08182,1.9838
0.13031,1.8978
0.14639,1.7076
0.13456,1.4948
0.12875,0.81429
0.15923,0.2487
0.27589,0.15204
0.25615,0.12145
0.2725,0.23848
0.17496,-0.12358
0.1152,NaN
0.10575,NaN
0.063934,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.12201,2.5542
0.098986,2.3788
0.092966,2.4658
0.075745,2.0964
0.13846,1.7816
0.25708,1.5957
0.11381,1.7042
0.14601,1.6664
0.099136,1.3002
0.12837,1.071
0.1604,0.62115
0.17743,0.53802
0.25102,0.085814
0.20165,0.71521
0.12684,0.36644
0.11168,NaN
0.15464,-0.76447
0.24283,NaN
0.24349,NaN
0.25133,NaN
0.21223,NaN
0.14123,NaN
0.021639,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.075995,2.4658
0.083555,2.312
0.085889,1.9508
0.12042,1.5957
0.11033,1.1485
0.1368,1.2237
0.12398,1.3002
0.11957,1.0994
0.13962,1.1333
0.13173,0.53802
0.19559,0.67386
0.14624,0.89342
0.12813,0.36644
0.13098,0.26871
0.1283,-0.15876
0.36613,NaN
0.32195,NaN
0.34294,-0.61852
0.31834,NaN
0.26871,-0.6772
0.21815,NaN
0.13614,NaN
0.10877,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
