NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.040895,NaN
-0.031496,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.14187,NaN
-0.01686,NaN
-0.058981,NaN
0.07181,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.11411,NaN
0.024719,NaN
0.0010493,NaN
0.085216,NaN
0.11486,-4.422
0.11111,-2.8205
-0.019458,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.13848,NaN
0.080562,NaN
0.13245,NaN
0.10923,NaN
0.57738,-4.422
0.43475,-2.8205
0.053333,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.0063514,NaN
0.016901,NaN
0.10968,NaN
0.061331,NaN
0.193,NaN
0.54953,-3.9134
0.59946,-3.1064
0.50622,-2.7804
0.53474,NaN
0.13871,-2.3216
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.010989,NaN
0.0065612,NaN
0.073199,NaN
0.079137,NaN
0.092338,NaN
0.20855,NaN
0.57337,-2.6849
0.62866,-1.588
0.58462,-1.3497
0.47443,-1.4236
0.27002,-1.7437
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17523,NaN
0.084146,NaN
0.28189,NaN
0.40644,NaN
0.25727,NaN
0.43908,NaN
0.49041,NaN
0.58819,-1.4199
0.58345,-0.86099
0.46,-0.55053
0.52913,-0.15591
0.47171,-0.89258
0.15551,-0.091395
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.14017,NaN
0.22655,NaN
0.60307,NaN
0.55057,NaN
0.57414,NaN
0.55404,NaN
0.49948,NaN
0.53933,-1.4199
0.47929,-0.86099
0.48284,-0.55053
0.55467,-0.15591
0.52168,-0.89258
0.027092,-0.091395
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.082282,NaN
0.1443,NaN
0.48471,NaN
0.64932,-3.7743
0.4911,-3.2557
0.56508,-3.5794
0.58054,-3.6927
0.49743,-3.5158
0.42308,-0.33194
0.4165,-0.053871
0.42197,0.37151
0.51173,0.233
0.58669,-1.1025
0.010004,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.054508,NaN
0.098171,NaN
0.56366,NaN
0.66667,-2.4704
0.49676,-2.2666
0.2359,-1.1681
0.50034,-2.6479
0.50999,-1.6802
0.48864,0.40608
0.42838,0.73328
0.37149,1.3258
0.54119,-0.25822
0.40047,-1.1605
-0.015251,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.023023,NaN
0.078859,NaN
0.47465,-3.4199
0.70107,-2.2978
0.58947,-1.4944
0.5667,-0.6872
0.40628,-2.2539
0.44736,-1.1651
0.51278,-1.3829
0.4787,3.3626
0.30418,2.5886
0.3405,1.8014
0.5039,-1.042
-0.020273,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.035789,NaN
0.32763,NaN
0.44636,-3.4199
0.63494,-2.2978
0.55371,-1.4944
0.48637,-0.6872
0.28219,-2.2539
0.46244,-1.1651
0.4607,-1.3829
0.33759,3.3626
0.35525,2.5886
0.45767,1.8014
0.56594,-1.042
0.26849,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.072161,NaN
0.41811,-3.5712
0.48557,-2.1839
0.48973,-1.2253
0.45265,-0.55754
0.52371,-0.141
0.32518,-0.17365
0.33255,-1.6835
0.30375,-0.18704
0.27533,3.9339
0.4346,3.8581
0.46809,0.50071
0.51624,-0.35997
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.24555,-2.6846
0.25753,-2.5669
0.49368,-1.5726
0.37199,0.13866
0.43919,0.81965
0.25061,2.0123
0.41716,-0.92222
0.25586,0.52992
0.31433,2.1506
0.26842,4.4469
0.38671,3.5188
0.37138,-0.23106
0.46205,NaN
