NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.36591,0.025645
0.36008,-0.46956
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.24626,0.3208
0.53984,-0.72874
0.52962,-1.17
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.43744,0.3208
0.63267,-0.72874
0.62293,-1.17
0.28778,-0.47777
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.483,-0.56127
0.62353,-1.2139
0.55872,-1.3189
0.3421,-0.047735
0.23556,0.73823
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29771,0.33803
0.52483,-0.48526
0.51676,-0.86361
0.54914,-0.33459
0.30971,0.31654
0.2219,0.77264
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.2407,0.33803
0.63306,0.32609
0.43192,0.27216
0.35361,0.61772
0.26592,0.67833
0.18552,1.0087
0.25949,1.7469
NaN,NaN
NaN,NaN
NaN,NaN
0.28793,0.55799
0.3257,0.32609
0.18322,0.27216
0.22091,0.61772
0.20895,0.67833
0.21116,1.0087
0.24142,1.7469
NaN,NaN
NaN,NaN
0.17466,1.2307
0.24744,1.328
0.22806,1.4245
0.18429,1.1617
0.21927,0.89299
0.22766,0.97171
0.19231,1.5998
0.22457,2.108
NaN,NaN
NaN,NaN
0.21211,2.0664
0.097122,1.9661
0.16029,1.8181
0.19953,1.2644
0.31518,1.0338
0.17068,1.3969
0.23669,1.6889
0.3203,1.8962
NaN,NaN
NaN,NaN
0.14915,2.0664
0.12113,1.9661
0.11716,1.8181
0.15855,1.2644
0.14544,1.0338
0.15702,1.3969
0.23316,1.6889
0.25785,1.5609
NaN,NaN
0.19077,2.4176
0.11885,2.1983
0.14281,2.2529
0.11062,1.8018
0.28176,1.0849
0.25712,1.2683
0.15935,1.8029
0.22596,1.5632
0.2575,1.5609
0.23957,1.7711
0.26255,2.1877
0.10493,1.6376
0.076373,1.9014
0.11457,1.6226
0.2441,1.0754
0.20564,1.2765
0.14591,1.8265
0.16214,1.4993
0.21342,1.3635
0.22566,1.5203
0.25033,2.1877
0.15684,1.6376
0.10507,1.9014
0.059009,1.6226
0.12816,1.4201
0.12122,1.4559
0.20646,1.6699
0.30927,1.4113
0.24453,1.2315
0.33839,1.417
0.26152,1.9265
0.14539,1.3755
0.13492,1.6462
0.038848,1.7942
0.086561,1.4201
0.10361,1.4559
0.24885,1.6699
0.28541,1.4113
0.31007,1.2315
0.36145,1.417
0.2521,2.4434
0.08305,1.6202
0.11824,1.5176
0.085914,1.7726
0.055706,1.612
0.14943,1.143
0.13644,0.9779
0.18057,1.2557
0.21753,1.5894
0.24368,1.5027
0.14903,2.5082
0.13284,1.6188
0.10315,1.2142
0.11969,1.4257
0.076954,1.4736
0.13445,1.0275
0.235,0.51018
0.19604,0.5479
0.27914,1.0147
0.29072,1.287
0.25643,2.5082
0.17862,1.6188
0.1667,1.2142
0.17902,1.4257
0.12137,1.4736
0.11239,1.0275
0.25876,0.51018
0.19164,0.5479
0.24859,1.0147
0.23988,1.2341
0.17479,2.3631
0.1926,1.4584
0.24223,0.81769
0.237,0.72796
0.1448,1.0283
0.11072,0.97322
0.10529,0.57844
0.20537,0.31984
0.15893,0.57854
0.26097,1.2341
0.15895,2.4119
0.21098,1.4485
0.34111,0.40091
0.2094,0.33291
0.1071,0.58106
0.16669,0.55089
0.20309,0.58793
0.28243,0.51043
0.1523,0.83171
0.1888,1.4204
0.17103,2.4119
0.23712,1.4485
0.15884,0.40091
0.15596,0.33291
0.28,0.58106
0.19795,0.23993
0.23851,0.47558
0.1893,0.4763
0.10943,0.66654
NaN,NaN
NaN,NaN
NaN,NaN
0.27629,0.57154
0.21322,0.5358
0.27672,0.50418
0.1772,0.23993
0.25962,0.47558
0.28905,0.4763
0.23816,0.66654
NaN,NaN
NaN,NaN
NaN,NaN
0.26042,1.0201
0.26673,1.3804
0.28703,1.361
0.23888,0.98486
0.27775,0.75107
0.29603,0.23251
0.41415,-0.39481
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.2506,1.3618
0.36954,0.025821
0.56695,-1.3586
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.59066,0.025821
0.68702,-1.3586
0.39542,-1.0455
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.33659,1.4713
0.53009,-0.087445
0.60505,-1.4122
0.58149,-1.3992
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.47081,1.1224
0.55152,-0.2444
0.47799,-0.90362
0.49608,-0.69748
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.35371,1.1435
0.62189,-0.078148
0.53271,-0.40535
0.47624,-0.081574
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.6027,-0.078148
0.50047,-0.40535
0.32785,-0.081574
