NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.42903,2.0669
0.26438,4.251
0.4003,3.7711
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.70112,-0.25083
0.59788,0.58363
0.41112,2.5597
0.44826,2.9842
0.43918,2.872
0.63859,2.3867
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.74455,-0.50788
0.76679,-0.51753
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.65814,-0.40675
0.51854,-0.0038338
0.37807,1.3145
0.30105,2.5767
0.44014,3.2347
0.43036,2.6778
0.43012,1.5848
0.48641,0.62157
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.26726,7.3904
0.26424,6.2823
0.32669,4.8604
0.39986,3.1988
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.71326,1.1798
0.73947,0.32332
0.74804,-0.12892
0.78358,-0.44615
0.7439,-0.41639
0.76338,-0.24594
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.63611,-0.11373
0.58424,0.067274
0.43235,0.61193
0.27828,1.9981
0.40593,3.8777
0.34137,4.176
0.30258,2.5768
0.49813,0.56671
0.37072,0.57311
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.25451,7.4854
0.21245,6.7732
0.35856,6.0252
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.16016,8.5941
0.15999,8.3914
0.19207,6.7226
0.23091,7.1053
0.26935,5.417
0.32078,3.7885
NaN,NaN
0.42631,1.8426
0.49524,3.2167
0.44156,3.836
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.47313,0.52092
0.25866,0.74504
0.28522,0.58603
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.69228,1.9578
0.73152,0.79036
0.74386,-0.031143
0.77256,-0.38088
0.77735,-0.36319
0.74156,-0.10864
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.65765,0.47941
0.65663,0.59966
0.46567,1.5767
0.24478,3.5747
0.29663,5.3573
0.1913,3.0353
0.27881,0.91622
0.34731,0.50493
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.20868,7.6087
0.24766,7.59
0.23289,7.4793
0.30427,6.5968
NaN,NaN
NaN,NaN
NaN,NaN
0.19673,9.1372
0.15781,9.1177
0.18342,8.6658
0.24545,8.476
0.18109,8.1065
0.19038,8.2082
0.21941,6.8335
0.30277,4.8062
0.34706,2.9164
0.52328,2.1285
0.31115,3.4123
0.36075,4.2717
0.47938,3.7941
NaN,NaN
NaN,NaN
0.24185,0.42494
0.46774,-0.49629
0.51574,0.31262
0.23821,0.44421
0.34977,0.36179
0.5397,0.58734
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.70471,1.5964
0.71479,0.63012
0.756,-0.0017459
0.76481,-0.20374
0.78068,-0.34927
0.74951,-0.14672
0.74875,-0.21449
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.53375,0.4624
0.49259,1.5447
0.59911,1.3419
0.5846,2.0741
0.35617,2.7376
0.30839,4.7494
0.29983,2.3775
0.28386,1.1738
0.29319,1.0065
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.23067,8.2911
0.26579,7.4218
0.19774,7.5569
0.3195,7.4419
0.2969,6.4067
NaN,NaN
NaN,NaN
0.22006,8.9211
0.26102,8.8967
0.16551,8.8826
0.20998,8.3577
0.23795,8.1468
0.22574,8.5719
0.12503,8.6042
0.20328,7.2558
0.3403,5.1561
0.32221,2.7362
0.5965,2.5737
0.36043,2.9553
0.41248,3.0767
0.51549,2.745
0.56207,0.98043
0.3409,0.52508
0.28073,0.081083
0.43345,-0.45825
0.58699,0.2815
0.49473,0.36402
0.37322,0.2786
0.52543,0.31851
NaN,NaN
NaN,NaN
0.61488,0.61238
0.60129,0.70977
0.64602,0.49892
0.6214,1.2091
0.62881,1.2217
0.65462,1.035
0.64884,0.55167
0.73852,0.10498
0.77736,-0.26183
0.7842,-0.42153
0.74265,-0.20767
0.73799,-0.054983
0.78486,-0.38169
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31455,1.3505
0.47129,1.4019
0.58152,3.323
0.65456,3.1792
0.45721,3.8061
0.40346,3.0447
0.4509,3.9852
0.64127,1.8893
0.39625,0.99067
0.27734,1.6173
0.20716,5.3697
0.12219,7.8608
0.23271,8.3047
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29864,7.6338
0.29758,7.4218
0.22001,7.5416
0.32714,6.8331
0.34229,6.9413
NaN,NaN
0.22267,8.3526
0.20396,8.595
0.27192,8.6242
0.17868,8.3787
0.19043,7.9402
0.23,8.2267
0.16236,8.7781
0.15865,8.1285
0.33157,6.568
0.32314,4.5872
0.26802,1.5838
0.27787,2.3984
0.47734,2.9553
0.48669,1.6911
0.51203,0.83872
0.34181,0.17313
0.3429,-0.050162
0.56259,-0.55957
0.45641,-0.15965
0.66104,0.25322
0.64168,0.38216
0.62814,0.41993
0.59606,0.22506
0.65022,-0.035068
NaN,NaN
0.67211,0.012628
0.61489,0.41756
0.68183,0.41814
0.59265,0.68578
0.64487,0.79213
0.58604,0.75835
0.65931,0.61125
0.72698,0.17082
0.73488,-0.1872
0.79589,-0.57078
