NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28441,2.6007
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.26968,3.5283
0.24939,3.2775
0.31321,2.3195
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27638,2.3231
0.25897,3.5283
0.30253,4.8501
0.27761,3.2428
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27758,1.9574
0.23871,2.6
0.18879,4.3163
0.23915,5.5596
0.31231,4.5158
0.30446,3.309
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17973,0.23789
0.29499,0.16297
0.28057,1.1301
0.17429,2.6838
0.090813,4.5784
0.2291,4.7849
0.31644,4.7724
0.29773,3.309
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.11877,-0.21191
0.33647,-0.88974
0.36887,0.67595
0.21477,2.0015
0.18816,3.5926
0.18054,4.7849
0.27133,4.0863
0.29484,3.7679
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.28316,3.2615
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.067646,-0.88974
0.26076,0.079935
0.22955,2.0015
0.19979,2.3259
0.24287,3.5053
0.28488,3.4051
0.2705,3.9807
NaN,NaN
NaN,NaN
NaN,NaN
0.37989,1.8912
0.2967,3.2615
0.3798,3.1695
0.44663,2.9384
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31476,-0.31364
0.13938,-0.77299
0.23357,0.9668
0.25789,1.5963
0.28901,2.6829
0.25385,3.1368
0.20109,3.8642
0.30226,4.2972
0.37717,3.8757
0.41314,2.5063
0.42937,2.9192
0.31834,3.3915
0.40381,2.7102
0.40917,2.6974
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.10215,0.10975
0.2415,-0.012831
0.26314,1.0664
0.30966,2.461
0.20276,3.1368
0.18119,3.4169
0.23393,4.2972
0.31894,4.0546
0.35974,3.1005
0.35149,3.4711
0.26474,3.41
0.29158,3.1298
0.39088,2.921
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30922,0.10975
0.26638,-0.57703
0.24241,1.0664
0.35028,1.8647
0.18668,2.6806
0.19214,2.9133
0.18712,4.1238
0.3011,3.6946
0.37038,3.2032
0.27951,3.8278
0.28228,3.5743
0.29281,3.1298
0.17302,3.4473
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.16297,-0.1165
0.24855,0.028683
0.32008,0.66847
0.44814,2.0223
0.21884,2.3631
0.16444,3.4876
0.32859,3.3991
0.35101,3.4165
0.18549,3.8278
0.1635,4.0156
0.14213,3.9013
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.27825,1.6106
0.24818,-0.0078269
0.24668,-0.36825
0.3067,1.3096
0.22952,2.3631
0.26757,2.922
0.30054,3.3991
0.24908,3.8214
0.2077,4.1739
0.22616,4.2216
0.2338,4.1588
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.35899,1.3567
0.06676,0.60823
0.22727,-0.36825
0.32023,0.56528
0.32214,1.8741
0.23344,2.4835
0.24736,3.5109
0.22397,4.3056
0.16942,4.229
0.22816,4.3333
0.20179,4.2421
0.24763,3.425
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.24417,2.5096
0.33479,2.4273
0.47439,1.3567
0.20119,2.1138
0.19275,0.46953
0.26907,0.43873
0.3285,1.4101
0.25349,2.1655
0.20186,3.7265
0.2014,4.483
0.15443,4.346
0.17107,4.3333
0.14061,4.6954
0.16496,4.2017
0.19891,4.3051
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.34237,2.3816
0.26088,3.088
0.42397,2.3224
0.2613,2.3141
0.0090664,2.116
0.25241,1.2805
0.25122,0.579
0.18509,2.1655
0.16982,3.5506
0.17219,4.483
0.17817,4.4062
0.14384,4.4519
0.1623,4.5513
0.18403,4.7453
0.21944,4.192
0.18365,3.7864
0.16478,2.9747
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.4531,2.5101
0.42499,2.3753
0.42573,2.9138
0.4657,2.6818
0.20206,3.7623
0.31622,3.1621
0.20781,3.061
0.10791,2.7892
0.17794,1.2805
0.18188,0.51236
0.16049,1.2871
0.15703,2.6416
0.15786,4.1023
0.15365,4.088
0.14652,4.3356
0.14804,4.2869
0.14162,4.2247
0.1631,2.9707
0.19769,2.8175
0.18735,2.9747
0.22726,1.4856
0.33276,2.0905
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30117,2.6153
0.48214,1.1785
0.47594,1.294
0.44966,2.1505
0.40842,3.2276
0.40772,3.7103
0.39715,3.5191
0.2204,3.7623
