NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.046341,NaN
0.014497,NaN
0.02734,NaN
0.058824,NaN
0.09115,NaN
-0.016013,NaN
-0.075099,NaN
0.017912,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.063559,NaN
0.018939,NaN
-0.01003,NaN
0.13108,NaN
0.090872,NaN
0.11637,NaN
0.21949,NaN
0.11772,NaN
-0.045647,NaN
-0.068794,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.0023688,NaN
0.10206,NaN
0.22762,NaN
0.041462,6.0001
0.088901,NaN
0.18507,NaN
0.10861,NaN
0.14077,NaN
-0.10993,NaN
NaN,NaN
-0.062201,NaN
-0.078498,NaN
-0.036661,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.00046275,NaN
0.081417,NaN
-0.0010694,NaN
0.070433,NaN
-0.03511,NaN
0.017297,NaN
0.18383,NaN
0.16804,6.2509
0.24073,NaN
0.24542,NaN
0.10135,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.054043,NaN
-0.058281,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.11775,NaN
-0.054233,NaN
0.11445,NaN
0.39278,-1.1738
0.069206,NaN
0.059072,6.4436
0.040667,NaN
-0.025103,NaN
0.069216,NaN
0.12288,NaN
0.40196,NaN
0.10666,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.07613,NaN
-0.036405,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.12667,NaN
0.15486,NaN
0.19935,NaN
0.18843,-2.2479
0.20876,-1.132
0.092085,1.1045
0.068405,5.9718
0.028032,NaN
-0.025686,8.2555
-0.02271,NaN
-0.093959,NaN
0.15059,NaN
-0.019236,NaN
-0.079616,NaN
NaN,NaN
NaN,NaN
-0.013621,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.12918,NaN
0.16888,NaN
0.093162,NaN
-0.027754,NaN
0.17527,NaN
0.069101,-2.359
0.10745,-1.9636
0.16295,-1.4533
0.16416,-0.25017
0.18203,2.4647
0.14953,9.4642
0.17992,8.4692
0.12371,7.7977
-0.014522,NaN
0.047164,NaN
0.19156,NaN
0.080797,NaN
-0.020089,NaN
-0.081174,NaN
-0.092815,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.022718,NaN
0.28019,NaN
0.31493,-3.4816
0.28077,-3.2477
0.11845,-2.8092
0.16333,NaN
0.19997,-2.1753
0.3006,-2.0065
0.34268,-1.7279
0.12416,-1.3424
0.23178,0.65382
0.14006,3.8903
0.14995,9.2811
0.15234,8.033
-0.0012189,7.2836
-0.049509,NaN
0.029007,NaN
0.20426,NaN
0.10843,NaN
0.082592,NaN
0.067716,NaN
-0.016449,NaN
-0.0066621,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.076025,NaN
0.13186,-2.1985
0.45266,-2.0805
0.074006,NaN
0.061967,NaN
0.17143,-2.4611
0.20343,-1.6762
0.15812,-1.5358
-0.0089339,-1.4393
0.12945,-0.69036
0.40635,0.52311
0.33674,2.1181
0.18838,6.4476
0.14899,8.7115
0.18797,7.8828
0.011537,NaN
-0.038142,NaN
-0.0053489,NaN
0.1023,NaN
0.082855,NaN
0.15351,NaN
0.085431,NaN
0.099799,NaN
0.073117,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.077577,NaN
0.17751,-1.3292
0.23717,-1.3169
0.12438,-2.4085
0.29007,-2.5173
0.049566,-1.6473
0.024133,-0.70674
0.075469,0.73263
0.031909,0.0077393
-0.0060435,-0.29621
-0.050641,1.0741
-0.0085461,4.0943
0.13694,7.9046
0.080247,8.0075
0.082524,7.7701
-0.010859,NaN
-0.010238,-0.21514
0.024718,NaN
0.0020237,NaN
-0.023989,NaN
0.11123,NaN
0.063049,NaN
-0.027438,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.096286,NaN
0.22796,-1.4446
0.27231,-0.4125
0.368,-0.87389
0.22489,-2.0945
0.22315,-1.5265
0.15128,-0.26152
0.1274,2.3349
0.069897,1.1813
0.16621,-0.19497
-0.0049867,-0.45412
0.0057823,1.8089
0.020045,5.3766
0.18677,8.3373
0.17941,6.7581
0.022618,7.2452
0.0053071,NaN
-0.030077,NaN
-0.038009,3.938
-0.018171,5.239
0.061959,NaN
0.1032,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.022318,NaN
-0.024628,NaN
0.16271,-0.59554
0.18891,-0.11146
0.21644,-1.0814
0.27437,-1.8581
0.22724,-0.22911
0.19266,1.3639
0.13046,2.4807
0.38934,1.2064
0.17599,-0.54253
0.12788,-0.29074
0.074175,2.5969
0.028189,6.206
0.030522,8.2434
0.12599,6.5497
-0.1593,7.3698
0.013266,NaN
0.02165,NaN
0.031994,4.4963
0.077025,5.721
0.14773,6.2761
0.00050548,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
-0.062439,NaN
-0.18486,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.11141,NaN
0.20885,-1.176
0.1483,0.37469
0.15905,-0.055554
0.15676,-1.3545
0.21769,-2.0394
0.22814,-0.56145
0.18347,0.80479
0.27593,1.8068
0.34002,1.0874
0.41578,-0.75554
0.16866,-0.020007
0.071353,2.9108
0.16311,5.342
0.25532,6.9912
0.1351,7.207
-0.067385,7.2871
0.0083451,NaN
0.039631,1.8954
0.024764,5.4838
0.14278,6.2603
-0.0052867,NaN
-0.036145,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.44617,-3.6039
0.25157,NaN
-0.051516,NaN
-0.02229,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.23023,NaN
0.16828,-1.9393
0.29325,0.22564
0.25791,-0.7088
0.10868,NaN
0.069612,-1.6062
0.17759,-0.51128
0.31695,0.64472
0.46034,1.3021
0.53864,0.7052
0.58413,-0.52691
0.21559,0.43516
0.21946,2.9868
0.28547,3.7791
0.16438,4.224
-0.016016,7.1489
-0.031591,7.0235
0.016643,NaN
0.20402,NaN
0.031186,5.2781
