NDVI,UHI
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.26131,5.6555
0.29119,5.888
0.26926,5.9866
0.24041,5.8893
0.25298,5.7503
0.28359,5.6759
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.31481,5.728
0.27178,6.0199
0.24765,5.9588
0.23268,5.8893
0.24586,5.8235
0.24801,5.6759
0.25968,5.809
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.29903,4.6906
0.24273,5.6666
0.25438,5.8925
0.24274,5.8432
0.2969,5.8118
0.29777,5.9964
0.23512,6.1626
0.25968,5.7762
NaN,NaN
0.31589,6.1515
NaN,NaN
0.3637,5.3064
0.31167,5.3426
0.33622,5.5139
NaN,NaN
0.24415,5.5369
0.22879,5.5915
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30102,4.5764
0.28502,5.4997
0.27192,5.6903
0.23622,5.588
0.32089,5.3177
0.28462,5.7268
0.27653,6.7448
0.35999,5.8963
0.26296,6.06
0.26393,6.1836
0.2775,5.8656
0.34327,5.3914
0.29974,5.3426
0.31089,5.4275
0.29052,5.1088
0.3092,5.4182
0.19756,5.1901
0.12719,5.1345
0.1133,4.551
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.40342,4.9279
0.29969,5.4997
0.25255,5.5443
0.25181,5.3295
0.32614,5.1975
0.26792,5.7013
0.29288,6.3498
0.28857,6.0453
0.20168,6.0989
0.27553,5.8872
0.22603,5.7969
0.36683,5.4324
0.25442,5.338
0.20164,5.3769
0.28091,5.4182
0.1261,5.593
0.24875,5.1901
0.13954,4.8434
0.11225,4.551
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30494,5.2934
0.25368,5.1893
0.25538,5.3295
0.29547,5.5053
0.26119,5.7013
0.22922,6.2533
0.27989,6.1626
0.22912,6.0903
0.2887,5.7404
0.27389,5.6548
0.27311,5.6895
0.32774,5.4361
0.18025,5.5839
0.25766,5.7733
0.18318,5.5824
0.28182,4.8358
0.16758,4.5229
0.12498,4.3735
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.25304,4.947
0.24293,5.3264
0.25794,4.9741
0.30759,4.7946
0.24567,5.3839
0.19916,5.6937
0.2549,5.7113
0.18746,6.092
0.28164,6.1626
0.14846,6.1394
0.26204,5.7404
0.28287,5.5598
0.30911,5.7535
0.29757,5.7501
0.22148,5.9145
0.17667,5.8972
0.1229,5.5164
0.14429,4.6521
0.27175,4.8341
0.31984,4.4847
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.21964,4.703
0.20111,5.0302
0.34207,4.3952
0.19659,5.0481
0.2069,5.5006
0.10758,5.669
0.18234,5.7562
0.23826,6.2316
0.21595,6.0951
0.15362,6.2109
0.16302,5.801
0.13274,5.6087
0.28502,5.7535
0.27212,6.2142
0.15583,5.9145
0.18717,6.1836
0.1229,5.5033
0.091478,4.9023
0.27175,5.3485
0.29183,5.0466
0.18729,4.8285
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.20228,3.6706
0.34571,4.1953
0.20686,5.0302
0.15086,5.16
0.1801,5.0481
0.18196,5.9489
0.10758,5.605
0.18234,5.8649
0.22274,6.1427
0.20301,6.2795
0.15362,5.9682
0.16302,5.8373
0.11268,5.5732
0.28502,5.7517
0.27212,6.5239
0.15583,6.5512
0.11517,6.262
0.092581,5.5033
0.28369,5.5743
0.21146,5.3485
0.17449,5.5682
0.24734,5.4648
0.18386,4.7506
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.44556,4.4884
0.20228,3.449
0.34571,4.1017
0.20686,4.7988
0.15086,6.1059
0.1801,6.2652
0.18196,5.902
0.15626,5.605
0.19652,5.6439
0.12894,6.1427
0.093396,6.1273
0.16222,5.5384
0.19865,5.5277
0.37683,5.4189
0.29535,5.9965
0.14624,6.1705
0.088489,6.1753
0.091161,6.2443
0.24308,5.967
0.19693,6.0976
0.1065,5.6425
0.22882,5.8589
0.12243,5.4648
0.32181,5.0306
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.347,4.6955
0.32326,3.4993
0.26159,4.47
0.17976,5.0197
0.23392,5.827
0.23549,6.3195
0.19162,5.6837
0.22182,5.5639
0.19208,5.5874
0.19128,5.8344
0.21082,5.7849
0.21382,5.5384
0.2311,5.3951
0.23643,5.4189
0.20042,5.7857
0.086159,5.3094
0.23172,5.6434
0.15096,5.9882
0.12243,6.0172
0.14028,5.7952
0.14624,5.6211
0.15702,5.9967
0.096395,5.9619
0.25793,5.5623
0.22084,4.5672
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.32284,4.6955
0.2564,3.8571
0.25749,4.47
0.24399,5.0122
0.1913,5.6007
0.22033,5.7089
0.22172,5.5033
0.22827,5.5913
0.27222,5.6946
0.24605,5.7154
0.24223,5.4966
0.19665,5.4728
0.2128,5.232
0.20559,5.3293
0.077674,5.0624
0.213,5.3094
0.16786,4.6669
0.18667,5.5774
0.10258,5.7803
0.11826,5.7624
0.21657,5.5548
0.087971,6.298
0.19448,6.4452
0.12092,5.9734
0.17289,5.3673
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.30855,5.198
0.26212,4.1476
0.18913,4.6018
0.16432,4.7038
0.10599,5.6007
0.29848,5.4612
0.25156,5.5015
0.21298,5.5934
0.18842,5.8904
0.25826,5.7933
0.18836,5.3788
0.201,5.3476
0.090293,4.5656
0.0908,4.6448
0.20487,3.9289
0.27195,4.2657
0.22899,3.7303
0.11839,5.5774
0.24348,5.546
0.16633,5.7624
0.16796,5.8159
0.16635,6.1619
0.21406,5.9865
0.11134,6.0009
0.090404,5.9756
0.097624,5.9512
0.13543,5.5022
0.17858,5.2273
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.26791,5.6986
0.13641,4.0858
0.22457,4.1842
0.20235,4.1985
0.21122,5.7382
0.19829,5.7401
0.20334,5.5015
0.22509,5.7626
0.18989,5.8904
0.17915,5.702
0.097341,4.8837
0.051176,4.6971
0.20938,3.8635
0.2277,3.2864
0.25,2.7588
0.25397,2.9564
0.10243,3.0729
0.14974,4.8111
0.1618,5.2548
0.079048,5.7761
0.079082,5.7129
0.20796,6.1619
0.23167,5.9531
0.13393,6.0009
0.078524,6.0926
0.077641,5.9512
0.13543,5.9763
0.17858,5.7027
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.35806,5.5505
0.21232,4.2861
0.1885,3.6754
0.20738,3.8944
0.16725,5.6489
0.19726,5.7871
0.19898,5.7053
0.17566,5.8581
