NDVI,UHI
NaN,NaN
NaN,NaN
0.49104,NaN
0.2469,-3.6786
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.22512,NaN
0.27275,-3.6786
0.36369,-2.2097
NaN,NaN
0.54402,-3.1778
0.25452,0.33
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.15789,NaN
0.21388,-3.9309
0.23444,-2.2097
0.43829,-1.8347
NaN,NaN
0.31764,-0.59798
0.2073,0.93105
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.17601,NaN
0.28644,-3.4538
0.34262,-1.987
0.36109,-2.6138
0.22252,-1.8714
0.31399,-0.090861
0.20366,-0.23226
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.32674,-3.4538
0.28452,-0.76143
0.30965,-1.9274
0.15423,-0.050818
0.23935,-0.090861
0.30158,-0.20643
0.20547,-1.2933
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.19636,-3.1252
0.30108,-0.76143
0.41695,-0.15652
0.22325,1.3062
0.20019,0.60058
0.31442,-0.20643
0.19941,-0.8784
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.23244,-3.0041
0.40006,0.10772
0.19023,-0.15652
0.099093,1.6697
0.18243,1.2601
0.36558,-0.093974
0.25043,-0.8784
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0,NaN
0.32544,-3.0041
0.29505,1.1255
0.24619,1.7808
0.14365,1.6697
0.12556,1.2601
0.28219,0.8952
0.33126,-0.063526
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
0.26213,NaN
0.25839,NaN
0.21428,1.1255
0.16487,2.6051
0.22767,1.7672
0.13682,1.8625
0.16703,0.8952
0.30976,0.80647
0.26407,0.78659
NaN,NaN
0.42204,-3.0354
0.12067,NaN
0.28965,NaN
0.16252,-1.0155
0.24304,1.7192
0.1771,2.6051
0.26397,1.8423
0.2026,2.202
0.18091,1.9661
0.25127,0.80647
0.20867,1.9631
NaN,NaN
0.23105,-4.3736
0.26049,NaN
0.14122,NaN
0.14644,-0.33431
0.14914,1.7969
0.19339,2.4603
0.28434,1.8423
0.20247,2.9033
0.13357,2.9318
0.16435,2.6245
0.13806,1.9631
0.087591,2.1002
0.18893,NaN
0.19771,-2.1016
0.059556,-1.1601
0.29116,-0.33431
0.11954,1.3249
0.21046,1.8365
0.13707,2.4887
0.15696,2.9033
0.17406,3.6023
0.24675,3.7981
0.055051,3.1147
0.063997,2.1002
NaN,NaN
0.10003,NaN
0.092837,-0.10374
0.15361,-0.057076
0.099836,1.3249
0.11403,1.8064
0.1967,3.3967
0.10501,3.7914
0.36715,3.6023
0.2395,3.7981
0.075227,3.5695
NaN,NaN
NaN,NaN
0.036364,NaN
0.054431,-0.10374
0.06443,0.66038
0.24005,1.2136
0.13191,1.8064
0.27489,3.3967
0.21192,4.1572
0.37313,4.0874
0.28598,4.3365
0.081486,3.5695
NaN,NaN
NaN,NaN
0.078446,NaN
0.10628,0.47357
0.063996,0.66038
0.1097,2.5
0.09472,2.8391
0.25611,3.8461
0.19034,4.1572
0.17542,4.6211
0.16701,4.734
0.07828,3.8854
NaN,NaN
NaN,NaN
0.040162,NaN
0.16062,0.87959
0.12917,2.189
0.16351,2.5
0.14045,3.9371
0.30451,4.214
0.22302,4.3206
0.13209,4.6211
0.19722,5.0156
0.066614,3.9755
NaN,NaN
NaN,NaN
0.062969,NaN
0.26245,1.2167
0.10648,3.4941
0.15993,3.9762
0.20239,3.9371
0.14689,4.653
0.20309,4.6397
0.18222,4.861
0.30659,5.0156
0.039695,3.5549
NaN,NaN
NaN,NaN
0.036386,NaN
0.13502,1.2167
0.0816,3.9591
0.1521,4.0895
0.12451,4.2907
0.12993,4.653
0.17235,4.8651
0.19155,4.7119
0.20794,4.5638
0.065824,3.5549
NaN,NaN
NaN,NaN
0.072618,-1.5708
0.206,1.3741
0.23077,3.9591
0.32463,4.0895
0.1265,4.2123
0.1024,4.9656
0.10805,4.8651
0.15484,4.7119
0.24971,3.8106
0.10366,2.5776
NaN,NaN
0.023244,NaN
0.088176,-1.5708
0.097425,1.4485
0.16782,3.7687
0.2148,4.0721
0.12752,4.2123
0.10088,4.7642
0.14143,4.8174
0.15468,4.3954
0.39266,3.8106
0.29841,1.5811
NaN,NaN
0.071656,NaN
0.15901,-1.4772
0.18297,1.4485
0.15752,3.6301
0.14949,4.2138
0.22698,4.1721
0.1476,4.7642
0.14919,4.2941
0.20307,3.982
0.41009,2.9254
0.40598,1.5811
NaN,NaN
0.020344,NaN
0.19128,NaN
0.087072,1.5945
0.12007,3.6301
0.096013,4.3996
0.17935,4.2832
0.17458,4.4637
0.17958,4.2941
0.19179,3.4026
0.20648,2.2404
0.27562,0.75429
NaN,NaN
0.064855,NaN
0.21883,NaN
0.15797,2.0278
0.11118,3.8253
0.11946,4.3996
0.1503,4.7012
0.1506,3.8305
0.19724,3.5118
0.18635,3.4026
0.26241,2.3303
0.34773,1.008
0.3927,-0.016586
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
