"nbhd_code","ndbi_buenosaires"
"buenosaires_4",-0.0112780956349358
"buenosaires_1",-0.0926047856208101
"buenosaires_2",-0.0367422616265686
"buenosaires_13",-0.0816374683064433
"buenosaires_14",-0.0896231077352429
"buenosaires_15",-0.0446553501289872
"buenosaires_11",-0.0360052278408266
"buenosaires_10",-0.0278532853255468
"buenosaires_12",-0.0465831678250854
"buenosaires_9",-0.0203332161413034
"buenosaires_8",-0.0649424422796117
"buenosaires_7",-0.0204538750798396
"buenosaires_6",-0.0256331990218159
"buenosaires_5",-0.0189345504180341
"buenosaires_3",-0.00736870581282166
