"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"chicago_1","0000a8b903cdc52c9a33",5.793908693,0.428627414,6.015143788,7.860267972,0.167295472,-0.054985965,0.166028277,81.95091683,184.1340475,7
"chicago_10","0000361dabd6a27b0923",4.741426738,0.312261524,4.962661833,6.860092736,0.173781836,-0.066603259,0.145056712,80.74073668,183.2178415,6
"chicago_11","00008869f0c7d76b4fe8",5.633077495,0.490992304,5.85431259,7.705826832,0.187058435,-0.076271434,0.153661127,79.42888335,183.7885143,8
"chicago_12","00002ee2e82711ccaf88",4.9094488,-0.049741004,5.130683895,7.190106057,0.290891698,-0.12368221,0.149331524,54.80727962,181.9024092,2
"chicago_13","0000504e4ac1513580b2",3.902793071,-0.330172022,4.124028166,6.732928198,0.288754853,-0.134748436,0.140933667,54.76189702,181.8906534,4
"chicago_14","0000f75e6853d5fa98bd",5.366143216,0.232793482,5.587378311,7.695865306,0.296991247,-0.128528074,0.138430753,57.49991241,182.3978981,12
"chicago_15","0000c743fa83593b94b5",6.331060157,0.304726639,6.552295252,8.524681225,0.288837188,-0.144333874,0.140003186,59.43485866,186.9920835,16
"chicago_16","0000172b5050bc7338fe",5.962123442,-0.142378683,6.183358537,8.206934004,0.227223587,-0.091473276,0.170878624,69.33962492,189.1814627,11
"chicago_17","0000952dd1d963459fa6",1.981454367,-0.539587778,2.202689462,3.955861823,0.300423118,-0.103528058,0.153717922,56.96930689,185.8619139,5
"chicago_18","00001554ec870a2a05bb",5.737005894,0.111793077,5.958240989,7.898991811,0.335636925,-0.14830081,0.148094453,50.76929586,197.0559763,13
"chicago_19","0000611efa6e814c50f5",5.876056502,0.318542945,6.097291597,7.778040442,0.279194701,-0.101287961,0.149407506,61.78955373,185.5549312,6
"chicago_2","00001a89da4e5bf0dbb5",3.811536368,-0.031960911,4.032771463,5.442269074,0.160861545,-0.046525289,0.159109126,84.29682781,184.3936733,4
"chicago_20","0000549da7cebd5128fd",1.385265139,-0.556674797,1.606500234,3.445381858,0.276636757,-0.139891795,0.132821035,62.57657542,181.2978601,10
"chicago_21","000022b88159c206d83a",0.940912947,-0.631150647,1.162148042,2.325233586,0.246408854,-0.099872248,0.120981014,68.37784019,185.4880481,5
"chicago_22","000036921234febba38f",5.361182062,0.281315571,5.582417157,7.447988161,0.339422756,-0.154956179,0.145689203,47.84605199,201.0931293,3
"chicago_23","00003341a86ec9f5409e",4.965693278,0.484222635,5.186928373,6.94799129,0.328654502,-0.143466984,0.138134544,48.15009875,185.360337,14
"chicago_24","0000f157fcb2ce169361",4.795770532,0.331777312,5.017005627,6.73478647,0.428175546,-0.204085646,0.138109435,26.73404605,192.069922,13
"chicago_25","00006cda5af88b251bb5",4.652826218,0.065191608,4.874061313,6.790592848,0.188257972,-0.064832023,0.149477639,75.33235211,184.0095868,3
"chicago_26","0000964c8d9503e8ebdd",6.404199765,0.422078206,6.62543486,8.822890934,0.228834832,-0.109163565,0.139690833,69.48997304,184.8044278,8
"chicago_27","0000272da56abbb58a5a",5.626347754,0.134973065,5.847582849,7.694369915,0.256832749,-0.108315378,0.156605792,63.4696079,185.7661861,15
"chicago_28","000026351b1b3915ef13",2.638349538,-0.444545479,2.859584633,5.118284664,0.263049243,-0.090390679,0.152939832,63.83250427,186.2439056,9
"chicago_29","000013a5f7b518fd37b8",4.382162401,0.287466371,4.603397496,6.966231962,0.280624335,-0.119235443,0.134430087,59.08652752,184.0675163,11
"chicago_3","000099084d538eb42ed5",5.871629817,0.053670102,6.092864912,7.91785723,0.289146748,-0.13083051,0.153428329,58.9426248,191.24787,15
"chicago_30","0000d96f6f1045c08b87",1.374348835,-0.366654848,1.59558393,3.497285798,0.303372778,-0.197379867,0.152828134,47.92066469,181.2821276,16
"chicago_31","00008dcbe8ad5cccecad",6.61613519,0.130081155,6.837370285,9.070923865,0.242773337,-0.103861823,0.148263588,72.08638385,186.8036631,2
"chicago_32","0000191fc7e253174a7a",6.455146115,0.328336659,6.67638121,8.750469973,0.243027249,-0.092006016,0.143782857,70.71579463,186.7107885,13
"chicago_33","0000d2a077d5810d13d7",0.473530706,-0.6512418,0.694765801,2.385886882,0.304332279,-0.133956579,0.134109051,54.09590541,186.8535728,3
"chicago_34","0000e4e9f4ee71d4bb52",5.737120243,0.114547835,5.958355338,7.905525908,0.272832923,-0.127293996,0.143495795,60.94865767,185.6780476,12
"chicago_35","000035ed5ec23b8e1693",5.452735284,0.286732154,5.673970379,7.681017791,0.300953052,-0.141031838,0.138239285,57.69096465,190.6007501,7
"chicago_36","0000721e04dd89bebfd4",-0.221235095,-0.928677066,0,1.448452056,0.315261345,-0.129409319,0.130306325,52.25959358,184.2901298,5
"chicago_37","00002f301aea7dd73dd5",2.053451446,-0.399674403,2.274686541,3.971037207,0.228255086,-0.087740625,0.116494849,73.53394893,186.6053471,10
"chicago_38","0000f9b0fe0e4547b3a9",2.402710543,-0.342243427,2.623945638,4.126243577,0.231204623,-0.096406283,0.128845888,68.44748646,185.8887056,10
"chicago_39","00006f73d1db7c3967b5",3.916247887,0.036907607,4.137482982,5.838065806,0.336493208,-0.141131756,0.135419114,51.97333252,187.6172242,8
"chicago_4","0000ccf972f972bf13c1",5.674709405,0.275138591,5.8959445,7.925525585,0.293211728,-0.129806426,0.13869915,59.26820177,186.5040973,11
"chicago_40","00008a36ad5e1e608555",5.77785335,0.045725918,5.999088445,8.128429017,0.22736719,-0.095011844,0.135650648,75.54121635,183.5977583,13
"chicago_41","00008b9f683883d70e06",0.449439502,-0.34987902,0.670674597,1.486464813,0.163736668,-0.082258848,0.108123947,67.61477698,192.2851225,6
"chicago_42","0000badb0fd80131ee9c",4.931845229,0.327012864,5.153080324,7.307986818,0.140165471,-0.044223863,0.15993344,84.33886909,183.6675395,11
"chicago_43","000079b2eb50801d448a",5.193908173,0.521019803,5.415143268,7.337299039,0.207852222,-0.084160925,0.157547768,74.69022604,183.2114232,3
"chicago_44","0000ad1a3472b4373663",6.503961919,0.17029411,6.725197014,8.793273395,0.29940071,-0.127573038,0.147345127,58.82873788,200.0380216,4
"chicago_45","00009204996d59ed1750",4.915180498,0.049865273,5.136415593,6.96808991,0.380427822,-0.172855592,0.14482246,39.78956249,196.5580211,13
"chicago_46","0000fa7576705a79dd7a",5.423040266,-0.009715226,5.644275361,7.609836325,0.350354654,-0.170032439,0.151772052,42.10353514,191.4313363,10
"chicago_47","00007db431e7340ec5dd",1.915300091,-0.317538169,2.136535186,3.564592877,0.144145244,-0.057659141,0.117651165,78.50434794,188.0972853,10
"chicago_48","0000d149dbfccbf23d76",0.615049542,-0.519332278,0.836284637,2.032058646,0.218978185,-0.077513089,0.147900141,68.89897232,186.5963434,8
"chicago_49","0000c3098598053c7500",4.332631453,-0.046820047,4.553866548,6.48334624,0.171169802,-0.052527665,0.153568283,80.820013,185.7273026,19
"chicago_5","00003189c4051272c154",6.359484594,0.404656688,6.580719689,8.457468906,0.289183895,-0.112905418,0.146389282,62.51375901,191.5524041,30
"chicago_50","00000c688900f856f786",5.296644539,0.273641093,5.517879634,7.450223835,0.21897797,-0.083896013,0.155709681,70.27449463,184.3593319,16
"chicago_51","0000df4abf4bf827679e",4.76771614,0.07234065,4.988951235,6.774475737,0.260236982,-0.109881207,0.136628423,67.4895616,183.1748581,6
"chicago_52","0000261e35b7e908e06c",5.746128742,0.383637943,5.967363837,7.867706689,0.265757661,-0.088316651,0.141326661,63.60231887,185.6400644,12
"chicago_53","0000162509735ab4e510",4.46749066,0.296227866,4.688725755,6.531131814,0.364977912,-0.166666646,0.141778071,38.97691604,187.0025959,7
"chicago_54","00009f790966f95022b3",5.469110821,0.238227261,5.690345916,7.67908075,0.339987953,-0.154007553,0.146015462,47.92145372,197.9098397,13
"chicago_55","0000555970efa69b4114",-0.049472315,-0.521703267,0.17176278,0.923316093,0.314134653,-0.107415167,0.123486905,51.05882679,183.8766249,2
"chicago_56","00003ce3e253e8c7bf50",4.129031134,-0.356369258,4.350266229,6.254580723,0.314801765,-0.093151173,0.178591035,48.51840397,199.8261644,47
"chicago_57","0000c7f7a7e861b56a44",6.056603805,0.173383536,6.2778389,8.308597565,0.278610573,-0.135573819,0.138943083,61.06571994,191.0052194,12
"chicago_58","0000db278c2319a9e5ba",3.806492967,-0.44351105,4.027728062,5.977533421,0.31141886,-0.13192336,0.160680666,51.21557444,183.0809145,8
"chicago_59","0000301373e98a51c77d",2.631227418,-0.201227571,2.852462513,4.738282272,0.294227004,-0.162823085,0.157833615,41.43942176,181.5139894,12
"chicago_6","0000cf17164f3afd6fa3",4.119288233,-0.05582489,4.340523328,7.195650104,0.294304029,-0.126341201,0.133065446,55.16900592,182.6201665,4
"chicago_60","00006e49ab7e1047649c",0.928981922,-0.846604765,1.150217017,2.460533065,0.253783545,-0.096656587,0.128581285,67.25950322,185.2955605,7
"chicago_61","00000d7e24979775a79c",4.988497391,-0.067737356,5.209732486,7.163910907,0.335171398,-0.154525156,0.14412625,47.57020085,185.3806874,16
"chicago_62","0000c8094e0d852eb35c",2.004751366,-0.530482162,2.225986461,3.707057755,0.294228011,-0.116705989,0.142479457,50.51351463,181.7458519,13
"chicago_63","0000029129ce556208f0",1.542863268,-0.382819779,1.764098363,3.31354356,0.251241432,-0.168278665,0.146961853,51.87367249,181.0993279,42
"chicago_64","00006baa6147152026c3",5.720201569,0.540586782,5.941436664,7.897424171,0.208268233,-0.076053577,0.16033505,70.61250728,183.8256258,16
"chicago_65","0000c0ca5965984722e6",1.781727633,-0.229780126,2.002962728,3.487046799,0.284144639,-0.113799857,0.132199178,60.83628325,183.3653801,10
