"nbhd_code","system:index","UHI","UHINIGHT","UHIEQ","Buffer_UHI","NDVI","NDBI","Albedo","Impervious_surface","DEM","Count"
"jakarta_001","00001bd931745f2a3156",3.0213992512151,0.206644311286451,3.53521642433658,4.0923301949816,0.166160011,-0.114132202,0.124274964838256,67.23786948,9.15416016294647,41
"jakarta_002","00007bada4f015e758d9",4.86223144549489,0.820900620591289,5.37604861861637,5.8976154974705,0.122675329,-0.065895901,NA,85.145969,9.24886369387323,5
"jakarta_003","0000349f11702bb60b65",2.52433405230349,0.182113666501511,3.03815122542497,3.800220942501,0.155529038,-0.075297204,NA,81.76479826,5.929877491613,25
"jakarta_004","00002b781301233205dd",2.89798389471744,-0.0169034448920393,3.41180106783892,3.7713334912961,0.234379501,-0.0985361,0.112145616641902,56.29290793,38.8444874483342,19
"jakarta_005","0000e89c6098c5e50ae0",0.46528986536199,0.46542877418721,0.979107038483471,1.0514427056663,0.20380397,-0.118388366,0.097202331130819,60.50628367,4.23508421845593,42
"jakarta_006","00007112e6664f838815",1.46508466698252,-0.3410334937796,1.978901840104,2.2246654718829,0.3551856,-0.140333201,0.105475488130355,34.76292204,48.8946885104158,27
"jakarta_007","0000f11acfa6eb4e7e86",2.79497467822047,-0.276739686306113,3.30879185134195,3.8626638023456,0.295036883,-0.074261434,0.106561004784689,54.97117309,54.4106587656108,15
"jakarta_008","00007da7b836c468c62b",4.25363490595569,0.352677065148756,4.76745207907717,5.3748498273598,0.161766931,-0.060305806,0.115889194139194,68.17117128,18.0509221011197,22
"jakarta_009","0000499a837da9c2c7cc",4.27305038236323,0.988043252042338,4.78686755548471,5.2176178528612,0.145783037,-0.038870316,0.108,84.21434718,9.08193493154668,6
"jakarta_010","00005bf942f1172e8321",4.04335537955484,0.658537630534829,4.55717255267632,5.3130622996106,0.140436733,-0.025134478,NA,76.04500766,6.95918944591028,11
"jakarta_011","00004f795713ff620526",2.13966155970044,-0.312933507513087,2.65347873282192,2.9097778542202,0.311255995,-0.09539634,0.115924309045226,43.41708841,56.0056196210738,22
"jakarta_012","00005dd4e3dbb7503c49",4.55073586079564,0.471396567414733,5.06455303391712,5.7712827569942,0.118621366,-0.048402634,NA,84.74184352,18.8993320052357,10
"jakarta_013","0000de754296517447e3",5.0821595022598,0.902530738699219,5.59597667538128,6.4099779028824,0.109676937,-0.044637884,NA,94.24949304,9.19871052462258,3
"jakarta_014","0000ded25be7e1f89b22",1.89313409044882,-0.169422403808444,2.4069512635703,2.9065530339705,0.168364501,-0.106789252,0.126,72.406361,5.84538773088453,29
"jakarta_015","000007d239e1ff305bd5",3.51599489607572,0.379801452645252,4.0298120691972,4.4604065299188,0.176359583,-0.076323609,0.09,73.66997971,23.2739340769988,13
"jakarta_016","00000a76bf474a7597f9",3.59412054240421,0.131510033202526,4.10793771552569,4.591228414467,0.178499987,-0.067542641,0.122,69.77554124,25.6479083774812,18
"jakarta_017","0000efd033778e29ad21",3.99028842937246,0.414419302985698,4.50410560249394,5.1824861357161,0.124762894,-0.058255056,NA,85.00587854,11.1855594601778,19
"jakarta_018","0000aed0364889367b51",3.67204095004883,0.733312487566676,4.18585812317031,4.9581572668439,0.139117372,-0.083646627,NA,80.56600297,6.65914306096916,17
"jakarta_019","000023062c11f654b97f",3.99868365390988,1.02411694597071,4.51250082703136,5.3920122172611,0.125968662,-0.042459441,NA,91.69931161,7.08936721822201,7
"jakarta_020","0000da30386f0e10f86f",3.28796236127961,0.146106756288169,3.80177953440109,4.1903804128717,0.155412259,-0.097226287,NA,61.09964928,11.4716832582331,25
"jakarta_021","0000897460a067bc0719",2.63655549122541,0.771566465348507,3.15037266434689,4.7072301648391,0.160086983,-0.010561755,0.121470489038786,86.35234139,5.21063227727731,9
"jakarta_022","000014895cd4f5544cad",3.39405848570293,0.0487378514407246,3.90787565882441,4.6142101277703,0.215281343,-0.047876006,0.108,70.26090651,31.1460547375715,12
