nbhd_code,UHI2003,UHI2004,UHI2005,UHI2006,UHI2007,UHI2008,UHI2009,UHI2010,UHI2011,UHITREND,Cities_urbanLST_count
amsterdam_001,1.493761424,1.501304321,1.86477416,1.433427341,2.295497358,1.684783731,1.144019469,2.347660582,1.573618626,0.278057433,1
amsterdam_002,1.558333536,1.609226145,1.900722585,1.541454866,2.394788933,1.767296192,1.222394769,2.489764287,1.658053361,0.318279903,2
amsterdam_003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_005,1.014609795,0.929262449,1.602852361,0.807786711,1.566141217,1.050791529,0.925092689,1.628392218,0.995313766,0.151281777,2
amsterdam_006,1.749051542,1.721149464,2.127772788,1.735776365,2.573176285,1.662256772,1.706313142,2.502388149,1.650638226,0.172270651,1
amsterdam_007,2.005325516,2.438614247,2.577170808,2.344388953,3.082454467,2.377501224,2.113777984,3.446599433,2.36023571,0.591653826,2
amsterdam_008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_009,1.369560001,1.358272576,1.991430377,1.222176536,1.662196987,1.249770556,1.50670346,2.046966312,1.136407692,0.03193536,1
amsterdam_010,0.853894342,0.718321788,1.36754127,0.645429493,0.886076844,0.454015059,1.227665755,1.531819977,0.511661673,0.100066405,2
amsterdam_011,1.542708265,2.089716462,1.842170641,1.367452635,1.461415657,1.402258707,1.687230442,2.033535721,1.604473873,-0.03275902,31
amsterdam_012,1.438405544,1.542026387,1.883238245,1.417114228,1.910561128,1.230385967,1.656896034,1.932751411,1.338582958,0.022245341,1
amsterdam_013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_014,2.009766581,2.133919701,2.671350715,2.24365541,3.115600825,2.298077747,2.296160226,3.018728977,2.306015231,0.523910631,2
amsterdam_015,2.235244494,2.734260402,3.051209587,2.65638461,3.326755278,2.56828963,2.804867547,3.307596251,2.790003631,0.559710839,2
amsterdam_016,2.108936309,2.504785887,2.807069412,2.500188604,3.301819015,2.542685926,2.36694748,3.476751601,2.591423076,0.668016278,1
amsterdam_017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
amsterdam_018,2.486414733,3.470235274,3.155054823,2.77031839,3.386220803,2.637104145,2.688353502,3.917025898,3.037056045,0.412720039,1
