nbhd_code,UHI2003,UHI2004,UHI2005,UHI2006,UHI2007,UHI2008,UHI2009,UHI2010,UHI2011,UHI2012,UHI2013
chicago_30,0.636293756,0.629131484,0.866864444,1.018171897,0.900077484,0.929286191,1.011452995,1.800429535,1.828915936,1.548620456,1.419372233
chicago_59,1.852268934,1.623593957,2.019007112,1.812441364,2.193373442,2.309016699,2.648138984,4.244937789,2.822629984,2.270907314,2.415009322
chicago_73,3.284360623,3.716928537,3.969072498,3.788891196,3.945100882,4.033870717,5.002051821,6.387274246,4.979803762,3.43570356,3.882187351
chicago_61,3.371705963,4.777403503,4.453143797,4.665072968,4.439278424,4.780404965,5.201471743,7.530481169,5.211896256,4.029129583,4.398776211
chicago_45,3.606734488,4.736585056,4.332919828,4.550148103,4.605584475,4.497322856,4.815705597,7.08472194,5.435383691,3.880429188,4.277344349
chicago_46,3.989550714,4.771666235,4.971423375,5.20204602,5.275001211,4.595492754,5.477301055,7.527256451,5.992533544,4.297186347,5.254605576
chicago_67,3.686184641,5.376858902,4.791475073,5.198899895,5.022184953,5.393833119,5.431451302,7.99224982,5.615886184,4.315217975,4.761389803
chicago_9,3.77223439,4.691625996,4.554229822,4.795774609,4.916283512,5.033936308,4.899919107,6.973659991,5.584707217,4.07010085,4.469253497
chicago_3,4.419691638,5.532477423,5.668489917,5.718937941,5.309762469,4.922126486,5.701562602,6.996874247,6.686095181,4.832106853,6.126233446
chicago_4,4.102284008,5.832123925,5.235069091,5.578168665,5.166733976,5.296719823,5.89677924,7.809592996,5.961371184,4.529925137,5.294740409
chicago_14,3.516980228,5.843756735,4.868592247,5.254741383,4.8131092,5.019073616,5.610411955,8.325255055,5.617966574,4.107804986,4.971217464
chicago_12,3.15241857,5.014956525,4.237004454,4.721774823,4.422050995,4.602629619,5.158756441,7.393374536,5.058155508,3.82465953,4.431288308
chicago_58,2.464342461,3.187322159,3.398986453,3.516278652,3.273808787,3.497973823,4.026680291,5.399946208,3.928078886,3.270862949,3.366233684
chicago_13,2.539656066,3.904670316,3.199234566,3.570587857,3.419693381,3.706873645,3.45199752,6.470713695,4.050074318,3.012236481,3.668375916
chicago_63,0.84574575,0.891213643,1.25713218,1.449003626,1.00307914,1.326438065,1.32022098,2.110475026,1.580957556,1.559703881,1.501088763
chicago_20,0.455849257,0.643752141,1.193024809,1.224057988,1.024030941,1.563051983,0.639622369,2.307027677,1.288147524,1.545736999,1.624250183
chicago_62,1.029110131,1.816942694,1.495797391,1.8617463,1.601179957,1.758573009,1.548697371,3.743176824,1.86817713,1.574162376,1.975632808
chicago_65,0.858238821,2.033584328,1.509810794,1.79908624,1.179624978,1.307258905,1.449972991,3.592809954,1.740442105,1.307172552,1.572789783
chicago_76,1.731709384,2.454663524,2.219459429,2.402785293,1.586206078,1.84635352,1.919494124,3.981653064,2.015838929,1.33771233,1.496962235
chicago_6,2.574513094,4.466221754,3.419163341,3.83744086,3.568930719,3.738789244,4.087451581,6.774482668,4.284256296,3.032817736,3.786066915
chicago_29,3.357755432,4.991688859,4.266175076,4.419439555,3.866504818,4.071322391,4.080428221,7.129377012,4.627531581,3.045446838,3.860698793
chicago_33,0.274976366,0.363029119,0.601482755,0.954049212,-0.166062957,0.060845101,0.278472039,1.475997407,-0.141585458,0.046957852,0.00606192
chicago_68,2.611768032,3.508434534,3.558737126,3.172148078,2.673535451,2.767670419,2.540353844,4.877542394,2.994539225,2.090746875,2.528074385
chicago_36,-0.402070137,-0.328043022,-0.211074757,0.042199636,-0.678315519,-0.524620029,-0.960113929,0.120709265,-0.921340049,-0.37390713,-0.200335556
chicago_28,1.940103446,2.803304067,3.069554998,2.482994477,2.453885564,2.158656513,1.478091222,4.125009083,2.344139688,1.85113041,2.506430949
chicago_47,1.867303218,2.148487137,0.978183273,1.596131663,1.751877954,0.761935211,1.225460969,2.030088071,1.516831014,1.241400998,1.641899021
chicago_41,0.287601996,0.693862966,-0.246100383,0.529340632,0.011080187,-0.145050172,0.359957442,0.710105062,-0.045136749,0.068612147,0.286557158
chicago_48,0.25893226,0.666447854,-0.247095883,0.770571521,0.51903974,0.502441396,-0.150041172,1.041939329,0.356704308,0.218506631,0.450372572
chicago_17,1.139382245,1.963311037,1.342400795,1.962951262,1.996700288,1.611865987,0.666382438,3.299545137,1.766445126,1.282566087,1.944882254
chicago_55,-0.695896104,-0.148527286,-0.302010846,-0.012388923,-0.634313867,-0.434443016,-0.943826993,0.510858592,-0.427502555,-0.200215848,0.183202286
chicago_2,2.86722804,3.925521146,3.264570856,3.833806452,3.895554132,3.509899089,2.333356042,4.901556709,3.951410244,3.00551725,3.475215271
chicago_10,3.58625291,5.21644175,4.626237191,4.646256856,4.591442116,4.191732023,3.358679389,5.711300305,5.064967964,3.857216906,4.434639878
chicago_50,3.673365126,5.866029794,5.623931074,4.942808604,5.044126454,4.497543091,4.316807858,6.642991881,5.740154291,4.301267018,5.122346804
chicago_25,3.20722811,5.121603223,5.043254831,4.400348519,4.663083147,3.894341736,3.598157584,5.963525444,4.839557303,3.682359572,4.376075324
chicago_43,3.831671309,5.691121123,5.260443011,4.97860114,4.561888271,4.4750402,4.218452664,6.589998754,5.592407135,4.265285631,4.938612808
chicago_42,3.983986195,5.13780136,4.760676539,4.74370996,4.567856633,4.414393716,3.613444319,6.141969839,4.968714249,4.084064168,4.690969755
chicago_49,3.662319718,4.614483787,3.650098892,4.066284187,4.091320486,3.86867417,3.225486182,5.825196139,4.128752468,3.337590664,3.922794802
chicago_75,4.598555178,5.595242803,4.144902458,4.315783105,4.527360492,4.183628916,3.85516645,6.120122159,4.743611761,3.589808527,4.089906136
