nbhd_code,UHI2003,UHI2004,UHI2005,UHI2006,UHI2007,UHI2008,UHI2009,UHI2010,UHI2011,UHI2012,UHI2013
losangeles_001,4.926867125,4.732771537,5.289277362,4.858714437,4.63774132,4.660955383,4.559495448,4.812099024,4.673686887,4.671397094,4.387810332
losangeles_002,3.683034001,3.495446525,3.883821498,3.419018187,3.134633639,3.660281312,3.908372758,3.623827719,3.750973808,3.645334263,3.09373476
losangeles_006,6.414458001,6.233293418,6.725519277,6.008828691,5.390314496,5.949048965,5.617599286,6.133416719,6.399256398,5.795125232,5.414972908
losangeles_007,3.792849828,3.54500514,4.008476356,3.59528996,3.039407515,3.555994967,3.119032062,3.669107788,3.723133775,3.24759716,3.137843649
losangeles_005,5.889111658,5.602229453,6.112845285,5.529967944,4.931794242,5.41856427,4.993332029,5.607875021,5.774308968,5.033304301,4.702418837
losangeles_003,3.065257569,3.083841063,2.933648716,2.64963955,2.394813279,2.589277116,2.485042367,3.144485586,3.157476688,2.978024834,2.807813243
losangeles_004,5.949934928,5.743002065,6.405475281,5.79738848,4.892072527,5.547617574,5.210191532,5.817787045,5.9357157,5.286136916,4.775548103
losangeles_009,-0.506845161,-0.895815184,-0.358826291,-0.467863581,-1.309927454,-0.796140161,-1.361618317,-0.961567576,-0.773412629,-1.382084002,-1.452800729
losangeles_008,4.975812164,4.778282472,5.388551377,4.823320641,4.27608259,4.497210844,4.130650834,4.798272744,4.792548619,4.502818827,4.317465709
losangeles_022,2.363815091,2.386824376,2.911628225,2.913303995,1.43025569,1.921462058,1.613093114,1.955169354,2.157445442,-0.593358338,0.974607876
losangeles_020,5.663476984,5.693831505,6.604882124,5.853098727,4.637618344,5.136857556,5.007460273,5.452178169,5.307219964,4.8061752,4.248343239
losangeles_019,4.435686321,4.618857891,5.186692282,4.663230808,3.377925818,3.864225254,3.682965032,4.168983453,4.032734203,3.354056946,2.842432953
losangeles_018,6.230469881,6.08522848,6.868481634,6.059732098,4.891565706,5.17424797,5.110733852,5.787482586,5.708021248,5.024820042,4.524448491
losangeles_011,4.161889188,4.10450634,4.941064487,4.244271251,2.749173361,3.304691595,3.066878695,3.60281342,3.710288386,2.759756494,2.224984056
losangeles_013,5.856865034,5.402313583,6.510449425,5.723716295,4.52819517,4.682792401,4.566758719,5.277240071,5.429673482,4.395531724,3.964716765
losangeles_012,4.143478742,3.915243377,4.438211386,4.110163923,2.998655184,3.423153666,2.939714584,3.424575391,3.711544164,2.880532004,2.53011669
losangeles_010,1.88609375,1.833456842,2.565226513,2.216806199,0.586960717,1.21687991,0.954158697,1.305428774,1.656082841,0.620252874,0.246401029
losangeles_014,4.803203184,4.504069166,5.217466841,4.696597068,3.655337698,3.853815127,3.571637256,4.337265009,4.462988531,3.71745399,3.278798369
losangeles_015,4.532327645,4.329843132,4.731568185,4.546879541,3.747150002,3.770534414,3.508707547,4.259125961,4.160408838,3.755824957,3.528122581
losangeles_016,6.642762256,6.485982767,7.321953607,6.451850115,5.411712441,5.565003285,5.489409653,6.146115443,6.231509392,5.443795363,5.045701382
losangeles_017,7.226261252,7.15954247,8.100972027,7.113431416,6.031161699,6.286033739,6.266390514,6.784250628,6.858690615,6.083289449,5.640158683
losangeles_021,6.13804357,5.90111696,6.9120957,6.240947203,5.117029611,5.634443929,5.342250805,5.849219272,5.781546461,5.215311805,4.716661838
