,NBHD_CODE,city,BLTotal,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,LOSSTREND(/decade)
1,amsterdam_001,amsterdam,86983.36022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,amsterdam_002,amsterdam,69314.86518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,amsterdam_003,amsterdam,702662.4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,amsterdam_004,amsterdam,634706.7066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,amsterdam_005,amsterdam,290850.6107,0,0,0,0.934579439,0,0,0,0,0,0,0,0,0,0,0,0,-0.123694338
6,amsterdam_006,amsterdam,297646.1858,0,0,0,1.826484018,0,0,0,0,0,0,0,0,0,0,0,0,-0.241740532
7,amsterdam_007,amsterdam,657811.6617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,amsterdam_008,amsterdam,570828.3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,amsterdam_009,amsterdam,1037004.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,amsterdam_010,amsterdam,861678.9122,0,0,0,0,0,0,0,0,0.47318612,0,0,0,0,0.157728707,0,0,0.032473557
11,amsterdam_011,amsterdam,4634582.162,0.967741935,0.117302053,0.146627566,0.058651026,0.322580645,0.117302053,1.114369501,0.146627566,0.498533724,0.263929619,0,0.205278592,0,0.234604106,0,0,-0.282473693
12,amsterdam_012,amsterdam,134552.3853,0,0,0,2.02020202,0,0,0,0,0,0,0,0,0,0,0,0,-0.267379679
13,amsterdam_013,amsterdam,1470562.434,0,0,0,0,0,0,0,0,0,0.554528651,0,0,0,0,0,0,0.024464499
14,amsterdam_014,amsterdam,631988.4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,amsterdam_015,amsterdam,286773.2657,0,0,0,0,0,0,0.947867299,0,0,0,0,0,0,0,0,0,-0.041817675
16,amsterdam_016,amsterdam,467535.5612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,amsterdam_017,amsterdam,303082.6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,amsterdam_018,amsterdam,186198.7555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,amsterdam_019,amsterdam,225613.0906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,amsterdam_020,amsterdam,375115.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,amsterdam_021,amsterdam,297646.1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,amsterdam_022,amsterdam,275900.3457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,amsterdam_023,amsterdam,1176993.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115473441,0,0,0.018679527
24,amsterdam_024,amsterdam,1413479.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
