nbhd_code,TL_2002,TL_2009,TL_2016,TL_2001,TL_2007,TL_2008,TL_2010,TL_2012,TL_2014,TL_2004,TL_2005,TL_2006,TL_2003,TL_2011,TL_2013,TL_2015,BLTotal,LOSSTREND (/decade)
amsterdam_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
amsterdam_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
amsterdam_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0
amsterdam_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0
amsterdam_005,0,0,0,0,0,0,0,0,0,1.34529148,0,0,0,0,0,0,223,-0.178053284
amsterdam_006,0,0,0,0,0,0,0,0,0,0.803212851,0,0,0,0,0,0,249,-0.106307583
amsterdam_007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0
amsterdam_008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0
amsterdam_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0
amsterdam_010,0,0.440528634,0,0,0,0,0,0,0.146842878,0,0,0,0,0,0,0,681,0.030232357
amsterdam_011,0.108813928,0.462459195,0,0.816104461,1.115342764,0.108813928,0.244831338,0.108813928,0.13601741,0.054406964,0.380848749,0.108813928,0.190424374,0.027203482,0.054406964,0,3676,-0.276835435
amsterdam_012,0,0,0,0.826446281,0,0,0,0,0,2.479338843,0,0,0,0,0,0,121,-0.510452115
amsterdam_013,0,0,0,0,0,0,0.709219858,0,0,0,0,0,0,0,0,0,1128,0.031289111
amsterdam_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0
amsterdam_015,0,0,0,0,0.884955752,0,0,0,0,0,0,0,0,0,0,0,226,-0.039042166
amsterdam_016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0
amsterdam_017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0
amsterdam_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0
amsterdam_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0
amsterdam_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0
amsterdam_021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0
amsterdam_022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0
amsterdam_023,0,0,0,0,0,0,0,0,0.105042017,0,0,0,0,0,0,0,952,0.016992091
amsterdam_024,0,0,0,0,0.090415913,0,0,0,0,0,0,0,0,0,0,0,1106,-0.003988937
amsterdam_025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0
amsterdam_026,0,1.354401806,0,0,0.677200903,2.483069977,0,0,0,0,0.677200903,0,1.805869074,0,0,0,443,-0.408312309
amsterdam_027,0,0,0,0,0,0,0.226244344,0,0,0,0,0,0,0,0,0,442,0.009981368
amsterdam_028,0,0,0,0,0,0,0,0,0,0.401606426,0,0,0,0,0,0,249,-0.053153792
amsterdam_029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0
amsterdam_030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
amsterdam_031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0
amsterdam_032,0,0.083752094,0,0.335008375,0,0.188442211,0.06281407,0,0,0,0,0,0,0.06281407,0,0,4776,-0.068048576
amsterdam_033,0.246103363,0,0,0,0,0,1.312551272,0,0,0,0,0,0,0,0,0,1219,0.010857501
amsterdam_034,0.075443229,0,0,0.113164843,0.075443229,0.603545832,0,0,0,0,0.075443229,0.037721614,0,0,0,0,2651,-0.062129718
amsterdam_035,0,0.188146754,0,0,0,0.564440263,0.658513641,0,0,0,0,0,0,0,0,0,1063,0.023518344
amsterdam_036,0,0.103305785,0,0,0,0,0.258264463,0,0,0,0,0,0,0,0,0,1936,0.012913223
amsterdam_037,0.043535046,0,0.043535046,2.829777971,0,0,0.043535046,0.043535046,0,0,0.261210274,0,0.30474532,0,0,0,2297,-0.692719404
amsterdam_038,0,0,0.071581961,0,1.360057266,0,0,0,0,0,0.357909807,2.576950608,0,0,0,0,1397,-0.270537707
amsterdam_039,0,0,0,0,0.26560425,0,0,0,0,0,1.859229748,0,0.398406375,0.26560425,0,0,753,-0.248027498
amsterdam_040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0
amsterdam_041,0,0,0,0,0,0,0,0,0,0,0.186567164,0,0,0,0,0,536,-0.019205443
amsterdam_042,0,0,0,0,0.215208034,0,0,0,0,0,0,0,0,0,0,0,1394,-0.009494472
amsterdam_043,0,0,0,0,0.063291139,0,0,0,0,0,0.126582278,0,0,0,0,0,1580,-0.015822785
amsterdam_044,0,0,1.12657389,0,0.132538105,0,0.132538105,0,0,0,2.054340623,0.463883366,0,0,0,0,1509,0.002923635
amsterdam_045,0.018385733,0,0,0.018385733,0.036771465,0,0,0.018385733,0,0,0.183857327,0,0,0,0,0,5439,-0.026226707
amsterdam_046,0,0,0,0.088573959,0,0,0,0,0,0,0.177147919,0,0,0,0,0,1129,-0.037774189
amsterdam_047,0,0,0.904295403,0.828937453,0.226073851,0,0.602863602,0.150715901,0,0.150715901,0.904295403,0.452147702,0.904295403,0.07535795,0.07535795,0,1327,-0.228290261
amsterdam_048,0,0,0,0,0,0,0.165562914,0,0,0,0,0,0,0,0,0,604,0.007304246
amsterdam_049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0
amsterdam_050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0
amsterdam_051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,0
amsterdam_052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0
amsterdam_053,0,0,0,0,0,0,0.170940171,0,0,0,0.170940171,0,0,0,0,0,1170,-0.010055304
amsterdam_054,0,0,0,0,0,0,0.129282482,0,0,0,0,0,0,0,0,0,1547,0.005703639
amsterdam_055,0,0,0,0,0.32537961,0,0.21691974,0,0,0,0.542299349,0,0,0,0,0,922,-0.060609927
amsterdam_056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,0
amsterdam_057,0,0,0,0,0,0,0,0.151975684,0,0,0.227963526,0.151975684,0,0,0,0,1316,-0.01899696
amsterdam_058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0
amsterdam_059,0,0,0,0,0,0,0,0,0,0,0,0.152671756,0,0,0,0,1310,-0.011225864
amsterdam_060,0,0.143678161,0,0,0,0,0,0,0,0,0.287356322,0,0,0,0,0,696,-0.027467884
amsterdam_061,0.073655782,0,0,0,0.073655782,0,0.024551927,0.319175055,0,0,0.049103855,0,0.073655782,0,0,0,4073,-0.000361058
amsterdam_062,0,0.043994721,0,0,0,0,0.219973603,0.087989441,0,0,0.087989441,0.175978883,0,0,0.043994721,0,2273,0.003234906
amsterdam_063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0
