IDWHOCity,Region,iso3,Country,City_Town,PM10AnnualMean_Ug_m3,Year,NumberAndTypeOfMonitoringStations_PM10_,noteOnConvertedPM10,PM2_5AnnualMean_Ug_m3,Year_1,NumberAndTypeOfMonitoringStations_PM2_5_,noteOnConvertedPM2_5,TemporalCoverage,forAirQuality,isInterpolated,useMicroData,CountryCode,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr_mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
3,Eur LMI,ALB,Albania,"TIRANA",32,2013,"1 station, traffic, urban",measured data,16,2013,"1 station, traffic, urban",measured data,"PM10: >75%; PM2.5:>75%","European Environment Agency, Air quality e-reporting database",0,1,ALB,ECA,N,2013,2012,X,58.16801,5.5,229.824,0.374786,0.09780537,0.03707125,0.1266218,0.2896048,198.9905,0.1384171,-1,2.895092,ALB_N2012X,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
5,Amr HI,ARG,Argentina,"Buenos Aires",26,2015,"3 stations, residencial commercial",measured data,14,2015,"-",converted from PM10,"PM10: >75%; PM2.5:NA","Agencia de Proteccion Ambiental, Buenos Aires",0,1,ARG,LAC,U,2013,2013,Y,2.768382,5.5,705.8577,0.08268717,0.02596568,0.01264014,0.03474619,0.4095714,546.4258,0.3103287,-1,38.903612211,ARG_U2013Y,0.01777,0.03243,0.04382,0.05583,0.06954,0.08569,0.1053,0.1296,0.1668,0.2931
6,Wpr HI,AUS,Australia,"Adelaide",17,2014,"7 stations, Residential (outer urban) and residential/light industry",measured data,7,2014,"2 stations, Residential (outer urban)",measured data,"PM10: NA; PM2.5:NA","Environment Protection Authority",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
7,Wpr HI,AUS,Australia,"Albany",16,2014,"1 station, rural (small town)",measured data,7,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
8,Wpr HI,AUS,Australia,"Albury",16,2014,"1 station, Rural (small town)",measured data,7,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
9,Wpr HI,AUS,Australia,"Ayr",20,2014,"1 station, Rural (small town)",measured data,9,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
10,Wpr HI,AUS,Australia,"Bathurst",15,2014,"1 station, Rural (small town)",measured data,6,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
11,Wpr HI,AUS,Australia,"Brisbane",16,2014,"8 stations, Residential (inner urban)",measured data,6,2014,"4 stations, Residential (inner urban)",measured data,"PM10: >75%; PM2.5:>75%","http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
12,Wpr HI,AUS,Australia,"Bunbury",16,2014,"1 station, rural (small town)",measured data,8,2014,"1 station, rural (small town)",measured data,"PM10: NA; PM2.5:>75%","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
13,Wpr HI,AUS,Australia,"Busselton",17,2014,"-",converted from PM2.5,7,2014,"1 station, rural (small town)",measured data,"PM10: NA; PM2.5:>75%","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
14,Wpr HI,AUS,Australia,"Canberra",16,2014,"-",converted from PM2.5,7,2014,"1 station, Monash district playing fields",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
15,Wpr HI,AUS,Australia,"Central Coast",13,2014,"-",converted from PM2.5,6,2014,"1 station, race course",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
16,Wpr HI,AUS,Australia,"Collie",19,2014,"1 station, rural (small town)",measured data,8,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
17,Wpr HI,AUS,Australia,"Darwin",19,2014,"-",converted from PM2.5,8,2014,"1 station, residential",measured data,"PM10: NA; PM2.5:>75%","http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
18,Wpr HI,AUS,Australia,"Devonport, Tasmania",15,2013,"-",converted from PM2.5,6,2013,"1 station, residential",measured data,"PM10: NA; PM2.5:>75%","Environment Protection Authority",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
