"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"ALB","Albania","ECA","N","2013","2012","X",58.16801,5.5,229.824,0.374786,0.09780537,0.03707125,0.1266218,0.2896048,198.9905,0.1384171,-1,2.895092,"ALB_N2012X",0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
0,0,"DZA","Algeria","MNA","N","2013","2011.17","X",31.77229,5.5,261.1034,0.2537591,0.05609796,0.01914107,0.07064078,0.2761573,227.6539,0.1253313,0.2260456,38.338562,"DZA_N2011X",0.04046,0.05315,0.06358,0.07306,0.08239,0.09232,0.1039,0.119,0.1436,0.2286
0,1,"AGO","Angola","SSA","N","2013","2008.5","X",73.83312,5.5,125.6557,0.7799744,0.4140938,0.2607214,0.6973411,0.4271552,90.55614,0.3116315,-1,25.99834,"AGO_N2008X",0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
0,1,"ARG","Argentina","LAC","U","2013","2013","Y",2.768382,5.5,705.8577,0.08268717,0.02596568,0.01264014,0.03474619,0.4095714,546.4258,0.3103287,-1,38.903612211,"ARG_U2013Y",0.01777,0.03243,0.04382,0.05583,0.06954,0.08569,0.1053,0.1296,0.1668,0.2931
0,1,"ARM","Armenia","ECA","N","2013","2013","X",183.7796,5.5,187.4637,0.5457347,0.1713802,0.07326619,0.2306949,0.3057966,158.3388,0.1565597,-1,2.893509,"ARM_N2013X",0.03564,0.0506,0.05979,0.06904,0.07927,0.08988,0.1026,0.1193,0.1471,0.2469
0,1,"AUS","Australia","OHI","N","2013","2010","Y",1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,"AUS_N2010Y",0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
0,1,"AUT","Austria","OHI","N","2013","2013","Y",0.8475838,5.5,1714.464,0.004742668,0.003470388,0.002667397,0.008156247,0.3075101,1469.582,0.1729781,-1,8.479375,"AUT_N2013Y",0.03115,0.05,0.06034,0.07032,0.08082,0.09165,0.1051,0.1216,0.1465,0.2425
0,1,"AZE","Azerbaijan","ECA","N","2013","2005","X",0.3294187,5.5,465.6397,0,0,0,0,0.1663503,430.3603,0.04534925,-1,9.416801,"AZE_N2005X",0.06102,0.07269,0.0792,0.08484,0.08963,0.09554,0.1028,0.1123,0.1278,0.1741
1,1,"BGD","Bangladesh","SAS","N","2013","","X",24.84915,5.5,112.5554,0.8609723,0.4107759,0.2281246,0.6191345,-1,-1,-1,-1,157.571292,"BGD_N2010X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"BLR","Belarus","ECA","N","2013","2013","X",1832.435,5.5,620.5624,0.007070785,0.0009083525,0.000204251,0.001038591,0.2657505,548.7532,0.1184392,-1,9.465997,"BLR_N2013X",0.03973,0.05562,0.06546,0.07498,0.08395,0.09365,0.1051,0.1196,0.1413,0.2206
