nbhd_code,PM25_1998,PM25_1999,PM25_2000,PM25_2001,PM25_2002,PM25_2003,PM25_2004,PM25_2005,PM25_2006,PM25_2007,PM25_2008,PM25_2009,PM25_2010,PM25_2011,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PMTREND
casablanca_025,7.916451218,6.190229963,5.146890733,5.729487005,6.042794938,5.028439243,5.795550415,7.063137842,5.712681998,6.601238264,6.080487141,5.838685535,6.247652742,5.00462648,4.986528779,7.077493537,7.019798612,11.49857123,0.904149887
casablanca_011,8.153721407,6.641174462,5.819363833,5.963724821,6.462672129,5.639467395,5.951832252,7.319477637,6.000654376,6.777626038,6.488278138,5.881586435,6.962899738,5.321497667,5.086263799,7.613975191,7.620775009,11.59184022,0.864246695
casablanca_012,7.899111593,6.577638137,5.738418202,5.930595883,6.493239437,5.655839653,5.787323944,7.571419285,5.880801733,6.68255688,6.590552546,5.791375948,6.952177681,5.495449621,4.908689057,7.733412784,7.35616468,10.74910076,0.751241912
casablanca_031,7.889576328,6.452992603,5.589105582,5.769199731,6.112306658,5.584801614,5.589105582,7.255279085,5.631472764,6.450840619,6.387626093,5.589105582,6.597713517,5.266577001,4.846267653,7.389240081,7.45729657,11.07222596,0.826773211
casablanca_019,8.088630807,6.772310513,5.920843521,6.08007335,6.352383863,5.772310513,5.971882641,7.670232274,6.08007335,6.772310513,6.772310513,6.02292176,6.971882641,5.66900978,5.088630807,7.73594132,7.77108802,11.46301956,0.882734576
casablanca_016,9.197825624,7.641441057,7.074184609,7.483052654,7.585376252,6.658281816,7.163291409,8.692176508,7.507567683,7.811767214,7.757407802,7.208057983,8.03943722,6.641441057,6.331059476,8.930718397,8.692176508,12.75570241,0.893749729
casablanca_002,8.369352205,7,6.011976048,6.188350572,6.628470332,5.973053892,6.011976048,7.903647251,6.290146979,6.973053892,6.973053892,6.018508438,7.011976048,5.903647251,5.188350572,7.973053892,7.973053892,11.7324442,0.876524462
casablanca_014,9.69299591,8.031186094,7.429703476,7.900817996,7.835633947,7.031186094,7.504856851,9.064672802,7.966002045,8.228527607,8.228527607,7.512014315,8.382157464,7.031186094,6.6950409,9.293711656,9.13190184,13.57259714,0.964284433
casablanca_022,9.223684211,7.223684211,6.995065789,7.223684211,7.223684211,6.223684211,7.080592105,8.223684211,7.223684211,7.856907895,7.856907895,6.942434211,7.942434211,6.223684211,6.223684211,8.909539474,8.856907895,13.08059211,1.092129027
casablanca_005,8.361359571,7,6.205724508,6.361359571,6.779964222,6,6.205724508,7.787119857,6.581395349,7.198568873,7.198568873,6.205724508,7.198568873,6,5.581395349,8.198568873,8.198568873,11.97853309,1.001235066
casablanca_015,8.125278319,6.611919009,5.499547732,5.803715558,6.39089897,5.366372112,5.848733649,7.164242972,5.850821041,6.505740328,6.356004731,5.746068745,6.704146952,5.051697746,4.954320902,7.39886585,7.30319371,11.7204634,0.84482512
casablanca_021,8,6.480952381,5.348571429,6,6.348571429,5,6,7,6,6.628571429,6,6,6.984761905,5,5,7.193333333,7,12,0.909725293
casablanca_026,7.935461957,6,5,5.592391304,5.935461957,5,5.592391304,6.935461957,5.592391304,5.935461957,5.935461957,5.043478261,6,4.935461957,4.935461957,6.935461957,6.935461957,10.85190217,0.765167193
casablanca_027,8,6.209337349,5.209337349,6,6,5,6,7,6,6,6,5.844879518,6.209337349,5,5,7.036144578,7,11,0.735791463
casablanca_009,8.061302682,6.954022989,5.954022989,6.061302682,6.301724138,5.48467433,6,7.48467433,6.061302682,6.48467433,6.725095785,6,6.954022989,5.48467433,5.061302682,7.904214559,7.48467433,11.48467433,0.841962919
casablanca_010,8.712056738,7,6.24822695,6.35035461,6.903546099,6,6.24822695,7.994326241,6.35035461,7.028368794,7.028368794,6.24822695,7.028368794,6,5.35035461,8.028368794,8.028368794,12.02269504,0.832766104
casablanca_006,8,7,6,6,6,5.839708561,6,7.23132969,6,6.839708561,6.956284153,6,7,5.839708561,5,7.839708561,7.839708561,11.23132969,0.89926144
casablanca_033,8,6.110004527,5.111815301,5.989135355,6,5,5.900860118,7,6,6,6.088275238,5.596650068,6.110004527,5,5,7.021729289,7,11,0.751415193
casablanca_008,8.871238095,7.418285714,6.724190476,6.931809524,7.036190476,6.359238095,6.821333333,8.31047619,7.122285714,7.603047619,7.603047619,6.724190476,7.662095238,6.359238095,5.921142857,8.603047619,8.534857143,12.48304762,0.953120055
