"nbhd_code","PM25_2014"
"casablanca_025",7.01979861205606
"casablanca_011",7.62077500853534
"casablanca_012",7.35616468039003
"casablanca_031",7.45729657027572
"casablanca_019",7.7710880195599
"casablanca_016",8.6921765082072
"casablanca_002",7.97305389221557
"casablanca_014",9.1319018404908
"casablanca_022",8.85690789473684
"casablanca_005",8.19856887298748
"casablanca_015",7.30319370999165
"casablanca_021",7
"casablanca_026",6.93546195652174
"casablanca_027",7
"casablanca_009",7.48467432950192
"casablanca_010",8.02836879432624
"casablanca_006",7.83970856102004
"casablanca_033",7
"casablanca_008",8.53485714285714
"casablanca_023",6.95489130434783
"casablanca_018",6.69959448499595
"casablanca_032",6.31281094527363
"casablanca_030",7.95189095282641
"casablanca_034",6.4080229226361
"casablanca_001",6.75705375705376
"casablanca_013",7.20570041872859
"casablanca_003",6.81984714303045
"casablanca_029",7.00818367810866
"casablanca_004",7.52953953084275
"casablanca_017",7.16400580551524
"casablanca_028",10.101246105919
"casablanca_020",8.5
"casablanca_024",10.8459459459459
"casablanca_007",10.1694609698936
"barcelona_22",12.807662835249
"barcelona_39",11.2347972972973
"barcelona_40",9.88791848617176
"barcelona_43",9.49103139013453
"barcelona_28",9.57553956834533
"barcelona_41",7.01133144475921
"barcelona_38",7.37383177570093
"barcelona_29",7
"barcelona_25",8.19073083778966
"barcelona_27",NA
"barcelona_26",NA
"barcelona_24",7
"barcelona_23",8.70945945945946
"barcelona_21",8.10136452241715
"barcelona_20",NA
"barcelona_19",NA
"barcelona_18",NA
"barcelona_8",NA
"barcelona_9",NA
"barcelona_15",NA
"barcelona_14",NA
"barcelona_16",NA
"barcelona_17",NA
"barcelona_13",NA
"barcelona_11",NA
"barcelona_12",NA
"barcelona_1",NA
"barcelona_2",NA
"barcelona_3",NA
"barcelona_10",NA
"barcelona_7",NA
"barcelona_31",NA
"barcelona_30",NA
"barcelona_37",7
"barcelona_32",NA
"barcelona_34",NA
"barcelona_36",NA
"barcelona_33",NA
"barcelona_6",NA
"barcelona_35",NA
"barcelona_64",NA
"barcelona_63",NA
"barcelona_62",NA
"barcelona_65",NA
"barcelona_5",NA
"barcelona_66",NA
"barcelona_4",NA
"barcelona_67",NA
"barcelona_68",NA
"barcelona_71",NA
"barcelona_61",NA
"barcelona_72",NA
"barcelona_73",NA
"barcelona_69",NA
"barcelona_70",NA
"barcelona_56",NA
"barcelona_57",NA
"barcelona_59",NA
"barcelona_60",NA
"barcelona_44",NA
"barcelona_45",NA
"barcelona_52",NA
"barcelona_53",NA
"barcelona_58",NA
"barcelona_54",NA
"barcelona_50",NA
"barcelona_55",NA
"barcelona_49",NA
"barcelona_48",NA
"barcelona_51",NA
"barcelona_46",NA
"barcelona_47",NA
"barcelona_42",7
"istanbul_032",9.26566177889254
"istanbul_015",9.00571869513044
"istanbul_014",11.0493741856517
"istanbul_002",8.98604521516345
"istanbul_018",12.2618390985738
"istanbul_008",9.78087557603686
"istanbul_012",11.6529749320447
"istanbul_001",9.28474576271187
"istanbul_004",12.7255906988374
"istanbul_026",12.9702448872114
"istanbul_007",9.40737489025461
"istanbul_006",11.8112141992739
"istanbul_005",13.9756293089626
"istanbul_022",11.2325809617272
"istanbul_017",12.1923348640056
"istanbul_019",9.84670687782288
"istanbul_035",9.95864732479276
"istanbul_009",12.0894568690096
"istanbul_021",11.8665246716365
"istanbul_024",10.1218529707956
"istanbul_020",13.5683385156144
"istanbul_013",9.90751789976133
"istanbul_033",9.42043567451402
"istanbul_030",9.1512112361481
"istanbul_010",8.4156246415051
"istanbul_038",9.31500620090947
"istanbul_023",9.00764040484223
"istanbul_039",11.1851851851852
"istanbul_025",11.723327428805
"istanbul_028",9.29997274723865
"istanbul_027",8.76292261235123
"istanbul_034",8.6328089375285
"istanbul_029",8.71841991808579
"istanbul_003",8.91433655312659
"istanbul_037",9.11752182243986
"istanbul_016",8.64555022648548
"istanbul_011",8.49729660016468
"istanbul_036",9.49603030893947
"istanbul_031",8.16489454340846
"telaviv_045",8
"telaviv_047",8
"telaviv_046",8
"telaviv_049",8
"telaviv_048",8.01970443349754
"telaviv_050",8.51592356687898
"telaviv_051",8.83233532934132
"telaviv_014",8
"telaviv_015",8
"telaviv_007",8
"telaviv_008",8
"telaviv_002",8
"telaviv_001",8
"telaviv_004",8
"telaviv_009",8
"telaviv_003",8
"telaviv_005",8
"telaviv_010",8
"telaviv_011",8
"telaviv_012",8
"telaviv_013",7.61866666666666
"telaviv_016",7.84
"telaviv_018",8
"telaviv_019",7.07729468599034
"telaviv_026",7.45528455284553
"telaviv_027",7.5695067264574
"telaviv_028",7.34532374100719
"telaviv_025",8
"telaviv_017",8
"telaviv_022",8
"telaviv_020",8
"telaviv_021",8
"telaviv_023",8
"telaviv_024",8
"telaviv_070",8
"telaviv_060",7.47368421052632
"telaviv_069",8
"telaviv_059",7
"telaviv_061",7.81609195402299
"telaviv_062",7.46774193548387
"telaviv_058",7
"telaviv_068",8
"telaviv_067",8
"telaviv_063",8
"telaviv_065",8
"telaviv_064",8
"telaviv_066",8.27245508982036
"telaviv_071",8
"telaviv_054",8
"telaviv_056",8.04444444444445
"telaviv_043",8
"telaviv_053",7.74501992031872
"telaviv_037",7.84615384615385
"telaviv_041",7.11560693641618
"telaviv_040",7.09478672985782
"telaviv_031",7.88321167883212
"telaviv_035",8
"telaviv_030",8
"telaviv_034",8
"telaviv_036",8
"telaviv_057",7.37426900584795
"telaviv_032",8
"telaviv_006",8
"telaviv_033",8
"telaviv_029",8
"telaviv_038",8
"telaviv_039",8
"telaviv_042",8
"telaviv_052",8
"telaviv_055",8
"telaviv_044",8
"Johannesburg_1",32.2528462998103
"Johannesburg_2",32.3054245283019
"Johannesburg_3",32.0397022332506
"Johannesburg_6",32.096079018258
"Johannesburg_23",33.2516665566629
"Johannesburg_125",33.631522481225
"Johannesburg_122",32.7970958480565
"Johannesburg_119",33.1097701149425
"Johannesburg_24",33.7408955223881
"Johannesburg_18",33.0024600246002
"Johannesburg_54",33.9333205961024
"Johannesburg_55",34
"Johannesburg_124",34
