ID WHO city,Region,iso3,Country,City/Town,"PM10 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"PM2.5 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality
1,Emr LMI,AFG,Afghanistan,Kabul,260,2009,"1 station, 1 station: urban",measured data,86,2009,"1 station, 1 station: urban",measured data,PM10: <75%; PM2.5:<75%,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
2,Emr LMI,AFG,Afghanistan,Mazar-e Sharif,334,2009,"1 station, 1 station: urban outskirts",measured data,68,2009,"1 station, 1 station: urban outskirts",measured data,PM10: <75%; PM2.5:<75%,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
3,Eur LMI,ALB,Albania,TIRANA,32,2013,"1 station, traffic, urban",measured data,16,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
4,Eur HI,AND,Andorra,Escaldes-Engordany,18,2014,"1 station, urban",measured data,11,2014,"1 station, urban",measured data,PM10: NA; PM2.5:NA,Qualitat de l'aire a Andorra
5,Amr HI,ARG,Argentina,Buenos Aires,26,2015,"3 stations, residencial commercial",measured data,14,2015,-,converted from PM10,PM10: >75%; PM2.5:NA,"Agencia de Proteccion Ambiental, Buenos Aires"
6,Wpr HI,AUS,Australia,Adelaide,17,2014,"7 stations, Residential (outer urban) and residential/light industry",measured data,7,2014,"2 stations, Residential (outer urban)",measured data,PM10: NA; PM2.5:NA,Environment Protection Authority
7,Wpr HI,AUS,Australia,Albany,16,2014,"1 station, rural (small town)",measured data,7,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
8,Wpr HI,AUS,Australia,Albury,16,2014,"1 station, Rural (small town)",measured data,7,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
9,Wpr HI,AUS,Australia,Ayr,20,2014,"1 station, Rural (small town)",measured data,9,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
10,Wpr HI,AUS,Australia,Bathurst,15,2014,"1 station, Rural (small town)",measured data,6,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
11,Wpr HI,AUS,Australia,Brisbane,16,2014,"8 stations, Residential (inner urban)",measured data,6,2014,"4 stations, Residential (inner urban)",measured data,PM10: >75%; PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
12,Wpr HI,AUS,Australia,Bunbury,16,2014,"1 station, rural (small town)",measured data,8,2014,"1 station, rural (small town)",measured data,PM10: NA; PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
13,Wpr HI,AUS,Australia,Busselton,17,2014,-,converted from PM2.5,7,2014,"1 station, rural (small town)",measured data,PM10: NA; PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
14,Wpr HI,AUS,Australia,Canberra,16,2014,-,converted from PM2.5,7,2014,"1 station, Monash district playing fields",measured data,PM10: NA; PM2.5:>75%,http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf
15,Wpr HI,AUS,Australia,Central Coast,13,2014,-,converted from PM2.5,6,2014,"1 station, race course",measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
16,Wpr HI,AUS,Australia,Collie,19,2014,"1 station, rural (small town)",measured data,8,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
17,Wpr HI,AUS,Australia,Darwin,19,2014,-,converted from PM2.5,8,2014,"1 station, residential",measured data,PM10: NA; PM2.5:>75%,http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
18,Wpr HI,AUS,Australia,"Devonport, Tasmania",15,2013,-,converted from PM2.5,6,2013,"1 station, residential",measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
19,Wpr HI,AUS,Australia,Geelong,18,2014,"1 station, Residential/Light Industry",measured data,8,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,"EPA Victoria, Environment Protection Authority Macleod"
20,Wpr HI,AUS,Australia,Geraldton,22,2014,"1 station, rural (small town)",measured data,10,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
21,Wpr HI,AUS,Australia,Gladstone,14,2014,"4 stations, Residential (outer urban)",measured data,5,2014,"4 stations, Residential (outer urban)",measured data,PM10: >75%; PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
22,Wpr HI,AUS,Australia,"Hobart, Tasmania",14,2013,-,converted from PM2.5,6,2013,"1 station, residential",measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
23,Wpr HI,AUS,Australia,La Trobe Valley,20,2014,"2 stations, residential, rural",measured data,10,2014,"3 stations, residential, rural",measured data,PM10: >75%; PM2.5:>75%,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
24,Wpr HI,AUS,Australia,"Launceston, Tasmania",19,2013,-,converted from PM2.5,8,2013,"1 station, Rural (small town)",measured data,PM10: NA; PM2.5:<75 % but annually representative,Environment Protection Authority
25,Wpr HI,AUS,Australia,Lower Hunter,17,2014,-,converted from PM2.5,7,2014,"3 stations, high school",measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
26,Wpr HI,AUS,Australia,Mackay,17,2014,"1 station, residential rural",measured data,7,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
27,Wpr HI,AUS,Australia,Melbourne,19,2014,"10 stations, Residential/Light Industry",measured data,8,2014,"2 stations, Residential/Light Industry",measured data,PM10: >75%; PM2.5:NA,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
28,Wpr HI,AUS,Australia,Moranbah,21,2014,"1 station, industrial/residential",measured data,9,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
29,Wpr HI,AUS,Australia,Mount Isa,16,2014,"1 station, industrial/residential",measured data,7,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
30,Wpr HI,AUS,Australia,Muswellbrook,21,2014,"1 station, Residential (outer urban)",measured data,9,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
31,Wpr HI,AUS,Australia,Newcastle,19,2014,"3 stations, Residential (outer urban)",measured data,8,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
32,Wpr HI,AUS,Australia,Palmerston,22,2014,-,converted from PM2.5,9,2014,"1 station, industrial/residential",measured data,PM10: NA; PM2.5:>75%,http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
33,Wpr HI,AUS,Australia,Perth,17,2014,"3 stations, Residential (outer urban)",measured data,8,2014,"4 stations, Residential (outer urban)",measured data,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
